pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.18245979281135535,0.044829433784262566,3.870466421799968e-06,13,79,1.4449741308053213e-05,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.1447172619047619,0.02174759937123106,1.9012165229329202e-08,13,79,2.6617031321060884e-07,True
Drethia vs Bretherland,Drethia,Bretherland,justified,-0.1336316678113553,0.04590520381834421,9.825561629420119e-05,13,79,0.000289595500656593,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,-0.11950907165750918,0.03514684909300553,2.3112625267151083e-05,13,79,7.613570676238003e-05,True
Terluna vs Bretherland,Terluna,Bretherland,justified,-0.11156421703296703,0.02427511392984777,1.0940084382961423e-06,13,79,4.778622180548584e-06,True
Drethia vs Melvoni,Drethia,Melvoni,justified,-0.1068316449175824,0.037571086221571445,0.00012120827576150218,13,79,0.0003232220686973391,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.0981570512820513,0.04021925261995201,0.0004459087325042055,13,79,0.0010404537091764797,True
Voskara vs Melvoni,Voskara,Melvoni,justified,-0.06970438415750915,0.026044432345768795,0.00020585328120238365,13,79,0.0005239901703333402,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.06745435554029304,0.025893680716363016,0.00025925148176457127,13,79,0.0006312209990789561,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.0367659684065934,0.022387834631833352,0.007371278209199186,13,79,0.0121409288151516,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,-0.012977907509157512,0.03035356870448238,0.4184022804852125,13,79,0.4338986612439241,False
Voskara vs Drethia,Voskara,Drethia,justified,0.013829269688644686,0.031288373478513064,0.40331035366945545,13,79,0.42613924161300953,False
Terluna vs Melvoni,Terluna,Melvoni,justified,0.024160084706959715,0.03337822527748788,0.18143267274776523,13,79,0.21167145153905942,False
Drethia vs Korvachev,Drethia,Korvachev,justified,0.027340172847985348,0.050177627908353534,0.30656064776433256,13,79,0.3433479254960525,False
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,0.04781936813186813,0.03263462820969415,0.014038132004065822,13,79,0.01965338480569215,True
Terluna vs Voskara,Terluna,Voskara,justified,0.06088670444139195,0.0373663733771496,0.00772193775371715,13,79,0.012355100405947441,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.06410256410256411,0.0432729583921766,0.01324110564742766,13,79,0.019012869647588436,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.06737208104395605,0.021028209709888553,4.0697468780749116e-05,13,79,0.00012661434731788614,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,0.0735855940934066,0.04280210828971546,0.005573901816927553,13,79,0.009754328179623219,True
Terluna vs Drethia,Terluna,Drethia,justified,0.09978823260073261,0.06022094579046859,0.006985007266682165,13,79,0.011853345664672764,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,0.13421116643772893,0.02924129991951811,1.1093230061987787e-06,13,79,4.778622180548584e-06,True
Terluna vs Korvachev,Terluna,Korvachev,justified,0.14078239468864467,0.026591920363992994,2.398570061277947e-07,13,79,1.6789990428945628e-06,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,0.15434695512820515,0.028297286643099898,1.7322170922853088e-07,13,79,1.385773673828247e-06,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.15760216346153846,0.025055364035667653,3.576547169266635e-08,13,79,4.005732829578631e-07,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,0.18499957074175824,0.03847157265170664,6.763840808304167e-07,13,79,3.7877508526503332e-06,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.19076236263736265,0.017795454805877773,7.83826515404943e-11,13,79,4.389428486267681e-09,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,0.23171359890109894,0.029631200172145915,3.0361722071854443e-09,13,79,5.6675214534128294e-08,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,0.23977292239010992,0.02816734189048622,1.1442874779880525e-09,13,79,3.2040049383665466e-08,True
Voskara vs Zhaodong,Voskara,Zhaodong,unjustified,-0.06348729395604395,0.015344566929359255,3.2709396552309442e-06,13,79,1.3083758620923777e-05,True
Voskara vs Drethia,Voskara,Drethia,unjustified,-0.054708962912087905,0.01128367622013961,6.194169494192189e-07,13,79,3.7877508526503332e-06,True
Voskara vs Bretherland,Voskara,Bretherland,unjustified,-0.04911429716117217,0.010459737766899407,8.715501723031587e-07,13,79,4.436982695361535e-06,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,unjustified,-0.027322287087912088,0.011769938260477864,0.0006663282064672081,13,79,0.0014925751824865464,True
Voskara vs Korvachev,Voskara,Korvachev,unjustified,-0.020418383699633703,0.016148386990100874,0.029050131302881352,13,79,0.037832729138636174,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,-0.018973214285714288,0.014086373829514085,0.021575243520893333,13,79,0.02946862529682992,True
Melvoni vs Bretherland,Melvoni,Bretherland,unjustified,-0.018951751373626376,0.010187239362567832,0.0033493590853719453,13,79,0.006252136959360965,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,unjustified,-0.014938186813186814,0.01149806539578171,0.025634156185493258,13,79,0.03417887491399101,True
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,-0.01173305860805861,0.014450801113734627,0.13750774653527015,13,79,0.16383901714840698,False
Voskara vs Melvoni,Voskara,Melvoni,unjustified,-0.011046245421245418,0.012208834415775915,0.10152657878155377,13,79,0.1263441869281558,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,unjustified,-0.00925051510989011,0.013233414630852026,0.1957464927372094,13,79,0.22371027741395358,False
Terluna vs Drethia,Terluna,Drethia,unjustified,-0.0030405792124542125,0.009518151224108653,0.5429605758483589,13,79,0.552832586318329,False
Drethia vs Zhaodong,Drethia,Zhaodong,unjustified,-0.0007583562271062271,0.008893522926879774,0.870050753266148,13,79,0.870050753266148,False
Terluna vs Bretherland,Terluna,Bretherland,unjustified,0.004965086996336997,0.010862780549074608,0.3879435270495589,13,79,0.4177853368226019,False
Bretherland vs Korvachev,Bretherland,Korvachev,unjustified,0.00822744963369963,0.016943316702788945,0.36000107336448717,13,79,0.3952952962433584,False
Melvoni vs Korvachev,Melvoni,Korvachev,unjustified,0.009279132326007326,0.011076762863309537,0.12653592838773622,13,79,0.1540437389068093,False
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,unjustified,0.015102735805860808,0.013608964879995623,0.05033011509124182,13,79,0.06405651011612595,False
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,unjustified,0.015961252289377288,0.010470527313560258,0.011320039609725533,13,79,0.01713303292282783,True
Drethia vs Bretherland,Drethia,Bretherland,unjustified,0.016633756868131868,0.01083350927910054,0.010875422665843196,13,79,0.016917324146867193,True
Drethia vs Korvachev,Drethia,Korvachev,unjustified,0.020547161172161172,0.013808957596387556,0.01292649295150217,13,79,0.019012869647588436,True
Terluna vs Melvoni,Terluna,Melvoni,unjustified,0.021734775641025644,0.009921848643776654,0.0010436770168110309,13,79,0.002164663442274731,True
Drethia vs Melvoni,Drethia,Melvoni,unjustified,0.023745135073260072,0.013454851799269326,0.004725777393924233,13,79,0.008536888195476034,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,unjustified,0.02789463141025641,0.01280654824858816,0.0010896637620095323,13,79,0.0021793275240190647,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,0.030598958333333336,0.01572078817443425,0.0024619907404169216,13,79,0.004754189015977504,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,unjustified,0.034040178571428575,0.014804783960091007,0.0007183941194109989,13,79,0.0015473104110390744,True
Terluna vs Korvachev,Terluna,Korvachev,unjustified,0.03557119963369963,0.009672533576591508,1.0748342024133856e-05,13,79,3.7619197084468496e-05,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,unjustified,0.036794585622710624,0.012803987752615686,0.00011031101487364995,13,79,0.0003088708416462199,True
Terluna vs Voskara,Terluna,Voskara,unjustified,0.048606341575091576,0.008907779306353739,1.7248052820582112e-07,13,79,1.385773673828247e-06,True
