pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Bretherland vs Korvachev,Bretherland,Korvachev,justified,-0.6520003686458297,0.44387539646709817,0.013856103662266408,13,79,0.02984391558026611,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.6318824532693509,0.6567487021392039,0.08375647925874966,13,79,0.15634542794966602,False
Voskara vs Drethia,Voskara,Drethia,justified,-0.5220209623143722,0.22738754738098962,0.0007271141847028235,13,79,0.0028434391749859716,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.4343377858843385,0.7440419859990527,0.27486802338045985,13,79,0.3754294953489208,False
Terluna vs Drethia,Terluna,Drethia,justified,-0.24852622241419567,0.3254444282473949,0.1602885485520662,13,79,0.2425988842950191,False
Terluna vs Melvoni,Terluna,Melvoni,justified,-0.22962453860436893,0.4232811080127096,0.3085866135083792,13,79,0.4114488180111722,False
Terluna vs Voskara,Terluna,Voskara,justified,-0.20495649153412684,0.22267704378933714,0.09636971218343261,13,79,0.16545535768262118,False
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.19043330089372537,0.2775887507455531,0.2036156375017788,13,79,0.2850618925024903,False
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,-0.11532736827747539,0.5643948236278086,0.6958249250736256,13,79,0.7493499193100583,False
Voskara vs Melvoni,Voskara,Melvoni,justified,-0.10596955532644511,0.3491171727483376,0.5629407658556701,13,79,0.6574052989146733,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.09034456330321515,0.33352528004757626,0.6051612944625411,13,79,0.6836378488317583,False
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.03863325535918034,0.5214366399146247,0.8869505964255705,13,79,0.9198006185154064,False
Voskara vs Zhaodong,Voskara,Zhaodong,justified,0.017485116352098092,0.28235777975592413,0.9054037389558771,13,79,0.9218656251187112,False
Terluna vs Korvachev,Terluna,Korvachev,justified,0.14704955237720524,0.442628067058085,0.5272227199122418,13,79,0.6418363546757726,False
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.16389079364230358,0.6140169976101244,0.610390936456927,13,79,0.6836378488317583,False
Drethia vs Melvoni,Drethia,Melvoni,justified,0.1811755991434395,0.3646631937246332,0.3493838675148143,13,79,0.45501154839138613,False
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.21538746592851826,0.23490161742260368,0.09750047863440177,13,79,0.16545535768262118,False
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,0.241114385853022,0.6285945362414391,0.46665517373154686,13,79,0.5939247665674233,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,0.29033595713699956,0.40224239646910764,0.1825728532228858,13,79,0.2621558918072206,False
Voskara vs Korvachev,Voskara,Korvachev,justified,0.3020976550993691,0.36569480147723005,0.1313823918811846,13,79,0.21021182700989538,False
Drethia vs Korvachev,Drethia,Korvachev,justified,0.4166810147642427,0.41516048489272894,0.07271532815661293,13,79,0.1404158060955284,False
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.47461652612918326,0.5495723450684712,0.11629508170296218,13,79,0.1915448404519377,False
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.47827955002654104,0.41487282334530007,0.043245609504823056,13,79,0.08969459749148487,False
Melvoni vs Bretherland,Melvoni,Bretherland,justified,0.6016626532994738,0.543921616500638,0.05097077765202826,13,79,0.1019415553040565,False
Terluna vs Bretherland,Terluna,Bretherland,justified,0.6642055707037624,0.42260208736094357,0.009528337396966883,13,79,0.02259244232575378,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.7676568213973376,0.5038977907245077,0.011359714968917634,13,79,0.025445761530375498,True
Drethia vs Bretherland,Drethia,Bretherland,justified,0.7868732629244974,0.4646485965298487,0.006118996987829257,13,79,0.015575628696292653,True
Voskara vs Bretherland,Voskara,Bretherland,justified,0.8554973560739809,0.3809591985773243,0.0008631868924064558,13,79,0.0028434391749859716,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,unjustified,-1.6198631872316918,0.5204003520003057,5.3284700343455057e-05,13,79,0.0003729929024041854,True
Melvoni vs Korvachev,Melvoni,Korvachev,unjustified,-1.4739583393509617,0.2950795162001411,4.500016508653366e-07,13,79,2.520009244845885e-05,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,unjustified,-1.4202009015645491,0.43880871720643705,3.6997771155838986e-05,13,79,0.0003729929024041854,True
Drethia vs Korvachev,Drethia,Korvachev,unjustified,-1.1428857695561283,0.3575081348345646,4.1551651237706735e-05,13,79,0.0003729929024041854,True
Drethia vs Bretherland,Drethia,Bretherland,unjustified,-1.0446285441458485,0.3717100800178575,0.0001344650517062154,13,79,0.0006845493541407329,True
Melvoni vs Bretherland,Melvoni,Bretherland,unjustified,-1.0373168545164,0.3548264950289723,9.456437617385515e-05,13,79,0.0005884005628595431,True
Terluna vs Bretherland,Terluna,Bretherland,unjustified,-0.727478251504591,0.36050091766889775,0.0019097491727702537,13,79,0.00534729768375671,True
Terluna vs Korvachev,Terluna,Korvachev,unjustified,-0.7192365034095674,0.25139322780535006,0.00011475055735938324,13,79,0.0006426031212125461,True
Terluna vs Voskara,Terluna,Voskara,unjustified,-0.6653502644042596,0.2925476727954341,0.0007822917510359506,13,79,0.0028434391749859716,True
Voskara vs Bretherland,Voskara,Bretherland,unjustified,-0.3150898800682639,0.4080921257903075,0.15608073218026125,13,79,0.2425988842950191,False
Drethia vs Zhaodong,Drethia,Zhaodong,unjustified,-0.12920673957735274,0.5481359420809621,0.6523369224680029,13,79,0.716291522709964,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,unjustified,0.007469083849507396,0.3556498161882011,0.9678433628544065,13,79,0.9678433628544065,False
Drethia vs Melvoni,Drethia,Melvoni,unjustified,0.05309923257685964,0.425010570669287,0.8106904695343963,13,79,0.8565786093193621,False
Voskara vs Korvachev,Voskara,Korvachev,unjustified,0.13302712827099109,0.4388849150687255,0.5634902562125771,13,79,0.6574052989146733,False
Bretherland vs Korvachev,Bretherland,Korvachev,unjustified,0.20299622271238113,0.5960900442477199,0.5171023448114923,13,79,0.6418363546757726,False
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,0.2851991769548615,0.3913294385231749,0.17867318020575196,13,79,0.2621558918072206,False
Terluna vs Drethia,Terluna,Drethia,unjustified,0.37764709351314557,0.4073155099726929,0.09422165722773794,13,79,0.16545535768262118,False
Terluna vs Melvoni,Terluna,Melvoni,unjustified,0.5377604231657112,0.26601519403209345,0.001885764369490242,13,79,0.00534729768375671,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,unjustified,0.8229452686107449,0.3802386657991619,0.001143399207833989,13,79,0.0035572419799279656,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,unjustified,0.8303285115970798,0.4315657897692296,0.0026668262438521583,13,79,0.007111536650272423,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,unjustified,0.8811383834371836,0.5622021577348784,0.009682475282465906,13,79,0.02259244232575378,True
Voskara vs Drethia,Voskara,Drethia,unjustified,0.9503348146445203,0.4218632085466442,0.0008424822566622951,13,79,0.0028434391749859716,True
Voskara vs Melvoni,Voskara,Melvoni,unjustified,1.1384787062066095,0.24821720460149027,1.1174147135815027e-06,13,79,3.128761198028208e-05,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,1.294843190168644,0.48902707700514514,0.0002257060728500127,13,79,0.0009722723138154393,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,unjustified,1.3373540554882413,0.48657271004718905,0.00016346402313407456,13,79,0.0007628321079590146,True
Voskara vs Zhaodong,Voskara,Zhaodong,unjustified,1.6203067762891907,0.3874903163168023,2.9327867636727437e-06,13,79,5.474535292189121e-05,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,1.6808464928692446,0.5350659382030022,4.8933718996117385e-05,13,79,0.0003729929024041854,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,unjustified,2.1199776669785995,0.5728641913564738,1.0100830251313132e-05,13,79,0.00014141162351838385,True
