pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-1.926975548791873,0.6027005519816495,4.14998569505242e-05,13,79,0.0005809979973073388,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-1.75502920733004,0.5662722848363807,5.546777866996759e-05,13,79,0.000621239121103637,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-1.7480754994389842,0.6923809305652858,0.00033724550616406635,13,79,0.0013489820246562654,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-1.7180631192368643,0.6354708430172155,0.00018862860120268303,13,79,0.001056320166735025,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-1.4295585855806245,0.6701945230702114,0.0012747426745033687,13,79,0.0035692794886094323,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,-1.2949505774248835,0.49707137918445266,0.0002591592858873293,13,79,0.0011466199588913652,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,-1.0102165625712087,0.7828466947747258,0.026455250366977254,13,79,0.047790129695184716,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.7702393281408295,0.5565400630570352,0.018864502610176703,13,79,0.03521373820566318,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,-0.5520976062031674,0.38238737396065936,0.015179048358979989,13,79,0.029311265796651012,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,-0.4167951131819478,0.6541459690555598,0.2355400892475197,13,79,0.3140534523300263,False
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.41300362486037473,0.6578638460751699,0.24209352426489414,13,79,0.31528458974032725,False
Drethia vs Korvachev,Drethia,Korvachev,justified,-0.2939131130547955,0.6530528597046873,0.3950396293696421,13,79,0.4514738621367338,False
Voskara vs Drethia,Voskara,Drethia,justified,-0.25968700285912266,0.5357005636632238,0.36078928413863803,13,79,0.4209208314950777,False
Terluna vs Voskara,Terluna,Voskara,justified,-0.21513691101045837,0.3858921838063687,0.295972664523839,13,79,0.3683215380741108,False
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.20357557608926796,0.7625225043488462,0.6103105716381403,13,79,0.6572575386872279,False
Terluna vs Drethia,Terluna,Drethia,justified,-0.19638552638401888,0.48665607551016166,0.4443308993180437,13,79,0.4976506072362089,False
Terluna vs Korvachev,Terluna,Korvachev,justified,-0.1376273510329452,0.6404240341663548,0.6810516739777374,13,79,0.7196017687311942,False
Voskara vs Korvachev,Voskara,Korvachev,justified,-0.11605011929856827,0.30118071300993177,0.46468152278322955,13,79,0.5102385348208011,False
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.06099067360585754,0.3167940309034439,0.7125037110912612,13,79,0.7388927374279746,False
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.4483312814899007,0.5378256463016081,0.12823279659963016,13,79,0.1864273857588874,False
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,0.584857488256596,0.2789366265062033,0.0014472789657908323,13,79,0.0038594105754422192,True
Drethia vs Melvoni,Drethia,Melvoni,justified,1.0049365158533958,0.5718110725285149,0.004852861279329935,13,79,0.010870409265699054,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,1.169428063641838,0.6211842754961985,0.003092598675778935,13,79,0.007529805471461756,True
Voskara vs Melvoni,Voskara,Melvoni,justified,1.2154375047392243,0.23182036663017005,2.665662550747436e-07,13,79,1.4927710284185642e-05,True
Voskara vs Bretherland,Voskara,Bretherland,justified,1.3127573923388627,0.5986830808597157,0.0010359579888564493,13,79,0.00322298040977562,True
Terluna vs Bretherland,Terluna,Bretherland,justified,1.3297062581260057,0.6204747534578288,0.0012310877774667614,13,79,0.0035692794886094323,True
Terluna vs Melvoni,Terluna,Melvoni,justified,1.5502448679082736,0.596948400796186,0.0002661796333140669,13,79,0.0011466199588913652,True
Drethia vs Bretherland,Drethia,Bretherland,justified,1.5949019505215924,0.7204236494122411,0.0009631025044787113,13,79,0.0031725729559298724,True
Bretherland vs Korvachev,Bretherland,Korvachev,unjustified,-1.573116728158381,0.8641042612025218,0.0038650563171424303,13,79,0.009018464739999005,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,unjustified,-1.509729977043204,0.5264950265573335,0.00011244865422534579,13,79,0.0008437899684996886,True
Drethia vs Korvachev,Drethia,Korvachev,unjustified,-1.422669005959769,0.47597304822244435,7.736495104247504e-05,13,79,0.0007220728763964336,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,-1.3929499777182324,0.7165943188826283,0.0024844920668475683,13,79,0.006324161624702901,True
Drethia vs Melvoni,Drethia,Melvoni,unjustified,-1.0291465301409486,0.6692503396945176,0.010782279814758076,13,79,0.022363247023201936,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,unjustified,-0.8759801023713939,0.33270690098104466,0.00023685423954182054,13,79,0.0011466199588913652,True
Drethia vs Zhaodong,Drethia,Zhaodong,unjustified,-0.48263646139645605,0.5055924010456032,0.08591907804210346,13,79,0.14151377559875863,False
Voskara vs Korvachev,Voskara,Korvachev,unjustified,-0.4387018888333349,0.39860719801262395,0.05197526991881661,13,79,0.08820045804405242,False
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,unjustified,-0.3803298245333374,0.4258787378310652,0.10555311536826407,13,79,0.16419373501729967,False
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,-0.36504089747446383,0.5624546688308669,0.22744779684755165,13,79,0.3106604054503144,False
Terluna vs Melvoni,Terluna,Melvoni,unjustified,-0.22214097976292252,0.38547080533480665,0.28075255051159675,13,79,0.3573214279238504,False
Voskara vs Melvoni,Voskara,Melvoni,unjustified,0.011761692725292474,0.6402052012122982,0.9718675414371234,13,79,0.9718675414371234,False
Terluna vs Korvachev,Terluna,Korvachev,unjustified,0.043669961261539096,0.32849372768833957,0.7988474192363642,13,79,0.8133719177679344,False
Terluna vs Voskara,Terluna,Voskara,unjustified,0.28282403979781373,0.529116932800084,0.31543849158072945,13,79,0.37584160698980534,False
Voskara vs Zhaodong,Voskara,Zhaodong,unjustified,0.2956658386217682,0.4252219878051518,0.1979636917076166,13,79,0.2771491683906632,False
Melvoni vs Korvachev,Melvoni,Korvachev,unjustified,0.33034994323983546,0.6158883294250665,0.31382973789833474,13,79,0.37584160698980534,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,unjustified,0.4223971425571851,0.5020313352281751,0.12504033775297962,13,79,0.1864273857588874,False
Terluna vs Drethia,Terluna,Drethia,unjustified,0.4277557787586058,0.455404872356962,0.0904662774756777,13,79,0.14474604396108431,False
Voskara vs Drethia,Voskara,Drethia,unjustified,0.4956286251715525,0.5973122986699974,0.12983335793922515,13,79,0.1864273857588874,False
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,unjustified,0.5503523356964362,0.4808791272436107,0.044542537967031774,13,79,0.0779494414423056,False
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,0.7846339363016311,0.46727494788826335,0.006445297244304873,13,79,0.013882178680041267,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,unjustified,0.8568782091376137,0.5614033926006529,0.011241294058798893,13,79,0.022482588117597787,True
Drethia vs Bretherland,Drethia,Bretherland,unjustified,1.2645803892459624,0.548391412026791,0.0007021409048054447,13,79,0.0024574931668190567,True
Melvoni vs Bretherland,Melvoni,Bretherland,unjustified,1.8653199943575685,0.7942994261893274,0.0006079480986945989,13,79,0.002269672901793169,True
Terluna vs Bretherland,Terluna,Bretherland,unjustified,1.9467217410964064,0.5682375740851714,2.149972341313188e-05,13,79,0.0004013281703784618,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,unjustified,2.016354860359676,0.43481506158121025,9.94938596944615e-07,13,79,2.785828071444922e-05,True
Voskara vs Bretherland,Voskara,Bretherland,unjustified,2.0293323412493227,0.7132427909780042,0.00012054142407138408,13,79,0.0008437899684996886,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,unjustified,2.111650132864966,0.761396773409212,0.00015107357181049036,13,79,0.0009400133357097179,True
