pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Venezuela vs Canada,Venezuela,Canada,justified,-0.79420939105394,0.09223470045804547,1.0022366301398983e-09,13,79,5.612525128783431e-08,True
China vs Canada,China,Canada,justified,-0.7043408031019744,0.23531580525815704,7.638114283418491e-05,13,79,0.00016141062670174702,True
China vs Australia,China,Australia,justified,-0.5811299688285968,0.19618973974901904,8.39847737317908e-05,13,79,0.0001679695474635816,True
Venezuela vs Australia,Venezuela,Australia,justified,-0.5583052419052689,0.10803962624512231,3.1193103706371887e-07,13,79,1.4556781729640212e-06,True
China vs Japan,China,Japan,justified,-0.5576192172280011,0.18638719190917485,7.671848401766104e-05,13,79,0.00016141062670174702,True
USA vs Australia,USA,Australia,justified,-0.39694961074453133,0.13790167639702697,0.00010867277885223503,13,79,0.00020985088330086765,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.20704495321586985,0.10581298674901328,0.0023732929635086643,13,79,0.004027406241105612,True
USA vs France,USA,France,justified,-0.2007214010504651,0.19479053596279336,0.06632251458670195,13,79,0.0905868491915929,False
USA vs Canada,USA,Canada,justified,-0.13664834903676365,0.179650540990521,0.16181393063699895,13,79,0.18878291907649877,False
USA vs Japan,USA,Japan,justified,-0.11964857276002859,0.1187963672249553,0.07184603419336072,13,79,0.0957947122578143,False
France vs Japan,France,Japan,justified,-0.11919036354432941,0.16719088068998922,0.18762834646592988,13,79,0.21443239596106273,False
Canada vs Australia,Canada,Australia,justified,-0.09429400501902398,0.09958908597481482,0.08819890712287613,13,79,0.11225315452002417,False
France vs Canada,France,Canada,justified,0.08912850195186335,0.11558236409020764,0.1565633473721841,13,79,0.1865435628264321,False
Japan vs Australia,Japan,Australia,justified,0.09349146735259152,0.17052134196147511,0.30368397830614874,13,79,0.3270442843296986,False
Japan vs Canada,Japan,Canada,justified,0.14368656525241666,0.1741576475419013,0.13183034937138657,13,79,0.1630523939473079,False
China vs Indonesia,China,Indonesia,justified,0.2098480796214575,0.25587472122643506,0.13393589502814576,13,79,0.1630523939473079,False
France vs China,France,China,justified,0.37497171083031966,0.23772553308176442,0.009335105719277217,13,79,0.014521275563320116,True
France vs Australia,France,Australia,justified,0.3929709040386271,0.14570871931029877,0.00019268482160191846,13,79,0.00035967833365691443,True
France vs Venezuela,France,Venezuela,justified,0.4268531771532376,0.07521729244021134,1.1212603169283809e-07,13,79,7.970734115196605e-07,True
USA vs Indonesia,USA,Indonesia,justified,0.44719943229382814,0.10536480571767298,2.514515560941781e-06,13,79,7.822937300707764e-06,True
China vs Venezuela,China,Venezuela,justified,0.5115296964834474,0.1601353323816905,4.185187319321115e-05,13,79,9.765437078415935e-05,True
USA vs China,USA,China,justified,0.5945494228678896,0.13104056175049375,1.252807449968702e-06,13,79,4.677147813216487e-06,True
Japan vs Venezuela,Japan,Venezuela,justified,0.6035489933556731,0.12132813300870328,4.704565030085258e-07,13,79,2.02658185911365e-06,True
