country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
France,justified,0.11187099937148771,0.018157253096364085,4.507253813849217e-08,13,2.4038687007195823e-07,True
Canada,justified,0.11128056154224275,0.02064948066240012,1.9765238199281397e-07,13,7.906095279712559e-07,True
Australia,justified,0.08186399505665201,0.009972535977569587,1.7386673935090543e-09,13,2.0410890115771303e-08,True
USA,justified,0.03137333788589806,0.02904045966283622,0.05578745409521431,13,0.06866148196334068,False
Japan,justified,-0.0026543941485248643,0.012159140943867724,0.6763193791384253,13,0.7214073377476536,False
Indonesia,justified,-0.05668161657294293,0.012860812815819963,1.6989338127636692e-06,13,4.530490167369785e-06,True
China,justified,-0.09898475062419831,0.026584626210810595,9.5048181531943e-06,13,2.1725298635872683e-05,True
Venezuela,justified,-0.17806813251061443,0.022428202943415673,2.551361264471413e-09,13,2.0410890115771303e-08,True
China,unjustified,0.044449789616245676,0.015758865712110236,0.00013019020537365788,13,0.00020830432859785263,True
Australia,unjustified,0.04031585377004058,0.012261299559314924,3.18565329134842e-05,13,5.6633836290638585e-05,True
Indonesia,unjustified,0.02019348997897593,0.01091631766547966,0.0034780579036312095,13,0.004637410538174946,True
USA,unjustified,-5.987646620601754e-05,0.018770692112276294,0.9951142467742197,13,0.9951142467742197,False
Canada,unjustified,-0.00561375405847995,0.010745939989471112,0.32607290893202223,13,0.37265475306516826,False
Japan,unjustified,-0.025560317039567723,0.007680055026332132,2.8385768847720637e-05,13,5.6633836290638585e-05,True
Venezuela,unjustified,-0.02639118589807841,0.010249893052636082,0.000286154218904885,13,0.00041622431840710546,True
France,unjustified,-0.04733399990293007,0.010378104316433118,1.1855909393678052e-06,13,3.7938910059769768e-06,True
