country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,0.975530235941539,0.11824703314883014,1.6418058463422339e-09,13,2.6268893541475742e-08,True
Indonesia,justified,0.7020436787200585,0.2549342807806831,0.0001607347486762991,13,0.00023379599807461687,True
Australia,justified,0.5927913236492666,0.09622472620493204,4.5133013546405766e-08,13,1.7511438944261656e-07,True
France,justified,0.4805402949869144,0.09691048310236272,4.869425350365697e-07,13,1.0777432026473895e-06,True
USA,justified,-0.16250081807010053,0.17151034004148114,0.0880093028088926,13,0.09387658966281878,False
Japan,justified,-0.4647640306143313,0.1820655402669583,0.0003075815889030543,13,0.00041010878520407235,True
Venezuela,justified,-0.6823959157651299,0.14947477064017123,1.1737518455886608e-06,13,1.8780029529418572e-06,True
China,justified,-1.4412447688482166,0.23803191099553642,5.4723246700817675e-08,13,1.7511438944261656e-07,True
Venezuela,unjustified,1.2512632462043514,0.1930842081743214,2.5612361483219376e-08,13,1.3659926124383668e-07,True
China,unjustified,0.8954674411553613,0.18230196645675825,5.388716013236947e-07,13,1.0777432026473895e-06,True
USA,unjustified,0.2649749809571674,0.16951251623112015,0.00982955024670687,13,0.012097907995946917,True
Indonesia,unjustified,-0.10126815098354885,0.17345800432124756,0.27481722583818613,13,0.27481722583818613,False
Japan,unjustified,-0.28099653481231435,0.20391422626598782,0.019277023679764527,13,0.022030884205445172,True
France,unjustified,-0.5342343644353413,0.09754996688310531,1.6574274503568114e-07,13,4.4198065342848303e-07,True
Canada,unjustified,-0.7403089843727495,0.15401472105171504,6.793823420628723e-07,13,1.2077908303339951e-06,True
Australia,unjustified,-0.754897633712926,0.10078597428299764,4.969724957450483e-09,13,3.975779965960386e-08,True
