pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Indonesia,China,Indonesia,justified,-2.021677542587865,0.4081833830093054,4.930319388970178e-07,13,79,1.5338771432351667e-06,True
China vs Canada,China,Canada,justified,-2.0057806793435935,0.28660773581100507,1.0758152191934e-08,13,79,9.139525457041654e-08,True
China vs Australia,China,Australia,justified,-1.7800623923322634,0.25874233749126907,1.3056464938630933e-08,13,79,9.139525457041654e-08,True
Venezuela vs Canada,Venezuela,Canada,justified,-1.531364461870062,0.183269912574672,1.4176027527077497e-09,13,79,3.969287707581699e-08,True
Japan vs Indonesia,Japan,Indonesia,justified,-1.2642370660747948,0.3860313841077972,3.308614894911981e-05,13,79,6.176081137169031e-05,True
Venezuela vs Australia,Venezuela,Australia,justified,-1.1955700551880133,0.18276077206173674,2.3040827288950585e-08,13,79,1.290286328181233e-07,True
USA vs Canada,USA,Canada,justified,-1.123139882751275,0.25238546871081713,1.535536190706317e-06,13,79,3.7386968121545113e-06,True
Japan vs Canada,Japan,Canada,justified,-1.0942937250868692,0.16724495647591295,2.2987906800067075e-08,13,79,1.290286328181233e-07,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-1.0287030726708957,0.18060356124459065,1.0765813402682272e-07,13,79,4.6375811580785175e-07,True
Japan vs Australia,Japan,Australia,justified,-0.9357829654364139,0.1688029090886206,1.4502837698752067e-07,13,79,5.414392740867439e-07,True
USA vs Indonesia,USA,Indonesia,justified,-0.77131982930576,0.3743693797433859,0.001644730942108844,13,79,0.002246461774587689,True
China vs Venezuela,China,Venezuela,justified,-0.7665836698592693,0.264507782908055,0.00010224830228765063,13,79,0.0001684089684737775,True
China vs Japan,China,Japan,justified,-0.7397264205254085,0.3116613097395319,0.0005584745328658988,13,79,0.000823015101065535,True
USA vs France,USA,France,justified,-0.6254865000520802,0.17300220596443194,1.271581204620365e-05,13,79,2.6373536095829793e-05,True
USA vs Australia,USA,Australia,justified,-0.5867817051399111,0.22217451925918288,0.0002306544361204345,13,79,0.00034909860602011706,True
France vs Canada,France,Canada,justified,-0.3966059963101173,0.09988197757326836,4.979001020393153e-06,13,79,1.0724002197769867e-05,True
France vs Indonesia,France,Indonesia,justified,-0.1621880738560158,0.2509097158848382,0.22921255329382817,13,79,0.2516843722442035,False
Australia vs Indonesia,Australia,Indonesia,justified,-0.015510530941505597,0.2395167472581756,0.9011018371997036,13,79,0.9344759793182111,False
France vs Australia,France,Australia,justified,0.004950779777799725,0.13444841559017334,0.9436533124757046,13,79,0.9590810728863506,False
USA vs Japan,USA,Japan,justified,0.24755322823135506,0.20156166862255978,0.033079819537128824,13,79,0.03780550804243294,True
Canada vs Australia,Canada,Australia,justified,0.32819654183243074,0.10938504381042115,7.472501855684649e-05,13,79,0.00012680609209646677,True
Canada vs Indonesia,Canada,Indonesia,justified,0.3493303643964272,0.18745636364503251,0.0033112621910947864,13,79,0.0044150162547930485,True
Japan vs Venezuela,Japan,Venezuela,justified,0.36838942140116077,0.274398291480768,0.021920201585432595,13,79,0.02557356851633803,True
USA vs Venezuela,USA,Venezuela,justified,0.5966403405578643,0.21179733356960861,0.00013166387357150882,13,79,0.00020481047000012482,True
France vs Japan,France,Japan,justified,0.8195970713974561,0.14665869410056118,1.3275689336256344e-07,13,79,5.310275734502538e-07,True
France vs Venezuela,France,Venezuela,justified,0.8226877285271836,0.17977900174434072,1.1448197529329908e-06,13,79,3.0528526744879753e-06,True
USA vs China,USA,China,justified,1.1250286219691032,0.16320495643953595,1.2766441642876836e-08,13,79,9.139525457041654e-08,True
France vs China,France,China,justified,1.6498540553200143,0.3013549436925026,1.66318163246028e-07,13,79,5.82113571361098e-07,True
