country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,0.1934258076964187,0.028449636785773773,1.4921254175549564e-08,13,1.7496945431769452e-07,True
Australia,justified,0.11739804216551881,0.0258003318608522,1.2152956696718594e-06,13,4.673249859660198e-06,True
France,justified,0.08354387378728495,0.02192301916953111,7.539160822769986e-06,13,1.6242630651781876e-05,True
Indonesia,justified,0.061267415339381584,0.030500872091111624,0.0019733080057217044,13,0.0033815728738646354,True
Venezuela,justified,-0.03135220455770901,0.02468847466779035,0.028482786689222602,13,0.032551756216254404,True
USA,justified,-0.08990507294710927,0.04721836411732938,0.0028640091442705402,13,0.004165831482575331,True
Japan,justified,-0.15105393113717555,0.022984119220033666,2.1871181789711815e-08,13,1.7496945431769452e-07,True
China,justified,-0.18332393034661024,0.035369637968612914,3.019771030784908e-07,13,1.610544549751951e-06,True
USA,unjustified,0.09495805536870992,0.025104068994508445,8.121315325890938e-06,13,1.6242630651781876e-05,True
Venezuela,unjustified,0.06442552982341675,0.035702899847024364,0.004094855602431775,13,0.005459807469909033,True
China,unjustified,0.05758192714972375,0.04486036038433138,0.027116554639900606,13,0.032551756216254404,True
France,unjustified,0.028300383249575525,0.01422600876809223,0.0021134830461653972,13,0.0033815728738646354,True
Indonesia,unjustified,-0.010784602105570735,0.01859692741122609,0.2778822276664184,13,0.2778822276664184,False
Australia,unjustified,-0.02872146535050738,0.030851158604476566,0.09302747930970703,13,0.0992293112636875,False
Canada,unjustified,-0.10214915275008409,0.02482792445060872,3.4650380198561007e-06,13,9.240101386282936e-06,True
Japan,unjustified,-0.10361067538526375,0.023171647185754297,1.4603905811438119e-06,13,4.673249859660198e-06,True
