pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Indonesia,China,Indonesia,justified,-0.17455070946133616,0.0645096770707038,0.0001873054036147791,13,79,0.00043704594176781787,True
Japan vs Canada,Japan,Canada,justified,-0.1502260769215914,0.032539079244301404,1.0426375178926154e-06,13,79,9.731283500331077e-06,True
USA vs France,USA,France,justified,-0.13397149889023752,0.047779450782433855,0.0001371876514521352,13,79,0.0003340221078834596,True
USA vs Canada,USA,Canada,justified,-0.13311298202463998,0.055751235123484455,0.0005325025747612683,13,79,0.0011469286225627318,True
USA vs Indonesia,USA,Indonesia,justified,-0.12933550721832685,0.06760557159446903,0.002772711258977421,13,79,0.004705206984931381,True
Japan vs Indonesia,Japan,Indonesia,justified,-0.12625915667676663,0.042978568866537455,9.049966263367253e-05,13,79,0.0002533990553742831,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.12582989724782795,0.029775448990993054,2.629687049190282e-06,13,79,1.6362497194961753e-05,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.1177026086892837,0.029713101417937114,5.100801339770137e-06,13,79,2.5366662271078988e-05,True
China vs Canada,China,Canada,justified,-0.11396806219067329,0.04887398066244162,0.0006429470223948518,13,79,0.0013062121732720661,True
Japan vs Australia,Japan,Australia,justified,-0.09025869867849699,0.024319626065141188,9.815612785179817e-06,13,79,4.2282639690005366e-05,True
USA vs Australia,USA,Australia,justified,-0.08957188767500414,0.045441657334166045,0.0022545509825698255,13,79,0.003945464219497195,True
China vs Australia,China,Australia,justified,-0.059352104685136256,0.03746722738588963,0.00910756094642137,13,79,0.014167317027766576,True
Venezuela vs Australia,Venezuela,Australia,justified,-0.04617387667680398,0.022125354220216338,0.001497962922698694,13,79,0.0027700380907728504,True
Australia vs Indonesia,Australia,Indonesia,justified,-0.043712799734139184,0.02818901491198289,0.010285747752107015,13,79,0.015567618219405213,True
USA vs Venezuela,USA,Venezuela,justified,-0.030763508663291025,0.04627878948909682,0.21705761894966008,13,79,0.27216822125420614,False
France vs Indonesia,France,Indonesia,justified,-0.026199061109687817,0.04713638888107945,0.29737349053107576,13,79,0.36201990151609226,False
China vs Venezuela,China,Venezuela,justified,-0.013507328163354825,0.02892139800695141,0.37801471854133245,13,79,0.4410171716315545,False
Japan vs Venezuela,Japan,Venezuela,justified,-0.01207646360491222,0.028602965573546267,0.4240871590623389,13,79,0.4846710389283873,False
USA vs China,USA,China,justified,-0.00924335920930782,0.03788270532148855,0.6410747119824393,13,79,0.703925173941502,False
France vs Canada,France,Canada,justified,-0.0005723419070462162,0.018241804451825022,0.951976917029095,13,79,0.9602095793902435,False
USA vs Japan,USA,Japan,justified,0.013664722865645266,0.028815055684698884,0.37096372383429516,13,79,0.4410171716315545,False
China vs Japan,China,Japan,justified,0.031335849505968585,0.022546858961223108,0.018469590232484876,13,79,0.026520437256901362,True
Canada vs Indonesia,Canada,Indonesia,justified,0.031564791328631915,0.034457772076682665,0.09778830359253568,13,79,0.12735220932981392,False
France vs Australia,France,Australia,justified,0.0338398573080917,0.015720745083340322,0.0011909766034024695,13,79,0.0022998168893289066,True
