country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,-0.7265624701976776,0.6250000149011612,-0.05078122764825821,0.9938987545064728
USA,France,airspace_v1,airspace,unjustified,0.0703125,0.09375,0.08203125,0.9952751197379728
USA,France,airspace_v2,airspace,justified,-1.1796875149011612,0.8124999701976776,-0.1835937723517418,0.9926264768609789
USA,France,airspace_v2,airspace,unjustified,0.09375,0.2109375,0.15234375,0.9958883799365336
USA,France,airspace_v3,airspace,justified,-0.7031250298023224,0.4609374850988388,-0.12109377235174179,0.9939715019840292
USA,France,airspace_v3,airspace,unjustified,0.5546874850988388,-0.3828124850988388,0.0859375,0.9958564528000392
USA,France,airspace_v4,airspace,justified,-0.8984374850988388,0.9296874701976776,0.015624992549419403,0.9916661329671018
USA,France,airspace_v4,airspace,unjustified,0.4375,-0.0859375,0.17578125,0.9959334053942251
USA,France,airspace_v5,airspace,justified,-1.0078125149011612,0.8906250149011612,-0.05859375,0.9926639294799208
USA,France,airspace_v5,airspace,unjustified,0.359375,-0.0546875,0.15234375,0.9963226159480956
USA,France,maritime_v1,maritime,justified,-0.1015625,-0.1562500149011612,-0.1289062574505806,0.9939027879788451
USA,France,maritime_v1,maritime,unjustified,0.4453124850988388,-0.265625,0.0898437425494194,0.9970236660879654
USA,France,maritime_v2,maritime,justified,-0.0703125,-0.1484375,-0.109375,0.993356078832799
USA,France,maritime_v2,maritime,unjustified,0.328125,-0.2734375,0.02734375,0.9962853117609263
USA,France,maritime_v3,maritime,justified,0.171875,-0.7578125149011612,-0.2929687574505806,0.9948124832905723
USA,France,maritime_v3,maritime,unjustified,0.1171875,0.2578125,0.1875,0.9962765215870915
USA,France,maritime_v4,maritime,justified,-0.0703125,-0.2031249850988388,-0.1367187425494194,0.9912334956395907
USA,France,maritime_v4,maritime,unjustified,0.3515625,-0.2109375,0.0703125,0.9938594343654714
USA,France,maritime_v5,maritime,justified,0.0546875,-0.078125,-0.01171875,0.9908357977603607
USA,France,maritime_v5,maritime,unjustified,0.0078125,0.0234375,0.015625,0.9926532518100901
USA,France,strike_v1,strike,justified,-0.03125,-0.6015624850988388,-0.3164062425494194,0.9944745531309978
USA,France,strike_v1,strike,unjustified,0.6015624701976776,-0.359375,0.1210937350988388,0.996328331642076
USA,France,strike_v2,strike,justified,-0.40625,0.015625,-0.1953125,0.9958258663825919
USA,France,strike_v2,strike,unjustified,0.9453125298023224,-0.6015624850988388,0.1718750223517418,0.9963563154067202
USA,France,strike_v3,strike,justified,-0.234375,-0.21875,-0.2265625,0.9952026158496461
USA,France,strike_v3,strike,unjustified,0.265625,-0.2109375,0.02734375,0.9970818806314161
USA,France,strike_v4,strike,justified,-0.7890625,0.0,-0.39453125,0.9954422124450268
USA,France,strike_v4,strike,unjustified,0.7968749850988388,-0.234375,0.2812499925494194,0.9967150977708161
USA,France,strike_v5,strike,justified,-0.3203124701976776,-0.25,-0.2851562350988388,0.9937694293448829
USA,France,strike_v5,strike,unjustified,0.3671875298023224,-0.2421875,0.0625000149011612,0.996834313898154
USA,France,proxy_v1,proxy,justified,-0.3593750298023224,0.4765624850988388,0.05859372764825821,0.9896089190426858
USA,France,proxy_v1,proxy,unjustified,-0.140625,-0.0703125,-0.10546875,0.9945278410414267
USA,France,proxy_v2,proxy,justified,-0.5859375,0.5156250149011612,-0.0351562425494194,0.9936753915110242
USA,France,proxy_v2,proxy,unjustified,-0.2187500149011612,0.1171875,-0.0507812574505806,0.9959235829612454
USA,France,proxy_v3,proxy,justified,-0.2031249850988388,0.0546875,-0.0742187425494194,0.9929278355501083
USA,France,proxy_v3,proxy,unjustified,-0.1640625,0.1953125,0.015625,0.9967536485696551
USA,France,proxy_v4,proxy,justified,-0.5000000149011612,0.3437499701976776,-0.07812502235174179,0.9906645756784074
USA,France,proxy_v4,proxy,unjustified,0.2109375,-0.15625,0.02734375,0.9957361916602385
USA,France,proxy_v5,proxy,justified,-0.5,0.3828125149011612,-0.0585937425494194,0.992085917182359
USA,France,proxy_v5,proxy,unjustified,0.265625,-0.2265625,0.01953125,0.9961830091571562
USA,France,cyber_v1,cyber,justified,-0.5625000149011612,0.4218750149011612,-0.0703125,0.9915318296766777
USA,France,cyber_v1,cyber,unjustified,0.4453125298023224,-0.34375,0.050781264901161194,0.9952841059449048
USA,France,cyber_v2,cyber,justified,-0.5937499850988388,0.390625,-0.1015624925494194,0.991707262185501
USA,France,cyber_v2,cyber,unjustified,0.2500000149011612,-0.125,0.0625000074505806,0.995623204262016
USA,France,cyber_v3,cyber,justified,-0.421875,0.078125,-0.171875,0.9889998324112302
USA,France,cyber_v3,cyber,unjustified,0.109375,-0.1015625,0.00390625,0.9954513527365776
USA,France,cyber_v4,cyber,justified,-0.7343750298023224,0.46875,-0.1328125149011612,0.9923546460780011
