pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Indonesia,China,Indonesia,justified,-0.7627489684361132,0.14881385091498875,3.4078867365535434e-07,13,79,1.7349241567908946e-06,True
China vs Japan,China,Japan,justified,-0.622538919591314,0.09912331940799583,3.638859761190593e-08,13,79,3.884564515770984e-07,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.5883842724931492,0.11018360462421714,2.1835530041329745e-07,13,79,1.3586552025716286e-06,True
China vs Canada,China,Canada,justified,-0.5531707903124639,0.08914362909062888,4.162033409754625e-08,13,79,3.884564515770984e-07,True
USA vs Canada,USA,Canada,justified,-0.5465029777188003,0.11142881056992619,5.477681322014811e-07,13,79,2.3889474386334744e-06,True
China vs Australia,China,Australia,justified,-0.5172848012537146,0.08895961100981341,8.570264501445094e-08,13,79,5.999185151011566e-07,True
USA vs Indonesia,USA,Indonesia,justified,-0.47709192140471374,0.11689553317514277,3.762537664314027e-06,13,79,1.3168881825099095e-05,True
USA vs Australia,USA,Australia,justified,-0.4401327821327161,0.08984405016739101,5.545770839684851e-07,13,79,2.3889474386334744e-06,True
USA vs Japan,USA,Japan,justified,-0.40051224805933217,0.057941710016914526,1.2375360703118672e-08,13,79,2.3100673312488186e-07,True
Venezuela vs Australia,Venezuela,Australia,justified,-0.39348672388032785,0.10119477921646537,6.155329600174523e-06,13,79,1.7234922880488662e-05,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.38535942931765277,0.09772730243167353,5.3431421034299206e-06,13,79,1.574820830484608e-05,True
USA vs France,USA,France,justified,-0.35966117397605724,0.07507372939797181,7.039326405782823e-07,13,79,2.815730562313129e-06,True
France vs Canada,France,Canada,justified,-0.33439217210702954,0.08809561543328574,7.842910054780038e-06,13,79,2.0914426812746767e-05,True
France vs Indonesia,France,Indonesia,justified,-0.3198403178171797,0.11546656063349069,0.0001527110152876561,13,79,0.0002515240251796689,True
France vs Australia,France,Australia,justified,-0.2735805889052567,0.06908813181512198,5.1194583434607944e-06,13,79,1.574820830484608e-05,True
China vs Venezuela,China,Venezuela,justified,-0.22576121920412714,0.12523253838943085,0.00412083666365099,13,79,0.005769171329111386,True
France vs Japan,France,Japan,justified,-0.16686698768779146,0.04818097717880361,1.935393659951121e-05,13,79,4.0141498132319546e-05,True
USA vs Venezuela,USA,Venezuela,justified,-0.1429573030248557,0.1314261195215695,0.05436389280679031,13,79,0.060887559943605146,False
Japan vs Australia,Japan,Australia,justified,-0.1332703765495356,0.0766544892086552,0.005195969339706157,13,79,0.006766843791245227,True
Japan vs Canada,Japan,Canada,justified,-0.1276757090587865,0.07300666352056509,0.005006944892461576,13,79,0.006675926523282101,True
Japan vs Indonesia,Japan,Indonesia,justified,-0.055674796142775713,0.10680150711092046,0.3270645924976871,13,79,0.3522234073052015,False
Canada vs Australia,Canada,Australia,justified,-0.007540631118220286,0.06780378742253845,0.8311100375816818,13,79,0.846221129174076,False
USA vs China,USA,China,justified,0.003419756479970696,0.07505389748736442,0.9303123622326173,13,79,0.9303123622326173,False
Australia vs Indonesia,Australia,Indonesia,justified,0.01697000847522156,0.08207451194353033,0.6924208152337981,13,79,0.7180660306128276,False
Canada vs Indonesia,Canada,Indonesia,justified,0.09499484917401395,0.07250738975354158,0.024641786284556558,13,79,0.028796933445946967,True
France vs China,France,China,justified,0.267342031752561,0.08022578879721522,2.8043860196789987e-05,13,79,5.415366106966342e-05,True
France vs Venezuela,France,Venezuela,justified,0.2935124779352066,0.11440105191491132,0.0002948326441538119,13,79,0.0004462331911517153,True
Japan vs Venezuela,Japan,Venezuela,justified,0.4592061564599202,0.1029050911714384,1.4916465717277755e-06,13,79,5.568813867783696e-06,True
Venezuela vs Australia,Venezuela,Australia,unjustified,-0.4187557275164805,0.05125453358976741,1.8361211109110897e-09,13,79,5.141139110551051e-08,True
Venezuela vs Canada,Venezuela,Canada,unjustified,-0.2874599336970584,0.10512018425736884,0.00017086999799624061,13,79,0.0002657977746608187,True
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,-0.22168326066745508,0.0788466926871812,0.00013394135069419707,13,79,0.00022729441329924353,True
France vs China,France,China,unjustified,-0.19270833390304348,0.11216939694076762,0.005598062109339753,13,79,0.007124806320977868,True
China vs Japan,China,Japan,unjustified,-0.19046188350562213,0.06915990056013706,0.00016067712637500954,13,79,0.0002570834022000153,True
Canada vs Australia,Canada,Australia,unjustified,-0.15325950484231604,0.05447437082181334,0.00013316489548327484,13,79,0.00022729441329924353,True
France vs Australia,France,Australia,unjustified,-0.09382154114694495,0.07147944226261191,0.024426978690356316,13,79,0.028796933445946967,True
France vs Japan,France,Japan,unjustified,-0.05724874078449639,0.07792620569876743,0.17546479786382665,13,79,0.1926672290269469,False
Japan vs Australia,Japan,Australia,unjustified,0.01662660344766501,0.05493450845448289,0.5640489200738278,13,79,0.5959762174364973,False
France vs Canada,France,Canada,unjustified,0.09319196234119462,0.08439519172198096,0.05131563635376271,13,79,0.05864644154715739,False
Japan vs Canada,Japan,Canada,unjustified,0.10890281285012599,0.08315247937696879,0.024683085810811686,13,79,0.028796933445946967,True
China vs Australia,China,Australia,unjustified,0.13375686475795598,0.06897571475118279,0.0025260952917941218,13,79,0.0036272137523197644,True
Canada vs Indonesia,Canada,Indonesia,unjustified,0.19466860795175256,0.10913037507045174,0.004411991232232938,13,79,0.006026134365976696,True
USA vs China,USA,China,unjustified,0.19574175895816026,0.05964368490619535,3.243288535724895e-05,13,79,6.054138600019804e-05,True
USA vs Japan,USA,Japan,unjustified,0.2237150828957885,0.061766433687522625,1.2493855551842244e-05,13,79,2.7986236436126627e-05,True
USA vs Australia,USA,Australia,unjustified,0.2314560443790623,0.058232189851964045,4.928809942924112e-06,13,79,1.574820830484608e-05,True
France vs Indonesia,France,Indonesia,unjustified,0.26064560588299135,0.15610258390529635,0.00667066852022101,13,79,0.008301276380719478,True
Japan vs Venezuela,Japan,Venezuela,unjustified,0.28838999247376296,0.08438755375054921,2.2017948516207305e-05,13,79,4.403589703241461e-05,True
France vs Venezuela,France,Venezuela,unjustified,0.29736148674832485,0.11693655387280588,0.0003176394681357731,13,79,0.00046810026883166564,True
Australia vs Indonesia,Australia,Indonesia,unjustified,0.34686927479988594,0.09187461045881626,8.275555806150339e-06,13,79,2.1065051142928135e-05,True
Japan vs Indonesia,Japan,Indonesia,unjustified,0.45517112827781353,0.15900131253401978,0.00011414953901404356,13,79,0.00020620561886407868,True
USA vs France,USA,France,unjustified,0.4569024736634813,0.07686670928171217,6.717996151235991e-08,13,79,5.374396920988793e-07,True
China vs Canada,China,Canada,unjustified,0.510559750864139,0.1460417468971805,1.766868655256173e-05,13,79,3.805563257474834e-05,True
China vs Venezuela,China,Venezuela,unjustified,0.5411515561488522,0.14581669842984857,9.820222884034163e-06,13,79,2.2913853396079717e-05,True
USA vs Canada,USA,Canada,unjustified,0.5719579898312198,0.08942280264535774,2.9664654696544802e-08,13,79,3.884564515770984e-07,True
USA vs Indonesia,USA,Indonesia,unjustified,0.618203420338695,0.1176479294285131,2.6020140354683274e-07,13,79,1.4571278598622634e-06,True
China vs Indonesia,China,Indonesia,unjustified,0.6301797137121523,0.1680186237005848,8.838531879489588e-06,13,79,2.1519903706583343e-05,True
USA vs Venezuela,USA,Venezuela,unjustified,0.7239869496215394,0.07664415528950766,3.4279615442025127e-10,13,79,1.9196584647534073e-08,True
