country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Venezuela,justified,0.1602441458507187,0.03917678472173144,3.67925500085145e-06,13,1.96226933378744e-05,True
Japan,justified,0.09063276704127862,0.04442920943894687,0.0017671713274995306,13,0.003141637915554721,True
Indonesia,justified,0.07448243711865982,0.031099791834691134,0.0005195363948362239,13,0.0016625164634759162,True
Canada,justified,0.06878352322367623,0.04573826308087713,0.012199687529517665,13,0.017745000042934785,True
USA,justified,-0.021178784349144737,0.043851508892769266,0.36250851656234734,13,0.36250851656234734,False
Australia,justified,-0.07313538398710627,0.037160379870392724,0.002279035984196799,13,0.0036464575747148786,True
France,justified,-0.0826894449102261,0.03949099446561094,0.0014618501109046815,13,0.002923700221809363,True
China,justified,-0.21713925998785627,0.07625914091521956,0.00011972833236553894,13,0.00047891332946215577,True
USA,unjustified,0.2477290184489997,0.04510350361936504,1.6055198349276768e-07,13,2.568831735884283e-06,True
China,unjustified,0.18110813998604072,0.07809012725005011,0.0006712006195075917,13,0.0017453032493446603,True
Japan,unjustified,-0.015044479159621713,0.025891867577247034,0.276987205885734,13,0.3165568067265531,False
Venezuela,unjustified,-0.02055329264715228,0.04017123522553795,0.3357418692335752,13,0.35812466051581354,False
Indonesia,unjustified,-0.036648433414263014,0.0415743751835726,0.10965130880535276,13,0.1349554569912034,False
Australia,unjustified,-0.04738602131821531,0.050830261186990924,0.09263173910930597,13,0.12350898547907463,False
France,unjustified,-0.14135269447430102,0.028064155821760486,4.1151445636692316e-07,13,3.2921156509353853e-06,True
Canada,unjustified,-0.16785223742148708,0.07357386279285032,0.0007635701715882889,13,0.0017453032493446603,True
