pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Venezuela,China,Venezuela,justified,-0.3260073281752949,0.0887047221610757,1.0816612778534227e-05,13,79,5.5066392327083334e-05,True
China vs Indonesia,China,Indonesia,justified,-0.3239039608205741,0.07795509092195098,3.131512817300833e-06,13,79,2.922745296147444e-05,True
China vs Canada,China,Canada,justified,-0.273752286071606,0.09480874558108396,0.00010570622356779831,13,79,0.00032886380665537253,True
China vs Japan,China,Japan,justified,-0.2423162786904109,0.08994332295709721,0.00019446049702166125,13,79,0.0005444893916606515,True
France vs Japan,France,Japan,justified,-0.21490098269410676,0.06364217967272766,2.4710786339440724e-05,13,79,0.00010644646423143697,True
USA vs Venezuela,USA,Venezuela,justified,-0.20341117367243922,0.06582599929298001,5.700319228421172e-05,13,79,0.00019951117299474102,True
France vs Indonesia,France,Indonesia,justified,-0.18498168229006037,0.062212251314582745,8.112883779906126e-05,13,79,0.00026724793627926064,True
France vs Venezuela,France,Venezuela,justified,-0.17415006739179512,0.0755807018916881,0.0007065116357246919,13,79,0.0017202022435035978,True
China vs Australia,China,Australia,justified,-0.12226705862065919,0.08336776532345172,0.013971700683568468,13,79,0.023279903281655228,True
Australia vs Indonesia,Australia,Indonesia,justified,-0.120650185220926,0.0491556351332724,0.00042569747624906747,13,79,0.0010835935759067172,True
France vs Canada,France,Canada,justified,-0.11349588023300793,0.05510990578652919,0.001649783028950638,13,79,0.0032995660579012757,True
USA vs Canada,USA,Canada,justified,-0.08423477679068024,0.05396654217459589,0.009911819668742586,13,79,0.017345684420299524,True
USA vs Indonesia,USA,Indonesia,justified,-0.08054315518321735,0.05503759428719103,0.014134226992433531,13,79,0.023279903281655228,True
Canada vs Indonesia,Canada,Indonesia,justified,-0.026041666015082007,0.05812745361261283,0.39713101563159947,13,79,0.4447867375073914,False
USA vs Japan,USA,Japan,justified,-0.006510414843253052,0.04405472513783033,0.7770284497143592,13,79,0.7911562397091657,False
Japan vs Venezuela,Japan,Venezuela,justified,0.00047218550897234395,0.04592463805547168,0.9842531465219028,13,79,0.9842531465219028,False
France vs Australia,France,Australia,justified,0.03743132018235141,0.05592443807392238,0.21410794664199756,13,79,0.25378076747160916,False
Japan vs Canada,Japan,Canada,justified,0.04560153143678284,0.06735520209140916,0.20921175775240894,13,79,0.25378076747160916,False
Japan vs Australia,Japan,Australia,justified,0.055703411380258874,0.05348579658484241,0.06384822866901092,13,79,0.08315118152243284,False
USA vs France,USA,France,justified,0.058107256389567596,0.055097095803632735,0.061002127362751804,13,79,0.08133616981700241,False
USA vs Australia,USA,Australia,justified,0.06599130056416377,0.055774714096867045,0.03883580654852419,13,79,0.05304402845652085,False
Japan vs Indonesia,Japan,Indonesia,justified,0.06892456473516567,0.049207004699074706,0.017753417280115383,13,79,0.028405467648184614,True
Venezuela vs Canada,Venezuela,Canada,justified,0.07580700456830007,0.058164155886068186,0.025254678822282085,13,79,0.037217421422310444,True
USA vs China,USA,China,justified,0.10234947309184533,0.08478826544195178,0.0356631399031089,13,79,0.04992839586435245,True
France vs China,France,China,justified,0.1293784344446037,0.07367265324325056,0.004876384199143314,13,79,0.008808952101678246,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,0.14581902496407537,0.037769040614053465,6.613451454642547e-06,13,79,4.1150364606664736e-05,True
Canada vs Australia,Canada,Australia,justified,0.1574519214906044,0.037574712915730994,2.869697780066639e-06,13,79,2.922745296147444e-05,True
Venezuela vs Australia,Venezuela,Australia,justified,0.1969866076920987,0.046146822180387216,2.369564671946471e-06,13,79,2.922745296147444e-05,True
France vs China,France,China,unjustified,-0.24911286582958786,0.07950400611243386,5.0115761708379955e-05,13,79,0.00019882325580105858,True
Canada vs Australia,Canada,Australia,unjustified,-0.14121165385831408,0.03762251118387163,8.77467646912018e-06,13,79,4.9138188227073016e-05,True
France vs Japan,France,Japan,unjustified,-0.10950377839702717,0.04432573566559536,0.00040364632691542845,13,79,0.0010763902051078092,True
France vs Australia,France,Australia,unjustified,-0.10911744669925816,0.039578568133553683,0.000159130999997252,13,79,0.00046901768420242693,True
Canada vs Indonesia,Canada,Indonesia,unjustified,-0.09525240734970068,0.09266116388330262,0.06689239389654485,13,79,0.08420366408895218,False
France vs Indonesia,France,Indonesia,unjustified,-0.07720924579562284,0.05845028017545496,0.02369978320146499,13,79,0.03586994214275782,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-0.07393258005967397,0.035394173736033346,0.001487944002035141,13,79,0.0032048024659218424,True
France vs Venezuela,France,Venezuela,unjustified,-0.058393432393724666,0.056989453076844346,0.067663658642908,13,79,0.08420366408895218,False
Venezuela vs Australia,Venezuela,Australia,unjustified,-0.028474131469434,0.06717570495338915,0.422311464649831,13,79,0.46371454941942225,False
Australia vs Indonesia,Australia,Indonesia,unjustified,-0.019259387067768162,0.0711707429419904,0.6055163056062243,13,79,0.6279428354434918,False
Japan vs Indonesia,Japan,Indonesia,unjustified,-0.018529648046544837,0.0542229182477528,0.5156717906777688,13,79,0.5448607599614161,False
France vs Canada,France,Canada,unjustified,0.03554258651471946,0.06685835054332208,0.3179698800527595,13,79,0.3633941486317252,False
Venezuela vs Canada,Venezuela,Canada,unjustified,0.04186698697821233,0.101868677438399,0.4361798670095809,13,79,0.4697321644718564,False
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,0.05091002765674513,0.0412735723190285,0.03245841168203453,13,79,0.046606950107536765,True
USA vs China,USA,China,unjustified,0.05799278776901654,0.0873358331138244,0.21752637211852213,13,79,0.25378076747160916,False
China vs Venezuela,China,Venezuela,unjustified,0.0994305162939615,0.07267978786989868,0.01998502437853343,13,79,0.031087815699940888,True
Japan vs Australia,Japan,Australia,unjustified,0.11996337119831052,0.06555094508237724,0.0037342778555701254,13,79,0.006970651997064234,True
USA vs Indonesia,USA,Indonesia,unjustified,0.1336853270838549,0.062214520930049796,0.0012067503705188317,13,79,0.002703120829962183,True
Japan vs Canada,Japan,Canada,unjustified,0.14925309134162826,0.07771127344720084,0.002699205897274249,13,79,0.005212259663701998,True
USA vs Japan,USA,Japan,unjustified,0.19081959718899738,0.04848195294675836,5.4446961655013504e-06,13,79,4.1150364606664736e-05,True
China vs Japan,China,Japan,unjustified,0.20074976975910172,0.0644895400368642,5.32562292324264e-05,13,79,0.00019882325580105858,True
China vs Australia,China,Australia,unjustified,0.2236292376268259,0.10813140156754256,0.0016001804305379858,13,79,0.0032995660579012757,True
USA vs Venezuela,USA,Venezuela,unjustified,0.24107142785502658,0.0550680063351916,1.8228625656182786e-06,13,79,2.922745296147444e-05,True
USA vs Australia,USA,Australia,unjustified,0.24765338536160877,0.06390983860147374,6.372797522333653e-06,13,79,4.1150364606664736e-05,True
China vs Canada,China,Canada,unjustified,0.27063301074294704,0.12302670022404583,0.0010109987296083747,13,79,0.0023589970357528744,True
China vs Indonesia,China,Indonesia,unjustified,0.28219436741887755,0.0788812712699509,1.4108241103794815e-05,13,79,6.58384584843758e-05,True
USA vs France,USA,France,unjustified,0.42167467871960596,0.05769195433523194,6.5681923286588475e-09,13,79,3.6781877040489547e-07,True
USA vs Canada,USA,Canada,unjustified,0.44120592516488755,0.0819820177616215,2.005923175708378e-07,13,79,5.616584891983459e-06,True
