country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,1.4966553604300463,0.24226770477570414,4.3750720766174946e-08,13,1.7500288306469979e-07,True
Indonesia,justified,1.3350401433903092,0.18638385268681212,8.26515830794096e-09,13,6.612126646352768e-08,True
Australia,justified,0.8255167506510427,0.19412705000259978,2.465004716208008e-06,13,4.930009432416016e-06,True
Venezuela,justified,0.15151998528812038,0.22366143501830724,0.2089465513635896,13,0.23879605870124526,False
France,justified,-0.32958907908494406,0.13259144329501363,0.00038363308233247155,13,0.0006138129317319544,True
Japan,justified,-0.4629994758547585,0.21758879593042693,0.001298018160240719,13,0.0018243519863037063,True
USA,justified,-1.4368811473922931,0.15429156679882264,4.043457158052264e-10,13,6.4695314528836225e-09,True
China,justified,-1.5792625374275233,0.2874857063114537,1.602628177344116e-07,13,5.12841016750117e-07,True
Venezuela,unjustified,1.5645180214089227,0.30765810116248293,3.7111458572666e-07,13,9.896388952710933e-07,True
China,unjustified,1.1044625484636557,0.24703373821074623,1.4622572560909988e-06,13,3.3423022996365687e-06,True
France,unjustified,0.4919790074624968,0.2328587390788084,0.0013682639897277798,13,0.0018243519863037063,True
Indonesia,unjustified,-0.0673317164981914,0.18687948777029662,0.4935606306997392,13,0.4935606306997392,False
USA,unjustified,-0.12318740314343474,0.22084839658786393,0.29573588897986935,13,0.31545161491186063,False
Australia,unjustified,-0.3278771467001993,0.20623775336862502,0.008920664772501967,13,0.01097927972000242,True
Japan,unjustified,-0.9163222454545783,0.24474167749852288,8.995452334061886e-06,13,1.5991915260554463e-05,True
Canada,unjustified,-1.7262410655386715,0.27698937257815115,3.9667109074210726e-08,13,1.7500288306469979e-07,True
