country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,-2.679687589406967,-0.5234375,-1.6015625447034836,0.4001473950694572
USA,France,airspace_v1,airspace,unjustified,2.7031249403953552,-2.757812574505806,-0.027343817055225372,0.6072148408698217
USA,France,airspace_v2,airspace,justified,-1.8828125,-0.78125,-1.33203125,0.3909854005972888
USA,France,airspace_v2,airspace,unjustified,0.515625,-0.4960937201976776,0.009765639901161194,0.5975590585140799
USA,France,airspace_v3,airspace,justified,-2.1289061903953552,-0.3515625,-1.2402343451976776,0.39116846237713515
USA,France,airspace_v3,airspace,unjustified,0.5820311903953552,0.14453120529651642,0.3632811978459358,0.6573250918097158
USA,France,airspace_v4,airspace,justified,-5.421875104308128,1.5664061903953552,-1.9277344569563866,0.6228228448081823
USA,France,airspace_v4,airspace,unjustified,2.7460936903953552,-2.5585937052965164,0.0937499925494194,0.6507646181235416
USA,France,airspace_v5,airspace,justified,-5.078124776482582,-1.1484374403953552,-3.1132811084389687,0.5211440256114069
USA,France,airspace_v5,airspace,unjustified,2.6523437052965164,-0.5312500298023224,1.060546837747097,0.621701503286233
USA,France,maritime_v1,maritime,justified,-0.1953125,-3.0117187947034836,-1.6035156473517418,0.39334586466000554
USA,France,maritime_v1,maritime,unjustified,0.9882812201976776,-0.5546875,0.2167968600988388,0.6109128436805622
USA,France,maritime_v2,maritime,justified,-0.5703125,-2.3515624701976776,-1.4609374850988388,0.3504217265691067
USA,France,maritime_v2,maritime,unjustified,0.30859375,-0.04296875,0.1328125,0.510917673036307
USA,France,maritime_v3,maritime,justified,-1.4726561903953552,-2.0859375596046448,-1.779296875,0.38760727527451283
USA,France,maritime_v3,maritime,unjustified,-1.16796875,3.6718748956918716,1.2519530728459358,0.5721631078663196
USA,France,maritime_v4,maritime,justified,0.36328125,-3.0117187201976776,-1.3242187350988388,0.4675625908358353
USA,France,maritime_v4,maritime,unjustified,0.8124999403953552,-0.2578125,0.2773437201976776,0.5751902206810544
USA,France,maritime_v5,maritime,justified,1.2578125,-4.636718690395355,-1.6894530951976776,0.5072331759212627
USA,France,maritime_v5,maritime,unjustified,0.2109374701976776,0.69140625,0.4511718600988388,0.5915589523909627
USA,France,strike_v1,strike,justified,-0.73046875,-2.05078125,-1.390625,0.44750631776681393
USA,France,strike_v1,strike,unjustified,4.445312477648258,-2.960937410593033,0.7421875335276127,0.6974240670503268
USA,France,strike_v2,strike,justified,-3.367187514901161,-1.0859375,-2.2265625074505806,0.604722761607886
USA,France,strike_v2,strike,unjustified,3.4296874403953552,-4.101562283933163,-0.33593742176890373,0.7487388983060531
USA,France,strike_v3,strike,justified,-0.2578125596046448,-2.1132812798023224,-1.1855469197034836,0.3731529735604405
USA,France,strike_v3,strike,unjustified,2.3437499701976776,-1.9882812052965164,0.1777343824505806,0.7199199793726542
USA,France,strike_v4,strike,justified,-1.1445311903953552,-2.8515624403953552,-1.9980468153953552,0.44802993801955326
USA,France,strike_v4,strike,unjustified,6.234374925494194,-6.222656294703484,0.005859315395355225,0.739849645273057
USA,France,strike_v5,strike,justified,-3.265625089406967,0.3710938096046448,-1.4472656399011612,0.48483186920115046
USA,France,strike_v5,strike,unjustified,0.9999999850988388,-1.1914061903953552,-0.09570310264825821,0.6838976494501223
USA,France,proxy_v1,proxy,justified,-0.8710936903953552,-1.265625,-1.0683593451976776,0.38354091770427184
USA,France,proxy_v1,proxy,unjustified,-0.05468752980232239,-1.5078124552965164,-0.7812499925494194,0.7824164655561903
USA,France,proxy_v2,proxy,justified,-2.3671874701976776,-0.97265625,-1.6699218600988388,0.34379034152614246
