country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
China,justified,2.6991533337606537,0.7766222810242549,1.8706762700281566e-05,13,9.976940106816835e-05,True
Indonesia,justified,1.9044021337879684,0.9690838140605262,0.0023030120372947186,13,0.0052640275138165,True
Venezuela,justified,0.9936265428620399,0.7593608675639876,0.024787694956236134,13,0.03605482902725256,True
Canada,justified,-0.4239231674885684,0.3961996347731939,0.05783701908028969,13,0.06609945037747393,False
Australia,justified,-0.6102376071690233,0.4930354377828939,0.03196978661527307,13,0.04262638215369743,True
Japan,justified,-0.9669368912859772,0.511741231405778,0.003016819666185733,13,0.0054336859697734115,True
France,justified,-1.0010261323016874,0.5308061524793439,0.0030564483579975437,13,0.0054336859697734115,True
USA,justified,-2.595058212165406,0.917091333483586,0.0001265525769252238,13,0.0005021437843630648,True
USA,unjustified,2.6955496094275713,0.6872486291913282,5.639638948453985e-06,13,4.98050696579002e-05,True
France,unjustified,0.9407603184829241,0.4662877286271919,0.0019125319633527646,13,0.005100085235607372,True
Japan,unjustified,0.7050198629650197,0.424499244720575,0.00688940922254959,13,0.011023054756079344,True
Australia,unjustified,0.5585794351146715,0.4674382135144058,0.037239188359769304,13,0.045832847212023756,True
Canada,unjustified,0.03670975620473455,0.43759093170550534,0.8721332949614888,13,0.8721332949614888,False
Venezuela,unjustified,-0.5671155491475706,0.7150237191770531,0.14601724227738855,13,0.15575172509588112,False
Indonesia,unjustified,-2.1020142340814156,0.761214150284545,0.00015691993261345773,13,0.0005021437843630648,True
China,unjustified,-2.2674891989659343,0.5837974901909367,6.225633707237525e-06,13,4.98050696579002e-05,True
