pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
USA vs China,USA,China,justified,-4.223600623932752,1.0982164313980298,6.87641568512015e-06,13,79,7.701585567334568e-05,True
USA vs Venezuela,USA,Venezuela,justified,-3.6867130115839877,1.2986777446098945,0.00012297653891407258,13,79,0.000459112411945871,True
France vs China,France,China,justified,-3.569182096460241,0.9452677088833237,8.26726455515869e-06,13,79,7.716113584814777e-05,True
USA vs Indonesia,USA,Indonesia,justified,-3.37444193857857,1.5086702544419481,0.0008901383798954056,13,79,0.002167293446701857,True
France vs Indonesia,France,Indonesia,justified,-2.7663404119656003,1.304406865047427,0.0013305994472102864,13,79,0.0029805427617510417,True
Japan vs Indonesia,Japan,Indonesia,justified,-2.6000600785227945,1.1444238930933825,0.0007887272836530283,13,79,0.0020076694492986175,True
USA vs Canada,USA,Canada,justified,-2.396477243435744,0.9392423854246438,0.00030882444005281745,13,79,0.0009607871468309875,True
Australia vs Indonesia,Australia,Indonesia,justified,-2.352192064668718,1.184578422752882,0.002141120534513903,13,79,0.00444084259010291,True
Canada vs Indonesia,Canada,Indonesia,justified,-1.940204307434258,1.0132019459473876,0.0027545986762385205,13,79,0.005509197352477041,True
France vs Venezuela,France,Venezuela,justified,-1.8966203157749344,1.0670872951206882,0.004515749757995063,13,79,0.00842939954825745,True
USA vs Australia,USA,Australia,justified,-1.8108115811660772,0.874344417936031,0.0015838076289613234,13,79,0.0034112779700705424,True
USA vs France,USA,France,justified,-1.586266566439321,0.8389523978384749,0.003003162154394178,13,79,0.005799209677450827,True
USA vs Japan,USA,Japan,justified,-1.0870965200213911,0.8890175273746346,0.03372087998175215,13,79,0.04841972510200308,True
Japan vs Australia,Japan,Australia,justified,-0.8990098313730788,0.717249557408833,0.030221043870577804,13,79,0.0445362751776936,True
Japan vs Venezuela,Japan,Venezuela,justified,-0.7559524147766054,1.026792025384893,0.17461091208717902,13,79,0.2037127307683755,False
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.7429172508321131,0.7229244696083297,0.06696370819470805,13,79,0.08928494425961074,False
France vs Canada,France,Canada,justified,-0.4484747096175402,0.42472201087939726,0.06072952648306253,13,79,0.08294764592808541,False
Japan vs Canada,Japan,Canada,justified,-0.3202695700946649,0.6411513736084028,0.34687480370211127,13,79,0.373557480909966,False
France vs Australia,France,Australia,justified,-0.0057949855679011964,0.6753919871867107,0.9868588613889391,13,79,0.9948169756032863,False
France vs Japan,France,Japan,justified,0.09296302683508365,0.5606677075587917,0.7507896772860851,13,79,0.778596702370755,False
Canada vs Australia,Canada,Australia,justified,0.2733373329730214,0.37582352227281013,0.1794989075716277,13,79,0.2051416086532888,False
China vs Indonesia,China,Indonesia,justified,0.44534111548627153,1.1495150373351575,0.46230769352006773,13,79,0.4884760535306376,False
Venezuela vs Australia,Venezuela,Australia,justified,1.2151442584146748,0.8314459956424283,0.014234238194324126,13,79,0.0241550708752167,True
China vs Venezuela,China,Venezuela,justified,1.2336309543032864,0.9683196031444247,0.028068244005108992,13,79,0.04366171289683621,True
Venezuela vs Canada,Venezuela,Canada,justified,1.3775040046194762,0.9805045540740134,0.017485589055626485,13,79,0.028799793738678917,True
China vs Canada,China,Canada,justified,3.0883127164872146,0.9278079171126538,2.8347563706806404e-05,13,79,0.00015874635675811586,True
China vs Australia,China,Australia,justified,3.146605992233806,1.0573863938474726,8.052722141615953e-05,13,79,0.00032210888566463813,True
China vs Japan,China,Japan,justified,3.1873998374210037,0.8933651983006541,1.4484855612902727e-05,13,79,0.00011587884490322181,True
