country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,0.5259455764848469,0.11400107854748603,1.0504906032358538e-06,13,2.80130827529561e-06,True
Australia,justified,0.3967314287596141,0.05370625789216589,5.8202689053933035e-09,13,4.656215124314643e-08,True
Indonesia,justified,0.12845563499621504,0.08019303560132326,0.008538454693320357,13,0.011384606257760476,True
France,justified,0.09844072825362596,0.08165711069366148,0.03586468748676606,13,0.04098821427058978,True
Japan,justified,-0.016672032782422942,0.057491733467166954,0.5802574785680972,13,0.5802574785680972,False
Venezuela,justified,-0.20168729724917095,0.06582926258985305,6.168893807011923e-05,13,9.870230091219077e-05,True
USA,justified,-0.37596485682839675,0.07118215428715663,2.4608019427079533e-07,13,7.87456621666545e-07,True
China,justified,-0.5552491816343113,0.12424299999031302,1.4685843016676584e-06,13,3.3567641180975048e-06,True
China,unjustified,0.4985390958219789,0.08445807135911493,7.257816334114646e-08,13,3.5916851718578744e-07,True
Venezuela,unjustified,0.2666382913705311,0.06532495588433193,3.759058341253992e-06,13,6.682770384451541e-06,True
Indonesia,unjustified,0.10304220888348445,0.05573124967080648,0.003489724316074963,13,0.0050759626415635825,True
USA,unjustified,0.07400618949909911,0.05180363782628148,0.016043130815872032,13,0.019745391773380964,True
Japan,unjustified,0.028807245935925027,0.045585842994923235,0.2391791903565525,13,0.255124469713656,False
Australia,unjustified,-0.26023823217806086,0.044943383253814785,8.979212929644686e-08,13,3.5916851718578744e-07,True
France,unjustified,-0.34240209143599054,0.045348017924954645,4.534061046347844e-09,13,4.656215124314643e-08,True
Canada,unjustified,-0.3683927078969671,0.0835035618545645,1.6813473358228434e-06,13,3.3626946716456867e-06,True
