country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,-0.5234375,-0.1015625,-0.3125,3.357741903958672e-05
USA,France,airspace_v1,airspace,unjustified,-0.0234375,0.03125,0.00390625,1.625767222631095e-05
USA,France,airspace_v2,airspace,justified,-0.46875,-0.078125,-0.2734375,3.172225824456237e-05
USA,France,airspace_v2,airspace,unjustified,0.0390625,0.0234375,0.03125,2.1158788017671803e-05
USA,France,airspace_v3,airspace,justified,-0.2265625,-0.0703125,-0.1484375,3.4312700082241804e-05
USA,France,airspace_v3,airspace,unjustified,0.640625,-0.0546875,0.29296875,2.605904284088114e-05
USA,France,airspace_v4,airspace,justified,-1.3203125,1.078125,-0.12109375,3.1011486631714246e-05
USA,France,airspace_v4,airspace,unjustified,0.7265625,-0.46875,0.12890625,2.242040674874314e-05
USA,France,airspace_v5,airspace,justified,-0.5390625,0.03125,-0.25390625,2.992291578971126e-05
USA,France,airspace_v5,airspace,unjustified,-0.5625,1.140625,0.2890625,1.6845150418761457e-05
USA,France,maritime_v1,maritime,justified,-0.8359375,-0.0078125,-0.421875,2.950264899909891e-05
USA,France,maritime_v1,maritime,unjustified,0.4140625,-0.2578125,0.078125,1.2776965655923037e-05
USA,France,maritime_v2,maritime,justified,-0.4453125,-0.421875,-0.43359375,4.887113306071723e-05
USA,France,maritime_v2,maritime,unjustified,-0.1171875,0.5390625,0.2109375,1.8775476127175595e-05
USA,France,maritime_v3,maritime,justified,0.078125,-0.75,-0.3359375,2.8328389844161795e-05
USA,France,maritime_v3,maritime,unjustified,-0.9140625,1.3046875,0.1953125,1.4703146761907306e-05
USA,France,maritime_v4,maritime,justified,-0.1015625,-0.4765625,-0.2890625,3.0769027424913106e-05
USA,France,maritime_v4,maritime,unjustified,0.0078125,0.46875,0.23828125,1.5532477120108328e-05
USA,France,maritime_v5,maritime,justified,-0.171875,-0.484375,-0.328125,2.2254901070842318e-05
USA,France,maritime_v5,maritime,unjustified,0.40625,0.1015625,0.25390625,1.5000110809915579e-05
USA,France,strike_v1,strike,justified,-1.7890625,0.84375,-0.47265625,1.9318497237059924e-05
USA,France,strike_v1,strike,unjustified,2.015625,-1.90625,0.0546875,1.2101831999433522e-05
USA,France,strike_v2,strike,justified,-2.0703125,0.6328125,-0.71875,3.324812715843526e-05
