country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Indonesia,justified,0.13458585145204383,0.06243562977263601,0.0011784760812447745,13,0.002356952162489549,True
Australia,justified,0.11502109757370658,0.03253463266926882,1.5842112785469574e-05,13,4.2245634094585534e-05,True
USA,justified,0.07317238222331995,0.05655070520054343,0.02612522026017697,13,0.03800032037843923,True
Canada,justified,0.05162228654469654,0.023599335869044714,0.0010551272975725912,13,0.002356952162489549,True
Japan,justified,0.03758234206893131,0.059506453213496444,0.2394361399403107,13,0.25539854926966477,False
France,justified,0.007563259324408809,0.03776316330550662,0.7015342252279836,13,0.7015342252279836,False
China,justified,-0.0670221462082615,0.0669678707379093,0.0734285690152025,13,0.09037362340332616,False
Venezuela,justified,-0.35252507297884556,0.04455845535906058,2.6567157298926933e-09,13,4.250745167828309e-08,True
China,unjustified,0.30623570556909796,0.050782057624663486,5.72416460358182e-08,13,4.579331682865456e-07,True
Indonesia,unjustified,0.18439025176842055,0.04388411920561166,2.7904752438964047e-06,13,8.929520780468495e-06,True
Venezuela,unjustified,0.05416261856524592,0.04820203145136633,0.04793248720499475,13,0.063909982939993,False
Australia,unjustified,-0.02113450458395129,0.03341178000705474,0.2387503322672264,13,0.25539854926966477,False
Japan,unjustified,-0.0465686901422312,0.02492516565851523,0.003254582815458699,13,0.00578592500525991,True
France,unjustified,-0.07247606220775518,0.04324712995231964,0.00652327630595135,13,0.01043724208952216,True
USA,unjustified,-0.19069584511456333,0.0386040142958004,5.072231196204697e-07,13,2.028892478481879e-06,True
Canada,unjustified,-0.2139134738542635,0.04275959329180361,4.427199099404447e-07,13,2.028892478481879e-06,True
