pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Indonesia,China,Indonesia,justified,-0.9890809320868589,0.20355067484000888,6.05074125391376e-07,13,79,3.0322393628690315e-06,True
China vs Australia,China,Australia,justified,-0.779748795226544,0.1460892513144127,2.1949598099448675e-07,13,79,1.5364718669614072e-06,True
Venezuela vs Australia,Venezuela,Australia,justified,-0.7519181601791866,0.15577818832634766,6.497655777576497e-07,13,79,3.0322393628690315e-06,True
USA vs Australia,USA,Australia,justified,-0.6949300219581187,0.12151369444804483,1.0297485477485924e-07,13,79,8.237988381988739e-07,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.6875182753190017,0.08915554762545669,3.5628091620238343e-09,13,79,1.995173130733347e-07,True
USA vs Indonesia,USA,Indonesia,justified,-0.6749091909058911,0.2219206065561301,6.602963714568338e-05,13,79,0.00014221768000608728,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.6513219946729285,0.10661565635702029,4.955277370676433e-08,13,79,5.549910655157606e-07,True
China vs Canada,China,Canada,justified,-0.5766028546567857,0.137204921460673,2.7854041227783157e-06,13,79,8.665701715310315e-06,True
China vs Japan,China,Japan,justified,-0.4335702768196062,0.08625746507018744,4.2069480781923535e-07,13,79,2.3931974369605597e-06,True
Japan vs Australia,Japan,Australia,justified,-0.4079173609218645,0.11909951137013802,2.1553173268349608e-05,13,79,5.2477291435981656e-05,True
USA vs France,USA,France,justified,-0.40542110525781194,0.1004678715833656,4.224909943584809e-06,13,79,1.2452366149513121e-05,True
Japan vs Indonesia,Japan,Indonesia,justified,-0.39055404917510983,0.16999797071716416,0.0007229783025882421,13,79,0.0014459566051764842,True
USA vs Canada,USA,Canada,justified,-0.30339089499261135,0.15659931756444614,0.0025425147890521154,13,79,0.004746027606230616,True
France vs Indonesia,France,Indonesia,justified,-0.29937463853126156,0.1815314892575789,0.007187833232375729,13,79,0.01219753518221336,True
USA vs Japan,USA,Japan,justified,-0.2973469163499254,0.10778875121487722,0.00015831318540069776,13,79,0.0003283532734236694,True
Canada vs Australia,Canada,Australia,justified,-0.2100614510381069,0.12971469716359074,0.008009231643415072,13,79,0.013191675647977765,True
France vs Australia,France,Australia,justified,-0.15673297889285034,0.1335343886048902,0.04016078433939127,13,79,0.051113725522861614,False
Canada vs Indonesia,Canada,Indonesia,justified,-0.11226869633782914,0.12908429839435148,0.11398461240171283,13,79,0.13026812845910038,False
Japan vs Canada,Japan,Canada,justified,-0.04225563032095468,0.10361406974674035,0.43963914319391434,13,79,0.48274101997763147,False
Australia vs Indonesia,Australia,Indonesia,justified,-0.015098755346822645,0.1727245566885035,0.8668164894918626,13,79,0.8670605847879609,False
France vs Canada,France,Canada,justified,0.011919122782873572,0.13660367943322757,0.8670605847879609,13,79,0.8670605847879609,False
France vs Japan,France,Japan,justified,0.044390074308320274,0.09642585350704665,0.3846537767802864,13,79,0.43081222999392077,False
China vs Venezuela,China,Venezuela,justified,0.12510674880073838,0.12351922291419158,0.07046036405266744,13,79,0.08395277419041226,False
USA vs China,USA,China,justified,0.1827679791252364,0.11521639355014986,0.009035070977881346,13,79,0.014054554854482093,True
USA vs Venezuela,USA,Venezuela,justified,0.3140680211026481,0.13855926798727136,0.0008030909728269045,13,79,0.0015507963613209193,True
France vs Venezuela,France,Venezuela,justified,0.5200977492054085,0.11222367538208473,1.0013093795184442e-06,13,79,4.005237518073777e-06,True
