pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
USA vs Canada,USA,Canada,justified,-0.5358038642221973,0.05899623395534755,5.409928034601602e-10,13,79,1.5147798496884485e-08,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.4359987528360152,0.040728364473225816,7.965040955338123e-11,13,79,4.460422934989349e-09,True
USA vs China,USA,China,justified,-0.36726860846682785,0.04829038456142765,4.174030711585028e-09,13,79,6.045212499045425e-08,True
Venezuela vs Australia,Venezuela,Australia,justified,-0.34495793251600454,0.06226612949802065,1.4606125811854166e-07,13,79,1.1684900649483333e-06,True
USA vs Japan,USA,Japan,justified,-0.333270458538672,0.07097730598991206,8.717595932003641e-07,13,79,3.7552720937861835e-06,True
USA vs France,USA,France,justified,-0.3264732601687367,0.06098279893720509,2.1242902520462173e-07,13,79,1.3415492817459696e-06,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.31024420040321876,0.06594859336087304,8.544396021468983e-07,13,79,3.7552720937861835e-06,True
USA vs Australia,USA,Australia,justified,-0.2843813949261174,0.06856122387778936,3.187581083972134e-06,13,79,1.1900302713495968e-05,True
France vs Japan,France,Japan,justified,-0.10875508553542934,0.037610385180086275,0.00010433639848624187,13,79,0.0002782303959633117,True
USA vs Indonesia,USA,Indonesia,justified,-0.10258567320940258,0.06563724604597831,0.009838152868485831,13,79,0.017772147117264728,True
France vs Indonesia,France,Indonesia,justified,-0.09086077337600156,0.04640339123555043,0.0023618625815806783,13,79,0.004898677946982148,True
France vs China,France,China,justified,-0.07307496902979774,0.047087129108759763,0.010240654019464349,13,79,0.01792114453406261,True
China vs Indonesia,China,Indonesia,justified,-0.045984708618768404,0.060409681067854624,0.16151978175687484,13,79,0.21535970900916648,False
Australia vs Indonesia,Australia,Indonesia,justified,-0.028677257084912002,0.05507946944342781,0.3276348024947588,13,79,0.3988597595588368,False
Canada vs Indonesia,Canada,Indonesia,justified,-0.013928274299963055,0.054061744676815626,0.622727086573774,13,79,0.6837787617280655,False
USA vs Venezuela,USA,Venezuela,justified,-0.0054876030228295175,0.07239190775590226,0.8843557329747177,13,79,0.9171096490108184,False
France vs Canada,France,Canada,justified,-0.00039720506622240845,0.05917152681164933,0.9897187209365151,13,79,0.9897187209365151,False
Japan vs Indonesia,Japan,Indonesia,justified,0.002809921040748938,0.05648902507253862,0.9239421437138071,13,79,0.9407410917813308,False
Japan vs Canada,Japan,Canada,justified,0.008037380294212488,0.08195844856807391,0.8507917366808903,13,79,0.8989497595118839,False
France vs Australia,France,Australia,justified,0.026623612358456557,0.06772164668865718,0.45588248074874743,13,79,0.5105883784385972,False
China vs Canada,China,Canada,justified,0.03123288499976035,0.057397601531150665,0.3071707254766524,13,79,0.3822569028153897,False
Japan vs Australia,Japan,Australia,justified,0.04077969273149748,0.09670105703737135,0.42462270440733374,13,79,0.4852830907512386,False
China vs Japan,China,Japan,justified,0.09108894716798167,0.040700820274227154,0.0008861259491165883,13,79,0.0019849221260211576,True
China vs Australia,China,Australia,justified,0.12419508671858809,0.05268469568275427,0.0005898222879467957,13,79,0.0013762520052091898,True
Canada vs Australia,Canada,Australia,justified,0.16132716406068523,0.04336163092326146,9.578203313936896e-06,13,79,3.155172856355684e-05,True
France vs Venezuela,France,Venezuela,justified,0.27948340286429113,0.06817289450815228,3.5942279847312267e-06,13,79,1.2579797946559294e-05,True
China vs Venezuela,China,Venezuela,justified,0.3300954873363177,0.04353166595185575,4.318008927889589e-09,13,79,6.045212499045425e-08,True
Japan vs Venezuela,Japan,Venezuela,justified,0.3487827913910696,0.07516184556830016,9.878046840341254e-07,13,79,3.951218736136502e-06,True
USA vs Japan,USA,Japan,unjustified,-0.22255428868171936,0.04640408509687556,6.957832634115071e-07,13,79,3.542169341004036e-06,True
USA vs China,USA,China,unjustified,-0.2158253560654628,0.037880644066623136,1.0732702615484265e-07,13,79,1.0017189107785313e-06,True
USA vs France,USA,France,unjustified,-0.20443124385489206,0.04103138419017495,4.6260204085189837e-07,13,79,2.590571428770631e-06,True
Canada vs Indonesia,Canada,Indonesia,unjustified,-0.18792613073091807,0.06018647016808174,5.1771866052889955e-05,13,79,0.0001610680277201021,True
Japan vs Indonesia,Japan,Indonesia,unjustified,-0.1782663776078722,0.033344217675089216,2.1560613456631656e-07,13,79,1.3415492817459696e-06,True
China vs Venezuela,China,Venezuela,unjustified,-0.1724710294451469,0.06270772192479458,0.0001624926078647158,13,79,0.0003956341756706124,True
China vs Indonesia,China,Indonesia,unjustified,-0.1573052638698192,0.09465844480845968,0.006864605183293065,13,79,0.01325578931946247,True
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,-0.10310489929966875,0.03383888882270472,6.49008274366652e-05,13,79,0.00018172231682266255,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-0.09517077258327504,0.046676742922416796,0.0017734349475950026,13,79,0.0038197060409738515,True
Canada vs Australia,Canada,Australia,unjustified,-0.074381203687453,0.04028345900552407,0.003520805813858454,13,79,0.007041611627716908,True
Australia vs Indonesia,Australia,Indonesia,unjustified,-0.07246483085956765,0.053075530058968576,0.02018498108470293,13,79,0.03324585119833424,True
USA vs Australia,USA,Australia,unjustified,-0.07110587783130533,0.07059774438279628,0.07184014486860535,13,79,0.10057620281604748,False
USA vs Venezuela,USA,Venezuela,unjustified,-0.07071814770663615,0.04492284767946247,0.00944167332043701,13,79,0.01762445686481575,True
USA vs Indonesia,USA,Indonesia,unjustified,-0.043232611479449186,0.06935636613613051,0.245261587949089,13,79,0.31215111193520423,False
France vs China,France,China,unjustified,-0.029671774992903514,0.06077170525858728,0.3574657695647643,13,79,0.42591666160908087,False
France vs Japan,France,Japan,unjustified,-0.02243399712847266,0.03385056072687915,0.21836144991381845,13,79,0.28437770221334496,False
France vs Indonesia,France,Indonesia,unjustified,-0.007484417818077318,0.0666088466873409,0.8293919990188122,13,79,0.8931913835587209,False
USA vs Canada,USA,Canada,unjustified,0.03236332331057433,0.07116160499252502,0.3902479147924177,13,79,0.45528923392448734,False
France vs Venezuela,France,Venezuela,unjustified,0.04388872231100942,0.03802484567052166,0.04303544876864661,13,79,0.06342066134326868,False
China vs Japan,China,Japan,unjustified,0.06535369111395581,0.05792447432631972,0.04716307193614569,13,79,0.06772133406215793,False
Venezuela vs Australia,Venezuela,Australia,unjustified,0.06614569736978947,0.05011171232860453,0.023783288060427652,13,79,0.038053260896684246,True
Japan vs Australia,Japan,Australia,unjustified,0.0682971043573631,0.05416119912030195,0.029409664050144484,13,79,0.04574836630022475,True
