pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Canada,China,Canada,justified,-5.039597625138013,0.7477682916354218,1.647409343592124e-08,13,79,1.3178639691417555e-07,True
China vs Indonesia,China,Indonesia,justified,-4.521928381127042,0.678948166438045,1.8826628130596507e-08,13,79,1.3178639691417555e-07,True
USA vs Canada,USA,Canada,justified,-4.30207201619479,0.6734026466237544,3.0060004358070334e-08,13,79,1.8704002711688208e-07,True
China vs Australia,China,Australia,justified,-4.131726598578604,0.5758840480171997,8.112957738419711e-09,13,79,9.086512667030077e-08,True
France vs Canada,France,Canada,justified,-3.695009746135045,0.6615613914044871,1.3358943336636004e-07,13,79,5.754621745012432e-07,True
Japan vs Canada,Japan,Canada,justified,-3.6018898005600706,0.8087872567956076,1.5234802888604486e-06,13,79,4.490257693483427e-06,True
USA vs Indonesia,USA,Indonesia,justified,-3.1912346574385753,0.5912249955075397,1.9422505244163897e-07,13,79,7.769002097665559e-07,True
Venezuela vs Canada,Venezuela,Canada,justified,-3.1021064368755495,0.7199973142720247,2.1519303011831728e-06,13,79,6.0254048433128845e-06,True
USA vs Australia,USA,Australia,justified,-3.0827966776331923,0.44812844593368445,1.3065089732255225e-08,13,79,1.2194083750104877e-07,True
Japan vs Australia,Japan,Australia,justified,-2.8815900439416966,0.7600082863699354,7.931605529321159e-06,13,79,1.850707956841604e-05,True
France vs Indonesia,France,Indonesia,justified,-2.79025452109156,0.771836724484092,1.2729633956149681e-05,13,79,2.741767313632239e-05,True
Japan vs Indonesia,Japan,Indonesia,justified,-2.765407653191151,0.8054740712374726,2.1057990134704137e-05,13,79,4.1177220367068786e-05,True
France vs Australia,France,Australia,justified,-2.6028928147158124,0.5381328840697207,6.354937567559483e-07,13,79,2.3725100252222072e-06,True
Venezuela vs Australia,Venezuela,Australia,justified,-2.17455922450611,0.5286472037080856,3.4723362877983355e-06,13,79,8.838674187123037e-06,True
China vs Venezuela,China,Venezuela,justified,-1.9483391659286544,0.7152169885582681,0.0001766612825601683,13,79,0.0002909715242167478,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-1.4874869751720097,0.3730958820541112,4.778083904985387e-06,13,79,1.163359559474703e-05,True
USA vs Venezuela,USA,Venezuela,justified,-1.3965440393040032,0.624500816590873,0.0008914960273379219,13,79,0.0013492912846195574,True
China vs Japan,China,Japan,justified,-0.9611911977549177,0.6864811319252947,0.01778793500172879,13,79,0.022639190002200275,True
France vs Venezuela,France,Venezuela,justified,-0.8140754084147159,0.6550050264931606,0.031386879241314496,13,79,0.038210113858991555,True
USA vs Japan,USA,Japan,justified,-0.7978494878544478,0.45985376974215475,0.005263739592792292,13,79,0.0071894979803992275,True
USA vs France,USA,France,justified,-0.7224189251552134,0.4391076593770862,0.007292154542655614,13,79,0.009722872723540818,True
Australia vs Indonesia,Australia,Indonesia,justified,-0.41975960894163716,0.5032670265053877,0.12803796199052067,13,79,0.14632909941773792,False
Japan vs Venezuela,Japan,Venezuela,justified,0.1156170793123298,0.6126285103651298,0.7179048831434957,13,79,0.7309576992006501,False
France vs Japan,France,Japan,justified,0.1648036218606509,0.44437582775399664,0.48122997072944196,13,79,0.49905330297868056,False
USA vs China,USA,China,justified,0.5537365910634671,0.5724456551259599,0.0822999559157028,13,79,0.0960166152349866,False
Canada vs Australia,Canada,Australia,justified,1.1020155975752042,0.44329590119387824,0.0003833658482712921,13,79,0.0006133853572340673,True
France vs China,France,China,justified,1.2467474952995123,0.5997695953058905,0.0015417569340498616,13,79,0.0022720628501787434,True
Canada vs Indonesia,Canada,Indonesia,justified,1.3930398782667444,0.7246696055865867,0.002682872217411614,13,79,0.0037560211043762603,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-3.406324803201488,0.372861628823174,5.052935915151612e-10,13,79,1.8470252276978613e-08,True
Canada vs Indonesia,Canada,Indonesia,unjustified,-1.8070671598225725,0.40360486386471195,1.4404036771692157e-06,13,79,4.481255884526448e-06,True
France vs Venezuela,France,Venezuela,unjustified,-1.3441301417083313,0.48813293309826195,0.00016084048533376554,13,79,0.00027294142965729907,True
Japan vs Indonesia,Japan,Indonesia,unjustified,-1.2793886024818752,0.30544311292051657,2.8820018795050585e-06,13,79,7.685338345346821e-06,True
USA vs Venezuela,USA,Venezuela,unjustified,-1.2350205946918371,0.3494857776306376,1.5908840675003827e-05,13,79,3.299611399260053e-05,True
France vs China,France,China,unjustified,-1.2299940583497395,0.3587234095705294,2.132391769008919e-05,13,79,4.1177220367068786e-05,True
USA vs China,USA,China,unjustified,-0.8685481553494713,0.2998516136583178,0.0001027427600423206,13,79,0.00017979983007406105,True
Canada vs Australia,Canada,Australia,unjustified,-0.7773509947480737,0.24992577449093342,5.366686159392717e-05,13,79,0.00010017814164199738,True
Australia vs Indonesia,Australia,Indonesia,unjustified,-0.49148767476990113,0.3854752547859955,0.027964903040234496,13,79,0.034800768227847376,True
USA vs Indonesia,USA,Indonesia,unjustified,-0.3426752392843966,0.33223504422055833,0.06609955303148703,13,79,0.07875691425028242,False
China vs Venezuela,China,Venezuela,unjustified,-0.26247290135685336,0.3809271158696554,0.2017706927683343,13,79,0.22155213323581804,False
Japan vs Australia,Japan,Australia,unjustified,-0.2401999974752957,0.46774255989415614,0.33403088615309395,13,79,0.3529382948032691,False
USA vs France,USA,France,unjustified,0.01842933894568311,0.28170543183755037,0.9000952668587943,13,79,0.9000952668587943,False
France vs Indonesia,France,Indonesia,unjustified,0.2745294752138438,0.4163627589550657,0.22057487963439074,13,79,0.23754217806780542,False
Japan vs Canada,Japan,Canada,unjustified,0.3739883431093597,0.4728112675552025,0.14702111073733917,13,79,0.16466364402581987,False
USA vs Australia,USA,Australia,unjustified,0.4332696520911031,0.2178391600848223,0.002116469673434052,13,79,0.0030390333772386388,True
France vs Australia,France,Australia,unjustified,0.5921413945955234,0.3926941929825145,0.012021346316497426,13,79,0.015655706830787344,True
USA vs Japan,USA,Japan,unjustified,0.7923636741990792,0.32669753424112535,0.0004691177597419248,13,79,0.0007297387373763275,True
France vs Japan,France,Japan,unjustified,1.1525098197162151,0.38752574390915273,8.097412580751363e-05,13,79,0.00014627584016841172,True
USA vs Canada,USA,Canada,unjustified,1.2716635108103245,0.20417554042018213,3.994335472876287e-08,13,79,2.236827864810721e-07,True
France vs Canada,France,Canada,unjustified,1.2764500078537089,0.3383161675328293,8.33081642220258e-06,13,79,1.866102878573378e-05,True
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,1.5095729149686983,0.2636973876946562,1.0185027474026891e-07,13,79,5.185104895868235e-07,True
China vs Indonesia,China,Indonesia,unjustified,1.7975843321436489,0.39010244608339184,1.0639031415300927e-06,13,79,3.504622113275599e-06,True
China vs Australia,China,Australia,unjustified,2.0870498245234015,0.36892813050891,1.160884947012868e-07,13,79,5.417463086060051e-07,True
Venezuela vs Australia,Venezuela,Australia,unjustified,2.1220660736381793,0.4441391631945699,7.243664080753828e-07,13,79,2.5352824282638396e-06,True
China vs Japan,China,Japan,unjustified,2.640565587050749,0.295766162626967,6.596518670349505e-10,13,79,1.8470252276978613e-08,True
Venezuela vs Canada,Venezuela,Canada,unjustified,3.00693179050208,0.3627346499935959,1.5535597088481557e-09,13,79,2.6791988368051554e-08,True
China vs Canada,China,Canada,unjustified,3.137574659844676,0.38541507443656364,1.9137134548608254e-09,13,79,2.6791988368051554e-08,True
