country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,-6.17474627494812,5.213404893875122,-0.480670690536499,0.08227097824389493
USA,France,airspace_v1,airspace,unjustified,0.6679521799087524,-3.325707197189331,-1.3288775086402893,0.04418972533848117
USA,France,airspace_v2,airspace,justified,-6.649466395378113,4.692346632480621,-0.9785598814487457,0.0788245732661455
USA,France,airspace_v2,airspace,unjustified,-0.3046633005142212,1.027161955833435,0.36124932765960693,0.053853960173944206
USA,France,airspace_v3,airspace,justified,-2.48384690284729,0.14801812171936035,-1.1679143905639648,0.06486399067266961
USA,France,airspace_v3,airspace,unjustified,-0.8435735702514648,-1.843546986579895,-1.34356027841568,0.06226528832931683
USA,France,airspace_v4,airspace,justified,-10.087384343147278,7.628347039222717,-1.2295186519622803,0.13870031627522358
USA,France,airspace_v4,airspace,unjustified,1.3473503589630127,-2.1284260749816895,-0.3905378580093384,0.08088518906982915
USA,France,airspace_v5,airspace,justified,-10.667236924171448,6.276249408721924,-2.195493757724762,0.15377600404808783
USA,France,airspace_v5,airspace,unjustified,0.9214179515838623,-0.9529350996017456,-0.01575857400894165,0.041040650495360015
USA,France,maritime_v1,maritime,justified,1.8293015360832214,-2.9563762545585632,-0.5635373592376709,0.18490082124310125
USA,France,maritime_v1,maritime,unjustified,1.359082579612732,-2.1129231452941895,-0.37692028284072876,0.26309892087510994
USA,France,maritime_v2,maritime,justified,3.1198344230651855,-0.30089688301086426,1.4094687700271606,0.16310507598285848
USA,France,maritime_v2,maritime,unjustified,0.6052309274673462,-1.0076777935028076,-0.2012234330177307,0.18834153430365547
USA,France,maritime_v3,maritime,justified,0.4703085422515869,-1.4157149195671082,-0.4727031886577606,0.16606779568267857
USA,France,maritime_v3,maritime,unjustified,1.312210202217102,-0.25391215085983276,0.5291490256786346,0.193016038878963
USA,France,maritime_v4,maritime,justified,2.9478513598442078,0.47622811794281006,1.712039738893509,0.07120576986698757
USA,France,maritime_v4,maritime,unjustified,-0.11721229553222656,-0.9803403615951538,-0.5487763285636902,0.0770833661878306
USA,France,maritime_v5,maritime,justified,3.6919273138046265,-4.59262877702713,-0.45035073161125183,0.14061170555193298
USA,France,maritime_v5,maritime,unjustified,2.0093616247177124,-2.687092423439026,-0.33886539936065674,0.14803534343525285
USA,France,strike_v1,strike,justified,0.7186230421066284,1.8592554330825806,1.2889392375946045,0.06701415406850257
USA,France,strike_v1,strike,unjustified,7.5974966287612915,-6.890541851520538,0.3534773886203766,0.2018914110606914
USA,France,strike_v2,strike,justified,-9.741609781980515,8.514928713440895,-0.6133405342698097,0.42149943847793175
USA,France,strike_v2,strike,unjustified,8.384595513343811,-8.568168431520462,-0.0917864590883255,0.2308964847253488
USA,France,strike_v3,strike,justified,-2.210906744003296,0.2851717472076416,-0.9628674983978271,0.1566419881155781
USA,France,strike_v3,strike,unjustified,5.38251119852066,-5.324032008647919,0.02923959493637085,0.1629563352139342
USA,France,strike_v4,strike,justified,1.0309002101421356,-0.20304936170578003,0.4139254242181778,0.24494564593359075
USA,France,strike_v4,strike,unjustified,6.939171954989433,-6.493769526481628,0.22270121425390244,0.2788106051230084
USA,France,strike_v5,strike,justified,-8.098076194524765,4.752711355686188,-1.6726824194192886,0.2368535107239625
