country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
China,justified,2.606317597311528,0.6322455977484608,3.3963503271891883e-06,13,1.811386841167567e-05,True
Indonesia,justified,1.881955312873162,0.9887509546783524,0.0028707915862398233,13,0.004572211879321662,True
Venezuela,justified,1.4669082861958718,0.7686285790328105,0.002818825039114411,13,0.004572211879321662,True
Canada,justified,-0.5844704804800438,0.42463864077955166,0.01939047581824443,13,0.02386520100707007,True
France,justified,-0.6803764148584273,0.5275748310378222,0.026532497668438702,13,0.03032285447821566,True
Australia,justified,-1.299060494386269,0.4691821966536974,0.00015329499008441373,13,0.0004087866402251033,True
Japan,justified,-1.5054463232194464,0.5069306151573216,8.204318228270518e-05,13,0.0002625381833046566,True
USA,justified,-1.8858274834363757,1.004150466864234,0.0031433956670336425,13,0.004572211879321662,True
Japan,unjustified,1.6773423137346013,0.33655277722720595,4.61030629676273e-07,13,3.688245037410184e-06,True
France,unjustified,1.3515012419072852,0.3989127374551097,2.3933493859473528e-05,13,9.573397543789411e-05,True
USA,unjustified,1.1310419218924488,0.5233073079877194,0.0011551886697611703,13,0.002640431245168389,True
Australia,unjustified,0.6823348159158693,0.4644184747419629,0.013838838296056335,13,0.01845178439474178,True
Canada,unjustified,-0.30208515743396036,0.3599679563055528,0.12592651160629723,13,0.12592651160629723,False
Venezuela,unjustified,-0.48290591320879905,0.5071114300718521,0.08659689995429642,13,0.09237002661791618,False
Indonesia,unjustified,-1.2760526572600552,0.6067354502537644,0.0014151719267610518,13,0.0028303438535221036,True
China,unjustified,-2.7811765655473906,0.41777614566017357,1.8925608793927126e-08,13,3.02809740702834e-07,True
