pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
France vs China,France,China,justified,-3.576468572453575,0.876344787233644,3.7647326745851654e-06,13,79,2.6353128722096157e-05,True
USA vs China,USA,China,justified,-3.4685267666845547,1.0831953949135036,4.090874460195745e-05,13,79,0.00019090747480913478,True
Australia vs Indonesia,Australia,Indonesia,justified,-3.333194436851931,1.2083298104507476,0.00015836050771030524,13,79,0.0005912125621184729,True
Japan vs Indonesia,Japan,Indonesia,justified,-3.139809709059596,1.2927907135443621,0.0004639140946513401,13,79,0.0012989594650237523,True
USA vs Indonesia,USA,Indonesia,justified,-2.84481404019903,1.6271225459169294,0.005015133821550663,13,79,0.009059596580865713,True
USA vs Venezuela,USA,Venezuela,justified,-2.5501641210867088,1.3349567248272192,0.0028005206598738976,13,79,0.005227638565097942,True
France vs Indonesia,France,Indonesia,justified,-2.3487488494534503,1.3588388442498196,0.005389338078631086,13,79,0.0094313416376044,True
Japan vs Venezuela,Japan,Venezuela,justified,-2.267991065630692,0.9899930880727748,0.0007391679640432475,13,79,0.001799713303757472,True
Canada vs Indonesia,Canada,Indonesia,justified,-2.196834812208482,0.8983070013334448,0.0004385580356004713,13,79,0.0012989594650237523,True
France vs Venezuela,France,Venezuela,justified,-1.6581332378235187,1.0042019777060232,0.007134878532097923,13,79,0.01175156464110246,True
USA vs Canada,USA,Canada,justified,-1.52107804184508,1.0383260305740667,0.01405665569033374,13,79,0.02127493834212674,True
USA vs France,USA,France,justified,-1.4411700703180552,0.8604122658241153,0.006544209298540303,13,79,0.01110532487025021,True
USA vs Australia,USA,Australia,justified,-1.0468087149530574,1.0356362655997322,0.07096122472384084,13,79,0.09461496629845445,False
Japan vs Canada,Japan,Canada,justified,-0.7584856962180674,0.612539200081937,0.03190698212964303,13,79,0.044669774981500245,True
Japan vs Australia,Japan,Australia,justified,-0.4814759309728644,0.7223217119415599,0.21587804576380396,13,79,0.24671776658720454,False
USA vs Japan,USA,Japan,justified,-0.32823062896814226,0.8314005511041854,0.45402796109799526,13,79,0.48895318887476413,False
France vs Canada,France,Canada,justified,-0.09538956300511704,0.5618266477006717,0.7450434742011559,13,79,0.7450434742011559,False
China vs Indonesia,China,Indonesia,justified,0.3312962237076652,1.0640438142947977,0.5530731997700409,13,79,0.5843792299457036,False
Venezuela vs Indonesia,Venezuela,Indonesia,justified,0.3584184339526887,0.5251635635027031,0.2058013886321857,13,79,0.24010162007088331,False
China vs Venezuela,China,Venezuela,justified,0.615213539028663,0.954711551552745,0.23057225487883293,13,79,0.2582409254642929,False
Canada vs Australia,Canada,Australia,justified,0.6830241997654446,0.4223673659263673,0.008075907930403447,13,79,0.012694776884539663,True
France vs Australia,France,Australia,justified,0.7306614214217706,0.9303902363000062,0.14968814177037648,13,79,0.1822290421552409,False
France vs Japan,France,Japan,justified,0.7442738269868439,0.4610633166070928,0.00816092799720407,13,79,0.012694776884539663,True
Venezuela vs Canada,Venezuela,Canada,justified,1.815206654415356,0.8119830377674592,0.000893749682195757,13,79,0.002085415925123433,True
Venezuela vs Australia,Venezuela,Australia,justified,2.2336580294908006,0.7121269970683572,4.963264535950587e-05,13,79,0.00021380216462556372,True
China vs Canada,China,Canada,justified,3.137229397570177,0.8734566154371749,1.3567054100039992e-05,13,79,7.597550296022396e-05,True
China vs Japan,China,Japan,justified,3.4743186626362035,0.9022035842410416,6.786227920228474e-06,13,79,4.222541817031051e-05,True
China vs Australia,China,Australia,justified,3.6411700190998575,0.8664285177535207,2.7853298902252117e-06,13,79,2.2282639121801694e-05,True
China vs Japan,China,Japan,unjustified,-4.0956944757028655,0.575194610264363,8.840463648396245e-09,13,79,4.950659643101897e-07,True
China vs Australia,China,Australia,unjustified,-3.296094978182235,0.6888047886619647,7.126620048568293e-07,13,79,7.981814454396488e-06,True
China vs Canada,China,Canada,unjustified,-2.3059083119166903,0.46595111130475153,4.973775383144536e-07,13,79,6.963285536402351e-06,True
China vs Venezuela,China,Venezuela,unjustified,-1.8476345567863932,0.5690002062150222,3.586607753133844e-05,13,79,0.00018259094015954112,True
Venezuela vs Australia,Venezuela,Australia,unjustified,-0.9391839680723559,0.7119989367163018,0.023859344367133918,13,79,0.03516113906735525,True
Canada vs Australia,Canada,Australia,unjustified,-0.8580333646593564,0.3711144238648906,0.0006877876138690861,13,79,0.001750732108030401,True
China vs Indonesia,China,Indonesia,unjustified,-0.8442148810191736,0.7708101618754096,0.05295882134696428,13,79,0.07233399988853657,False
USA vs Japan,USA,Japan,unjustified,-0.5434813209543551,0.6591211560794581,0.1320358273739201,13,79,0.16431125184310058,False
France vs Japan,France,Japan,unjustified,-0.3776725611910479,0.5486226670334878,0.20215917887703164,13,79,0.24010162007088331,False
Venezuela vs Canada,Venezuela,Canada,unjustified,-0.20690271543570724,0.7057111897811988,0.5761500166409392,13,79,0.5974889061461591,False
USA vs France,USA,France,unjustified,-0.12051029467866534,0.4336437300914514,0.5959461432570613,13,79,0.606781527679917,False
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,0.32173541259389193,0.6627201920917062,0.3601058005826609,13,79,0.39541029083586293,False
