country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
China,justified,2.54250402400244,0.6235695548567938,3.800631663023766e-06,13,2.0270035536126753e-05,True
Indonesia,justified,1.3418350952651847,0.897911245464536,0.012627033175778818,13,0.015540963908650852,True
Venezuela,justified,1.213249328638284,0.6750613014412402,0.004203292726596559,13,0.006113880329594995,True
France,justified,-0.5365179787616587,0.4652330530411851,0.043186014419575314,13,0.046065082047547,True
Canada,justified,-0.5437015991732262,0.3469831412604915,0.00969512868286245,13,0.0129268382438166,True
USA,justified,-1.1554947217261373,0.9373852854713739,0.03255134901086326,13,0.03720154172670087,True
Australia,justified,-1.3009736004491441,0.450343421664167,0.00010523798657368778,13,0.00027700193961009305,True
Japan,justified,-1.560900547795743,0.4235536868089665,1.0527842454776458e-05,13,3.368909585528466e-05,True
Japan,unjustified,1.9446469193558928,0.3897446704977225,4.554468517918783e-07,13,3.6435748143350266e-06,True
USA,unjustified,1.5567730132700786,0.5474835738614889,0.00012118834857941572,13,0.00027700193961009305,True
France,unjustified,1.1449134724699275,0.30028631170975434,7.50047299551217e-06,13,3.000189198204868e-05,True
Australia,unjustified,1.0382277518591254,0.4242571700157427,0.00043616731952668354,13,0.0007753517412668206,True
Canada,unjustified,0.17733568983680686,0.2511479590204293,0.19157161497539107,13,0.19157161497539107,False
Venezuela,unjustified,-1.3305432552503207,0.5507934463749474,0.00048459483829176286,13,0.0007753517412668206,True
Indonesia,unjustified,-1.5775652051039986,0.6190844407148683,0.00031216470171739836,13,0.0006243294034347967,True
China,unjustified,-2.953788386437513,0.4314731583650806,1.3805294092926633e-08,13,2.2088470548682612e-07,True
