pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
USA vs Canada,USA,Canada,justified,-5.079325275488826,0.4956870939899799,1.328019328489046e-10,13,79,1.2707119940730644e-09,True
China vs Canada,China,Canada,justified,-4.910844779604083,0.5916219640308615,1.5299555939666799e-09,13,79,6.1198223758667194e-09,True
China vs Indonesia,China,Indonesia,justified,-4.887566983536049,0.47799096424650966,1.3614771365068548e-10,13,79,1.2707119940730644e-09,True
Venezuela vs Canada,Venezuela,Canada,justified,-4.04028752162343,0.597452207608169,1.5852462663420616e-08,13,79,4.931877273064192e-08,True
France vs Canada,France,Canada,justified,-4.029290234540408,0.4651475440192471,9.353372411350342e-10,13,79,5.716530764068643e-09,True
China vs Australia,China,Australia,justified,-4.007779598236085,0.4700447086948506,1.1228899715134836e-09,13,79,5.716530764068643e-09,True
USA vs Indonesia,USA,Indonesia,justified,-3.733545606717085,0.4164568455508352,6.286861373630655e-10,13,79,5.029489098904524e-09,True
USA vs Australia,USA,Australia,justified,-3.670086470606563,0.3532455201933228,1.1300467737194089e-10,13,79,1.2707119940730644e-09,True
Japan vs Canada,Japan,Canada,justified,-3.655728805196154,0.5018148899255074,6.819356879369788e-09,13,79,2.5458932349647208e-08,True
Venezuela vs Australia,Venezuela,Australia,justified,-2.7585030866193248,0.4828818579072692,1.0424614920072737e-07,13,79,2.6535383432912425e-07,True
France vs Australia,France,Australia,justified,-2.7291928810841877,0.38703522919979216,9.873286114168347e-09,13,79,3.252376602314279e-08,True
France vs Indonesia,France,Indonesia,justified,-2.7256409287889363,0.5931874602701568,1.0963247506293095e-06,13,79,2.4295479292828754e-06,True
Japan vs Australia,Japan,Australia,justified,-2.5242057150646007,0.5912382554188892,2.365759967791794e-06,13,79,4.9067614146792766e-06,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-2.4839146498577063,0.3734482017833303,1.911239789922186e-08,13,79,5.633127801875917e-08,True
Japan vs Indonesia,Japan,Indonesia,justified,-2.3994781162057603,0.6891766671249403,1.8388117864031595e-05,13,79,3.028631177605204e-05,True
USA vs Japan,USA,Japan,justified,-1.7807413212982288,0.43014134429025,3.25106840304097e-06,13,79,6.50213680608194e-06,True
China vs Japan,China,Japan,justified,-1.5326164459243363,0.6313064482674681,0.000465495059771305,13,79,0.0006684031627485406,True
USA vs France,USA,France,justified,-1.3177879860986284,0.3679063453944301,1.3939114911171634e-05,13,79,2.3654255606836713e-05,True
USA vs Venezuela,USA,Venezuela,justified,-1.226405210492812,0.4655546256925855,0.00023578279632520407,13,79,0.0003474693840581955,True
China vs Venezuela,China,Venezuela,justified,-1.0435877526417756,0.6460937205555848,0.008132128367926884,13,79,0.010590678804741988,True
Australia vs Indonesia,Australia,Indonesia,justified,-0.46473901317669797,0.3995362238699191,0.04168847711532502,13,79,0.04967137698847236,True
France vs Japan,France,Japan,justified,-0.29907297291161816,0.3454301627748516,0.11546445056749047,13,79,0.13195937207713196,False
USA vs China,USA,China,justified,-0.06625087062517802,0.6263642140922421,0.8392439428249961,13,79,0.8867483169471657,False
France vs Venezuela,France,Venezuela,justified,-0.01837840818223494,0.6237720901733801,0.9548997180784609,13,79,0.9548997180784609,False
Japan vs Venezuela,Japan,Venezuela,justified,0.9710664746416359,0.6557114841977532,0.013261283476642027,13,79,0.01687799715208985,True
France vs China,France,China,justified,1.183373185086163,0.5454296672619136,0.001122426686213351,13,79,0.0015330705958036014,True
Canada vs Australia,Canada,Australia,justified,1.2609032914315388,0.38847195039076865,3.6007980103932654e-05,13,79,5.6012413495006354e-05,True
Canada vs Indonesia,Canada,Indonesia,justified,1.7883275056278314,0.5329151203293853,2.6230815352994995e-05,13,79,4.196930456479199e-05,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-3.550731168507219,0.42603163685645007,1.4600242627112278e-09,13,79,6.1198223758667194e-09,True
Canada vs Indonesia,Canada,Indonesia,unjustified,-1.4726577206845686,0.3213637128757463,1.1280043957384778e-06,13,79,2.4295479292828754e-06,True
Canada vs Australia,Canada,Australia,unjustified,-0.953252958945739,0.31470489897199355,6.850520197955908e-05,13,79,0.00010368354894203536,True
France vs China,France,China,unjustified,-0.9261529610488876,0.4058506692858139,0.0007620233777455255,13,79,0.0010668327288437358,True
France vs Venezuela,France,Venezuela,unjustified,-0.6834629865793082,0.4861916749580799,0.017431385019872455,13,79,0.021692390246952388,True
USA vs Venezuela,USA,Venezuela,unjustified,-0.4657394133317165,0.40304795485092787,0.04283321150720169,13,79,0.04997208009173531,True
Japan vs Indonesia,Japan,Indonesia,unjustified,-0.44583582932695803,0.35512852779703497,0.03000411381959404,13,79,0.03652674725863623,True
USA vs China,USA,China,unjustified,-0.23364232556942183,0.36394510050487877,0.23222785285084882,13,79,0.26009519519295066,False
China vs Venezuela,China,Venezuela,unjustified,-0.05475000316625113,0.3848130411131408,0.7850977165961569,13,79,0.8454898486420152,False
Australia vs Indonesia,Australia,Indonesia,unjustified,-0.032322700752880094,0.34983227245508264,0.8593165316284676,13,79,0.8911430698369294,False
USA vs France,USA,France,unjustified,0.026765678610120493,0.35062174070737456,0.8835481191244293,13,79,0.8996126303812371,False
Japan vs Australia,Japan,Australia,unjustified,0.16133607241696926,0.39989525158239014,0.44443532072761804,13,79,0.4880074109950316,False
Japan vs Canada,Japan,Canada,unjustified,0.8036233025156098,0.4528028274770428,0.004558452849772004,13,79,0.006077937133029338,True
USA vs Indonesia,USA,Indonesia,unjustified,1.2516187827884058,0.3299903201245281,7.902960820908777e-06,13,79,1.475219353236305e-05,True
France vs Japan,France,Japan,unjustified,1.618988229405312,0.4420240294084931,1.1188371970714898e-05,13,79,2.021125259225917e-05,True
France vs Indonesia,France,Indonesia,unjustified,1.6732422230226216,0.46232102754506466,1.2587037013692194e-05,13,79,2.202731477396134e-05,True
USA vs Australia,USA,Australia,unjustified,1.735973699188931,0.26972852239399864,2.7666741696116927e-08,13,79,7.74668767491274e-08,True
France vs Australia,France,Australia,unjustified,1.7494480323878834,0.4467030460652566,5.725830878854692e-06,13,79,1.1056776869512507e-05,True
USA vs Japan,USA,Japan,unjustified,1.9026391718522966,0.3716580797682001,3.4527624509228886e-07,13,79,8.056445718820073e-07,True
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,1.9632480597539703,0.2357036533059082,1.470404491232537e-09,13,79,6.1198223758667194e-09,True
Venezuela vs Australia,Venezuela,Australia,unjustified,2.428628310615763,0.3904246047822628,4.050670309508055e-08,13,79,1.080178749202148e-07,True
China vs Australia,China,Australia,unjustified,2.5838124401621765,0.2951437374367508,8.277841391191131e-10,13,79,5.716530764068643e-09,True
France vs Canada,France,Canada,unjustified,2.6570537911229954,0.48097485991283345,1.5069319339627565e-07,13,79,3.669051665300624e-07,True
China vs Indonesia,China,Indonesia,unjustified,2.799440788043724,0.3866505488605186,7.3148854036097785e-09,13,79,2.5602098912634224e-08,True
China vs Japan,China,Japan,unjustified,2.833091159224947,0.3304078021451062,1.0522214083362689e-09,13,79,5.716530764068643e-09,True
USA vs Canada,USA,Canada,unjustified,2.901119569773639,0.2819035201701842,1.2629971864455038e-10,13,79,1.2707119940730644e-09,True
Venezuela vs Canada,Venezuela,Canada,unjustified,3.4915509831992697,0.33110606901109335,9.498838055206949e-11,13,79,1.2707119940730644e-09,True
China vs Canada,China,Canada,unjustified,4.036751538242176,0.2612931485394256,1.0544230971956255e-12,13,79,5.904769344295504e-11,True
