country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,1.7915846411234289,0.3314205145454453,1.910665063480821e-07,13,1.5285320507846569e-06,True
Indonesia,justified,1.6038110291752,0.3618211686855653,1.6002010240571532e-06,13,6.400804096228613e-06,True
Australia,justified,1.2398351892509238,0.25340461215857096,5.620829722423427e-07,13,2.997775851959161e-06,True
Venezuela,justified,0.45956655659175305,0.3073331075844343,0.012583848383341206,13,0.014381541009532806,True
France,justified,-0.834078796625075,0.29321198359431844,0.00012076467443045758,13,0.00019322347908873214,True
Japan,justified,-0.9787233562400239,0.33607815571773514,9.790597629404515e-05,13,0.0001740550689671914,True
China,justified,-1.3649794437197849,0.408158883054562,2.710746732036464e-05,13,6.195992530369061e-05,True
USA,justified,-1.9170158195564224,0.303566456487022,3.422385719217367e-08,13,5.475817150747787e-07,True
Venezuela,unjustified,0.6730320709872034,0.16851179410500852,4.69240344268541e-06,13,1.5015691016593312e-05,True
China,unjustified,0.5973990308652056,0.16766876088191013,1.4680647522750166e-05,13,3.9148393394000445e-05,True
France,unjustified,0.1831183538799945,0.17673454134744832,0.06503708631967618,13,0.06937289207432126,False
USA,unjustified,-0.0629946928274438,0.18343157535838872,0.5136321079874706,13,0.5136321079874706,False
Canada,unjustified,-0.2834869753481642,0.11528287409978741,0.00041922005513132733,13,0.0005589600735084365,True
Australia,unjustified,-0.2859822846266813,0.11075517405666538,0.0002793772687819052,13,0.0004063669364100439,True
Indonesia,unjustified,-0.34628060759517426,0.14345049412727232,0.0004874410083967983,13,0.0005999273949499056,True
Japan,unjustified,-0.4748048953349399,0.1533286015028475,5.5903393247939823e-05,13,0.00011180678649587965,True
