pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
France vs China,France,China,justified,-2.8352983966541196,0.8476989925099655,2.7071534263693963e-05,13,79,0.0002247719272344354,True
USA vs China,USA,China,justified,-1.925984892593213,1.0450575579321078,0.0035653711669917645,13,79,0.009002363789711462,True
Japan vs Indonesia,Japan,Indonesia,justified,-1.6611465863043942,0.7991772291527102,0.0015425137647900363,13,79,0.004863112064190805,True
Japan vs Venezuela,Japan,Venezuela,justified,-1.5335683093921386,0.739144461985378,0.0015631431634899016,13,79,0.004863112064190805,True
Australia vs Indonesia,Australia,Indonesia,justified,-1.5292626423058207,0.7771844415696061,0.00228232074934686,13,79,0.006390498098171209,True
USA vs Venezuela,USA,Venezuela,justified,-1.2407580096412558,0.7921995418149169,0.009720602093236167,13,79,0.020161248785971312,True
USA vs Indonesia,USA,Indonesia,justified,-1.0941610902795333,1.1450541035559534,0.0856415361772699,13,79,0.11697380551041742,False
France vs Indonesia,France,Indonesia,justified,-1.074024323301798,0.9070505880530159,0.03871065987314619,13,79,0.05704728823411017,False
Japan vs Canada,Japan,Canada,justified,-1.059950119926661,0.47979477773412016,0.0009787406432317232,13,79,0.0039994676744270815,True
France vs Venezuela,France,Venezuela,justified,-1.0090845947691205,0.5505589869961313,0.0036973994136314937,13,79,0.009002363789711462,True
Canada vs Indonesia,Canada,Indonesia,justified,-0.9191461915410889,0.655752360301617,0.017691632899997884,13,79,0.030960357574996298,True
Japan vs Australia,Japan,Australia,justified,-0.6310427238582245,0.4935164281016872,0.027600363883695973,13,79,0.045459422867263954,True
France vs Canada,France,Canada,justified,-0.3576863091326904,0.35993845130130747,0.07522388797890546,13,79,0.1080137878671463,False
USA vs Canada,USA,Canada,justified,-0.25873683904521616,0.7219042914015902,0.49578068357679683,13,79,0.5339176592365504,False
USA vs France,USA,France,justified,-0.13921849135931882,0.734044597220416,0.7165729366854486,13,79,0.7571336689506627,False
USA vs Australia,USA,Australia,justified,0.014682176598256243,0.79445514003643,0.9717006206643033,13,79,0.9717006206643033,False
Venezuela vs Indonesia,Venezuela,Indonesia,justified,0.3734657427279698,0.38043977613391405,0.07838479489104928,13,79,0.10973871284746899,False
Canada vs Australia,Canada,Australia,justified,0.3974150028718235,0.23181376262181633,0.005672418381553144,13,79,0.012706217174679044,True
France vs Australia,France,Australia,justified,0.5423038117009817,0.7230149199621614,0.16725758108238478,13,79,0.21287328501394426,False
USA vs Japan,USA,Japan,justified,0.721518721143767,0.6015284532837133,0.03664785653222244,13,79,0.0557778060410826,False
France vs Japan,France,Japan,justified,0.774455701567796,0.32331425670284186,0.0005188110393363615,13,79,0.0026412198366214767,True
China vs Venezuela,China,Venezuela,justified,1.0048604901813374,0.6732474019423287,0.012711852263068027,13,79,0.024848338111775035,True
China vs Indonesia,China,Indonesia,justified,1.2894122403322723,0.8200781437227093,0.009507550625327994,13,79,0.020161248785971312,True
Venezuela vs Canada,Venezuela,Canada,justified,1.300017057165139,0.6045298347200165,0.0011997159613035353,13,79,0.004402086178454999,True
Venezuela vs Australia,Venezuela,Australia,justified,1.6801477327914567,0.5989544013359414,0.00013668013604191978,13,79,0.0008504541798163897,True
China vs Canada,China,Canada,justified,2.350831084495704,0.9095479658293236,0.0002771039809347773,13,79,0.001551782293234753,True
China vs Japan,China,Japan,justified,2.3915841490451504,0.6646017902293332,1.331788505726154e-05,13,79,0.00015358118697352807,True
China vs Australia,China,Australia,justified,2.974481230724307,0.8225172165911168,1.2687032204612347e-05,13,79,0.00015358118697352807,True
China vs Japan,China,Japan,unjustified,-2.613643266206331,0.6246650897110331,2.914556063876136e-06,13,79,0.00015358118697352807,True
China vs Australia,China,Australia,unjustified,-2.157927954872761,0.6476926669345486,2.8096490904304426e-05,13,79,0.0002247719272344354,True
China vs Canada,China,Canada,unjustified,-1.4028503208260306,0.6066906759944963,0.0006871935483845574,13,79,0.003206903225794601,True
Canada vs Australia,Canada,Australia,unjustified,-0.979311289737638,0.45828574936999633,0.0012577389081299998,13,79,0.004402086178454999,True
China vs Venezuela,China,Venezuela,unjustified,-0.7359048655942557,0.49415892295672315,0.012867889379312072,13,79,0.024848338111775035,True
France vs Japan,France,Japan,unjustified,-0.4736793132345409,0.6126170881454452,0.15553948686427707,13,79,0.20738598248570278,False
