country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
France,justified,1.6308685851395164,0.3863829706405426,2.662723913383194e-06,13,6.529487558977788e-06,True
Venezuela,justified,1.1273322935844443,0.6906606530289605,0.007643679038214869,13,0.01222988646114379,True
Indonesia,justified,0.912441537348223,0.397086141973145,0.0007218972215387154,13,0.0014437944430774308,True
Canada,justified,0.6306457763670201,0.503704604992933,0.03037293068385823,13,0.04049724091181097,True
Australia,justified,-0.31608533690152846,0.4162541322314122,0.16246346404706258,13,0.1732943616502001,False
China,justified,-0.6061330803408412,0.623141506181049,0.08080951986797133,13,0.09945787060673394,False
Japan,justified,-1.3716190877605574,0.3197501932148528,2.252139021348763e-06,13,6.529487558977788e-06,True
USA,justified,-2.0074506874362763,0.4788513745034782,2.856650807052782e-06,13,6.529487558977788e-06,True
USA,unjustified,2.1604485848088646,0.3684300245940584,7.808852667324985e-08,13,1.2494164267719976e-06,True
China,unjustified,1.4293911240877089,0.3335862942983856,2.2781132193621515e-06,13,6.529487558977788e-06,True
Japan,unjustified,0.04735942956690726,0.41808172919378633,0.8280282915065864,13,0.8280282915065864,False
France,unjustified,-0.3413890684831213,0.4109134852353995,0.12939734860712143,13,0.1478826841224245,False
Indonesia,unjustified,-0.5161114918212912,0.3403988295483899,0.011663304256812307,13,0.01696480619172699,True
Venezuela,unjustified,-0.6352920114629891,0.3798103579100973,0.0065995979703998425,13,0.011732618614044165,True
Australia,unjustified,-0.7774214306070087,0.18254568252140022,2.427367258368421e-06,13,6.529487558977788e-06,True
Canada,unjustified,-1.3669851360890704,0.2612739365246889,2.727242804027767e-07,13,2.1817942432222136e-06,True
