country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Australia,justified,0.09349320194971991,0.017724743121367997,2.4965564070864374e-07,13,7.9889805026766e-07,True
Canada,justified,0.07523584459610537,0.011676611094602263,2.73175327748329e-08,13,1.092701310993316e-07,True
China,justified,0.07221556406162098,0.023433511941709128,5.845732267255064e-05,13,9.353171627608102e-05,True
USA,justified,0.0717728130796204,0.02486649363813895,0.00010606406277724607,13,0.00014334397243722402,True
France,justified,0.020868693011038466,0.009835808530590769,0.0013262331484169428,13,0.0016322869518977758,True
Venezuela,justified,-0.0652056532063483,0.022625389763066592,0.00010750797932791802,13,0.00014334397243722402,True
Indonesia,justified,-0.1240453476594076,0.012740473642337042,2.410628525704711e-10,13,3.857005641127538e-09,True
Japan,justified,-0.14433511583234926,0.018823282078820974,3.8012601024353535e-09,13,2.0688142148210697e-08,True
Venezuela,unjustified,0.08676816592863378,0.02096286592416979,3.257221484440888e-06,13,6.523974784323033e-06,True
Australia,unjustified,0.05818289305092714,0.014444709331075396,4.304305815299089e-06,13,7.65209922719838e-06,True
USA,unjustified,0.049865618714607554,0.025411362445610385,0.0023262381392359847,13,0.002658557873412554,True
China,unjustified,0.01831300591358896,0.01411655809741371,0.025812145987955545,13,0.027532955720485915,True
Canada,unjustified,0.0002775487983682159,0.011305355579320503,0.9624134621079153,13,0.9624134621079153,False
France,unjustified,-0.04573823591525614,0.005975466126143108,3.879026652789506e-09,13,2.0688142148210697e-08,True
Indonesia,unjustified,-0.07355922726843132,0.01777416362803883,3.2619873921615163e-06,13,6.523974784323033e-06,True
Japan,unjustified,-0.09410976922243819,0.018650670162636166,4.035426887760586e-07,13,1.0761138367361563e-06,True
