pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Japan vs Australia,Japan,Australia,justified,-0.20779928746513832,0.03320400123212796,3.785715341814069e-08,13,79,1.9272732649235264e-07,True
Japan vs Canada,Japan,Canada,justified,-0.18652089737055505,0.029181041637654195,2.988685523828338e-08,13,79,1.760944559810449e-07,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.12677055630055103,0.027249049701774462,9.614408596485775e-07,13,79,2.8337204284379127e-06,True
Venezuela vs Australia,Venezuela,Australia,justified,-0.1026779069350316,0.025699493922949637,4.6762762583567555e-06,13,79,1.0911311269499097e-05,True
Japan vs Venezuela,Japan,Venezuela,justified,-0.09652195038485438,0.019114484904105028,4.003174677287049e-07,13,79,1.4011111370504671e-06,True
France vs Australia,France,Australia,justified,-0.0915012294119531,0.016756856277270086,1.711347917251709e-07,13,79,7.194735299372611e-07,True
France vs China,France,China,justified,-0.0563996849042592,0.025605705064554722,0.001001151431132577,13,79,0.0015152562200925488,True
France vs Canada,France,Canada,justified,-0.05189398768948111,0.013260652800800996,5.7699864442622534e-06,13,79,1.292476963514745e-05,True
Canada vs Australia,Canada,Australia,justified,-0.03623030271940615,0.014335784972238048,0.00033444301395084604,13,79,0.0005351088223213537,True
Japan vs Indonesia,Japan,Indonesia,justified,-0.024968116956971067,0.022484123331127346,0.050204208256067424,13,79,0.06247634805199502,False
China vs Australia,China,Australia,justified,-0.010090408908141838,0.032218283138285696,0.5507740489473918,13,79,0.5931412834818066,False
USA vs Canada,USA,Canada,justified,-0.0006717576785183652,0.02766827950584528,0.9628283642915121,13,79,0.9628283642915121,False
China vs Canada,China,Canada,justified,0.001800885771984582,0.021017628432584274,0.8694263347133679,13,79,0.885234086253611,False
USA vs France,USA,France,justified,0.004822069867735817,0.03232347644889306,0.7749777866638154,13,79,0.8166623434713632,False
USA vs China,USA,China,justified,0.007999548217752478,0.02543776387956434,0.5491637859205336,13,79,0.5931412834818066,False
USA vs Australia,USA,Australia,justified,0.013106002694084535,0.03130207963984112,0.4278523925181898,13,79,0.4791946796203726,False
Venezuela vs Indonesia,Venezuela,Indonesia,justified,0.05889044489179339,0.02735392579273515,0.001189544270620424,13,79,0.0017530126093353614,True
France vs Venezuela,France,Venezuela,justified,0.08583678755458893,0.02764132380018433,5.446483019520853e-05,13,79,9.531345284161493e-05,True
China vs Venezuela,China,Venezuela,justified,0.1196154250384687,0.03467467787043835,2.011077919627157e-05,13,79,4.022155839254314e-05,True
France vs Indonesia,France,Indonesia,justified,0.12038996542766418,0.011285645181691098,8.29904634444687e-11,13,79,2.925162591717029e-09,True
USA vs Indonesia,USA,Indonesia,justified,0.13900501309679106,0.0298781975108405,9.612290283540662e-07,13,79,2.8337204284379127e-06,True
France vs Japan,France,Japan,justified,0.1444710699684454,0.023542595710198,4.7132507631091745e-08,13,79,2.1995170227842813e-07,True
China vs Indonesia,China,Indonesia,justified,0.15691594462909977,0.03136097470995646,4.4192029961274067e-07,13,79,1.4557374575478517e-06,True
USA vs Japan,USA,Japan,justified,0.16119752346705168,0.025333898995516576,3.1445438568043735e-08,13,79,1.760944559810449e-07,True
USA vs Venezuela,USA,Venezuela,justified,0.1769512918924456,0.03255334538992724,1.7986838248431527e-07,13,79,7.194735299372611e-07,True
China vs Japan,China,Japan,justified,0.1888669652134289,0.026488399705663652,8.705711363212983e-09,13,79,6.093997954249089e-08,True
Canada vs Indonesia,Canada,Indonesia,justified,0.19882490162502275,0.0190087423230177,1.0447009256132247e-10,13,79,2.925162591717029e-09,True
Australia vs Indonesia,Australia,Indonesia,justified,0.21925928090245297,0.023587856994715304,4.1318887919139117e-10,13,79,5.7846443086794764e-09,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-0.20080118468065405,0.0253932869725163,2.671670038377161e-09,13,79,2.99227044298242e-08,True
Japan vs Australia,Japan,Australia,unjustified,-0.11582693580415222,0.031806837725599356,1.1845590459245038e-05,13,79,2.551357945068162e-05,True
France vs Australia,France,Australia,unjustified,-0.11488129329550395,0.012220206887173249,3.624257280395252e-10,13,79,5.7846443086794764e-09,True
France vs Venezuela,France,Venezuela,unjustified,-0.1082543655957058,0.023945914645270457,1.3013392552643513e-06,13,79,3.47023801403827e-06,True
China vs Venezuela,China,Venezuela,unjustified,-0.08979917162067287,0.0291386061703179,5.844473305895609e-05,13,79,9.917894094853155e-05,True
Canada vs Australia,Canada,Australia,unjustified,-0.07496261326493799,0.01620904632901619,1.0238374963176603e-06,13,79,2.866744989689449e-06,True
Japan vs Canada,Japan,Canada,unjustified,-0.07387349129596474,0.02259867661015542,3.366902601794677e-05,13,79,6.284884856683397e-05,True
France vs China,France,China,unjustified,-0.07223971949501352,0.016074858358158025,1.3853766071652653e-06,13,79,3.526413181875221e-06,True
France vs Canada,France,Canada,unjustified,-0.03788682119750277,0.011452662426411178,3.006595353594905e-05,13,79,5.805839303493609e-05,True
Japan vs Indonesia,Japan,Indonesia,unjustified,-0.03215033198014283,0.030602467048875672,0.0618652278419986,13,79,0.07531419041634611,False
China vs Australia,China,Australia,unjustified,-0.014525655070285656,0.018011629943332174,0.13994023425518784,13,79,0.15993169629164325,False
