country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Indonesia,justified,1.087421505592816,0.2758711887779743,5.362937738836362e-06,13,1.4301167303563633e-05,True
Canada,justified,0.9064891594678357,0.10864260946267133,1.4413032906861696e-09,13,2.3060852650978714e-08,True
Australia,justified,0.6059061844494732,0.10575912295520216,1.0097640570149245e-07,13,5.385408304079598e-07,True
France,justified,-0.25939257888229145,0.15090430817368755,0.005579641258035638,13,0.00743952167738085,True
USA,justified,-0.3956657176156743,0.10871394261568183,1.1911976750855395e-05,13,2.7227375430526618e-05,True
Venezuela,justified,-0.4681776515860623,0.14480669273318328,3.73631496540109e-05,13,7.47262993080218e-05,True
China,justified,-0.48879431657538686,0.23207047221022714,0.0013999613152629032,13,0.002036307367655132,True
Japan,justified,-0.9877865848507101,0.15919157399748654,4.164803265807739e-08,13,3.331842612646191e-07,True
Venezuela,unjustified,1.0759521350321815,0.22190075695978725,6.190160067631582e-07,13,2.476064027052633e-06,True
Indonesia,unjustified,0.3035366789334025,0.13016872944268862,0.0006429580272205987,13,0.0011430364928366199,True
France,unjustified,-0.03387256223958889,0.05826654991833266,0.2767611535930505,13,0.2767611535930505,False
USA,unjustified,-0.08469469668247413,0.13848151153119104,0.253771096328165,13,0.27068916941670934,False
Canada,unjustified,-0.1608798571117003,0.1548282646699285,0.06437458244826802,13,0.07357095136944916,False
China,unjustified,-0.21875204423124245,0.13262944580188815,0.007182959482231414,13,0.00884056551659251,True
Japan,unjustified,-0.3713022461104972,0.16421446969899,0.0008186227566128711,13,0.0013097964105805936,True
Australia,unjustified,-0.5099874075900808,0.1092782347955814,9.300884891144579e-07,13,2.9762831651662654e-06,True
