pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Indonesia,China,Indonesia,justified,-1.4328783204209319,0.45073168797501767,4.37850213163649e-05,13,79,0.00010216504973818476,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-1.279189565299154,0.21760746614003834,7.598263674686699e-08,13,79,8.510055315649103e-07,True
Japan vs Indonesia,Japan,Indonesia,justified,-1.2643801573580369,0.39200684803919983,3.821440227691106e-05,13,79,9.304376206552258e-05,True
Venezuela vs Australia,Venezuela,Australia,justified,-1.17279075626915,0.1431880234619448,1.7840890427936874e-09,13,79,9.990898639644649e-08,True
Venezuela vs Canada,Venezuela,Canada,justified,-1.1563358588132242,0.160867316063813,7.940818930592656e-09,13,79,2.2234293005659438e-07,True
France vs Indonesia,France,Indonesia,justified,-1.1449891272591146,0.39630142091935383,0.00010512720462293277,13,79,0.00021025440924586555,True
China vs Australia,China,Australia,justified,-1.124055634818173,0.23328647188786622,6.621149430236424e-07,13,79,4.49306454318619e-06,True
USA vs Indonesia,USA,Indonesia,justified,-1.1237694688504665,0.42338900239629246,0.00022106871600364393,13,79,0.00038687025300637685,True
China vs Canada,China,Canada,justified,-0.9551568241216816,0.23835806451785302,4.536765459655122e-06,13,79,1.411438143003816e-05,True
USA vs Australia,USA,Australia,justified,-0.8658424897133048,0.25800108435085684,2.6214425927884057e-05,13,79,6.672762963461396e-05,True
Japan vs Australia,Japan,Australia,justified,-0.8090230060209123,0.12583023457815948,2.7983251308131882e-08,13,79,3.9176551831384637e-07,True
USA vs Canada,USA,Canada,justified,-0.7636504057605473,0.2539204488300774,7.313904515861868e-05,13,79,0.00015753025111087102,True
France vs Australia,France,Australia,justified,-0.6056404544813252,0.14251276025215126,2.4814407279504926e-06,13,79,8.685042547826725e-06,True
Japan vs Canada,Japan,Canada,justified,-0.5190447600764793,0.11776665720611855,1.6985799908877326e-06,13,79,6.839134863950519e-06,True
France vs Canada,France,Canada,justified,-0.45394059444347834,0.1295678259668893,1.7303432498164297e-05,13,79,4.844961099486003e-05,True
Canada vs Indonesia,Canada,Indonesia,justified,-0.41673820633731185,0.30617885052504384,0.020496017638762576,13,79,0.02550615528379343,True
USA vs France,USA,France,justified,-0.3289692053509937,0.22875589089740803,0.01549910428109413,13,79,0.01972613272139253,True
Canada vs Australia,Canada,Australia,justified,-0.24523523243505765,0.12197331740992946,0.001960400791721767,13,79,0.002967093090173485,True
Australia vs Indonesia,Australia,Indonesia,justified,-0.20495648812604966,0.2586545945623393,0.1463651150615503,13,79,0.16392892886893634,False
China vs Venezuela,China,Venezuela,justified,-0.06471783885367269,0.19275581390711757,0.5229171645381042,13,79,0.5525162493232799,False
China vs Japan,China,Japan,justified,-0.06197059017114834,0.2640816715792246,0.6537796087550692,13,79,0.6779936683385903,False
USA vs Japan,USA,Japan,justified,0.014279984959466018,0.2352172713704333,0.9072511513431881,13,79,0.9072511513431881,False
France vs Japan,France,Japan,justified,0.0650469256563269,0.09726735385800823,0.21447733687087883,13,79,0.2355045267601807,False
France vs Venezuela,France,Venezuela,justified,0.3074061350160084,0.21174200468746737,0.014744886660119715,13,79,0.01920264309224893,True
France vs China,France,China,justified,0.37163747829596616,0.24329070044226134,0.01119103111166092,13,79,0.014921374815547894,True
USA vs China,USA,China,justified,0.4209449431609921,0.15480673034809803,0.0001794785392254633,13,79,0.0003465792481595153,True
USA vs Venezuela,USA,Venezuela,justified,0.4495621551128425,0.15216912046352224,8.599491802002721e-05,13,79,0.00017835982996746385,True
Japan vs Venezuela,Japan,Venezuela,justified,0.5289749295553944,0.16983747055861448,5.298863946637254e-05,13,79,0.00011869455240467449,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-1.32572115558684,0.32493575656412577,3.7758169752071823e-06,13,79,1.2437985330094248e-05,True
France vs Venezuela,France,Venezuela,unjustified,-1.0950520902794476,0.21250261913377652,3.2155093111855333e-07,13,79,3.0011420237731645e-06,True
USA vs Venezuela,USA,Venezuela,unjustified,-0.8275669675658119,0.18367734279285483,1.348379420689293e-06,13,79,6.839134863950519e-06,True
Canada vs Indonesia,Canada,Indonesia,unjustified,-0.6568223400461067,0.1300385223677982,3.992018436997206e-07,13,79,3.193614749597765e-06,True
China vs Venezuela,China,Venezuela,unjustified,-0.6476362151726602,0.24932373929964197,0.0002656409874582667,13,79,0.0004507847059897859,True
Australia vs Indonesia,Australia,Indonesia,unjustified,-0.5797561846158361,0.13249670459458646,1.8319111242724605e-06,13,79,6.839134863950519e-06,True
France vs China,France,China,unjustified,-0.5101734191424899,0.14697855130782814,1.8939683391893933e-05,13,79,5.050582237838382e-05,True
USA vs China,USA,China,unjustified,-0.44652872714776926,0.12634456760236762,1.5891629120042334e-05,13,79,4.68384858274932e-05,True
France vs Indonesia,France,Indonesia,unjustified,-0.2993217755216532,0.17953657120487695,0.0067319241972781324,13,79,0.009194823293843303,True
Japan vs Indonesia,Japan,Indonesia,unjustified,-0.2564961065541639,0.22325530962018222,0.0438525127681401,13,79,0.051161264896163454,False
France vs Japan,France,Japan,unjustified,-0.24175823920307465,0.17965342927230277,0.021671274406592816,13,79,0.02638242101672169,True
USA vs Indonesia,USA,Indonesia,unjustified,-0.22174049755251343,0.1794963006489986,0.032241810948914595,13,79,0.03841577474764292,True
USA vs France,USA,France,unjustified,-0.07493417677316037,0.12818029725622732,0.27420804271038707,13,79,0.2953009690727245,False
Canada vs Australia,Canada,Australia,unjustified,-0.06271463023471363,0.07816685100392642,0.14180652489965598,13,79,0.16206459988532113,False
USA vs Japan,USA,Japan,unjustified,-0.037445630666700896,0.17179733405531003,0.6767920036994971,13,79,0.6890973128576697,False
France vs Australia,France,Australia,unjustified,0.19003262827957504,0.11300010934228587,0.006386277311060983,13,79,0.008940788235485376,True
USA vs Australia,USA,Australia,unjustified,0.2712339768152097,0.15138030417199716,0.004287607510881404,13,79,0.006156564631009194,True
Japan vs Australia,Japan,Australia,unjustified,0.3646119517980369,0.1773556213635566,0.0016709517620619697,13,79,0.002599258296540842,True
France vs Canada,France,Canada,unjustified,0.3791924230080617,0.15909442988755548,0.0005400545772059947,13,79,0.0008895016565745794,True
Japan vs Canada,Japan,Canada,unjustified,0.4011561357605548,0.18099621888315687,0.0009546986917400739,13,79,0.0015275179067841182,True
China vs Indonesia,China,Indonesia,unjustified,0.4508356233690302,0.23233993808544312,0.002515079939647539,13,79,0.003706433595270057,True
China vs Japan,China,Japan,unjustified,0.5304773332339612,0.19949988043509487,0.0002176643645831174,13,79,0.00038687025300637685,True
USA vs Canada,USA,Canada,unjustified,0.5446285397622858,0.2028689030466665,0.00020045666337139816,13,79,0.0003741857716266099,True
China vs Australia,China,Australia,unjustified,0.915579212310932,0.20887220799361267,1.7981090347892366e-06,13,79,6.839134863950519e-06,True
