country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,0.16582859123602298,0.026596502934162162,3.946709574322289e-08,13,6.314735318915663e-07,True
Australia,justified,0.12481603057093019,0.02566006946277024,5.983561253750394e-07,13,3.36716147518444e-06,True
Indonesia,justified,0.06418023967441934,0.03185279962359345,0.0019305546243114805,13,0.0034320971098870763,True
France,justified,-0.0018907806878467976,0.02244805018314285,0.8716222490492447,13,0.8716222490492447,False
Venezuela,justified,-0.005343242717515979,0.0220159125126673,0.6428374760147078,13,0.6856933077490216,False
USA,justified,-0.09613749308268917,0.04176658544502765,0.0007122682721317044,13,0.0014245365442634088,True
Japan,justified,-0.10362089601940414,0.021698083450512325,7.28177700836821e-07,13,3.36716147518444e-06,True
China,justified,-0.14783244897391648,0.03138064111981781,8.4179036879611e-07,13,3.36716147518444e-06,True
Venezuela,unjustified,0.08970066421767106,0.03384975528267085,0.00022412940570093993,13,0.0005122957844592913,True
USA,unjustified,0.041809753141030165,0.024994259343670777,0.006596760167704327,13,0.00959528751666084,True
China,unjustified,0.04092057463130609,0.03537346909958252,0.042640887057918624,13,0.048732442351907,True
Indonesia,unjustified,0.03427320441756493,0.021037633522258056,0.007730762701956109,13,0.010307683602608145,True
France,unjustified,-0.02021397510275424,0.014629583535631761,0.019019708413787004,13,0.023408871893891698,True
Australia,unjustified,-0.04997383564523475,0.028601405224012225,0.005035503451774585,13,0.008056805522839336,True
Japan,unjustified,-0.052081289193834195,0.017391488946114943,7.604021766411947e-05,13,0.00020277391377098526,True
Canada,unjustified,-0.08443509646574905,0.027621048809299005,6.297938416695288e-05,13,0.00020153402933424923,True
