pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Japan vs Indonesia,Japan,Indonesia,justified,-0.2482972750815498,0.06454908256083346,6.862584757282092e-06,13,79,4.270052737864413e-05,True
Japan vs Australia,Japan,Australia,justified,-0.24002689984200637,0.031524299875828624,4.120407184466008e-09,13,79,2.3074280233009643e-07,True
China vs Indonesia,China,Indonesia,justified,-0.22935267951298544,0.05423966029733282,2.613376584604522e-06,13,79,2.4391514789642206e-05,True
Japan vs Canada,Japan,Canada,justified,-0.22830814976013186,0.03959643151811697,9.409409390470984e-08,13,79,2.3069888850048094e-06,True
China vs Canada,China,Canada,justified,-0.21794872036401605,0.038746668089950836,1.2358869026811478e-07,13,79,2.3069888850048094e-06,True
USA vs Australia,USA,Australia,justified,-0.18505322807656105,0.044466750140256424,3.0807579685476286e-06,13,79,2.464606374838103e-05,True
China vs Australia,China,Australia,justified,-0.1814903819817545,0.04045330057247549,1.4100264074811736e-06,13,79,1.974036970473643e-05,True
USA vs Canada,USA,Canada,justified,-0.17427884500760302,0.0459781297027862,7.953657537283792e-06,13,79,4.454048220878923e-05,True
USA vs Indonesia,USA,Indonesia,justified,-0.1543326469295191,0.0697137721986848,0.000963217848107713,13,79,0.0020746230574627666,True
China vs Venezuela,China,Venezuela,justified,-0.14375858669315938,0.040601679312390886,1.560926641103776e-05,13,79,7.284324325150955e-05,True
France vs Indonesia,France,Indonesia,justified,-0.12315419164823962,0.061583937309900035,0.002036722208155352,13,79,0.004073444416310704,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.12303972203325439,0.02890572259818776,2.4403391335022238e-06,13,79,2.4391514789642206e-05,True
Japan vs Venezuela,Japan,Venezuela,justified,-0.11913347046399289,0.05006408434429046,0.0005470571569832909,13,79,0.0014588190852887757,True
France vs Canada,France,Canada,justified,-0.09958791133739572,0.034215159386975426,9.837652331737062e-05,13,79,0.0003240638415160444,True
France vs Australia,France,Australia,justified,-0.096568795500985,0.034907292039289196,0.0001544347942552243,13,79,0.00048046380434958676,True
USA vs Venezuela,USA,Venezuela,justified,-0.08195970897927826,0.061949417320961264,0.023523156923890755,13,79,0.03560261588480763,True
USA vs France,USA,France,justified,-0.07493417936585325,0.04027734921066143,0.0033480079490003744,13,79,0.006465118798069688,True
Venezuela vs Australia,Venezuela,Australia,justified,-0.06381639296482335,0.04030751720199347,0.009136431954714178,13,79,0.015504248165575574,True
