pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Venezuela vs Australia,Venezuela,Australia,justified,-0.7336094754956144,0.06730231331829789,6.446266903645318e-11,13,79,9.024773665103444e-10,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.5596311214642647,0.0618870268545994,5.688210784985213e-10,13,79,6.370796079183438e-09,True
USA vs China,USA,China,justified,-0.5257984229496546,0.04814043828646039,6.296016077241218e-11,13,79,9.024773665103444e-10,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.46754807430309253,0.05391362258872782,9.232237736281734e-10,13,79,6.886124734245827e-09,True
France vs China,France,China,justified,-0.342734082714542,0.04764489066314424,7.873615228130358e-09,13,79,3.149446091252143e-08,True
USA vs Japan,USA,Japan,justified,-0.2774081448495606,0.08256200536806294,2.5914614750376048e-05,13,79,4.1463383600601675e-05,True
USA vs France,USA,France,justified,-0.27665694292648374,0.043660075540732333,3.293866446728039e-08,13,79,9.938089079133616e-08,True
USA vs Canada,USA,Canada,justified,-0.2716059964218419,0.06239763382562417,1.93448737610429e-06,13,79,3.3853529081825073e-06,True
Japan vs Canada,Japan,Canada,justified,-0.20542152548010967,0.08733842706477916,0.0006005145300277354,13,79,0.0008407203420388295,True
France vs Japan,France,Japan,justified,-0.13301997481684982,0.05299272587553952,0.0003538613792972873,13,79,0.0005081086471961048,True
France vs Australia,France,Australia,justified,-0.010924605659512811,0.09970066975333806,0.8335569065972802,13,79,0.8335569065972802,False
France vs Canada,France,Canada,justified,0.03292411849612281,0.054172033339625676,0.2565928449975241,13,79,0.2763307561511798,False
Japan vs Australia,Japan,Australia,justified,0.058715373168498175,0.11257379146777555,0.3268152216253405,13,79,0.345314196434322,False
China vs Canada,China,Canada,justified,0.103508479429252,0.060058822432790156,0.005488767226974341,13,79,0.006681977493707893,True
USA vs Australia,USA,Australia,justified,0.17601734989292017,0.08455379471465069,0.0015255530337243907,13,79,0.0019867667415945553,True
China vs Japan,China,Japan,justified,0.3153187984075302,0.06827596858761892,1.0390407209035826e-06,13,79,1.939542679020021e-06,True
Canada vs Australia,Canada,Australia,justified,0.3393643863035209,0.05313602433662409,3.015762977705631e-08,13,79,9.934278044206785e-08,True
China vs Australia,China,Australia,justified,0.3580514624878601,0.07370015544162944,6.063008746543718e-07,13,79,1.1707878958843042e-06,True
