country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,0.5563513859152485,0.13260590180243215,2.8335244715571283e-06,13,1.1334097886228513e-05,True
Australia,justified,0.4434769094604507,0.1022172432376145,2.0017168739546162e-06,13,1.0675823327757954e-05,True
USA,justified,0.15416911821979307,0.1146870497696603,0.021783935049498108,13,0.034854296079196975,True
France,justified,0.13709486237654492,0.07437895199266581,0.0035621924808114103,13,0.008142154241854651,True
Japan,justified,0.03506426713208866,0.05201094774718549,0.2110167716509074,13,0.2813556955345432,False
Indonesia,justified,-0.07451309814190464,0.12720362579643552,0.27329022093344746,13,0.2915095689956773,False
Venezuela,justified,-0.6249386763053593,0.14060065473793837,1.5549015221235403e-06,13,1.0675823327757954e-05,True
China,justified,-0.6267047686568616,0.12752134568473214,5.359306770545662e-07,13,8.57489083287306e-06,True
Venezuela,unjustified,0.45581297442175184,0.20003312720255056,0.0007707166954185699,13,0.0020552445211161866,True
USA,unjustified,0.19941498273646108,0.13558177919837106,0.013759209398291486,13,0.027518418796582973,True
China,unjustified,0.19015731512192294,0.24505534041498378,0.15418493842317982,13,0.224269001342807,False
France,unjustified,0.052424693942810324,0.1591912226340677,0.5307741969161068,13,0.5307741969161068,False
Japan,unjustified,-0.0877342512578889,0.14131109026427793,0.24704035907400076,13,0.2915095689956773,False
Canada,unjustified,-0.13228103705298805,0.22421607292813536,0.2700432306537034,13,0.2915095689956773,False
Australia,unjustified,-0.27550407133548493,0.19465303024936828,0.016833332089302273,13,0.029925923714315152,True
Indonesia,unjustified,-0.40229060657658433,0.14342919193000597,0.00013682285200369306,13,0.0004378331264118178,True
