country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Indonesia,justified,0.14593144887078735,0.02541716285027189,9.860801197155259e-08,13,7.888640957724207e-07,True
Canada,justified,0.03127248549598992,0.03195395542072,0.07918751872328271,13,0.1407778110636137,False
France,justified,0.013910010615914419,0.021439647430340873,0.2275928300327552,13,0.30345710671034026,False
Venezuela,justified,0.01364836874961354,0.03824674708583196,0.4976195088111575,13,0.6124547800752708,False
Japan,justified,0.005492460999242115,0.02593457901125037,0.685400124073786,13,0.7833144275128984,False
Australia,justified,-0.004627812791212201,0.02902267356336884,0.7600006976755029,13,0.8106674108538698,False
USA,justified,-0.041458169957462064,0.03508185962113597,0.039032335751008736,13,0.07806467150201747,False
China,justified,-0.16416879198287304,0.04464760748236557,1.0764497606424645e-05,13,4.4624933419524276e-05,True
USA,unjustified,0.24834020092034606,0.038217413072908296,2.4840219640306182e-08,13,3.974435142448989e-07,True
Venezuela,unjustified,0.05838525338241686,0.032192136026232665,0.003961870784020397,13,0.00905570464918948,True
France,unjustified,0.014128728732193783,0.019251818830291343,0.175879765122607,13,0.2814076241961712,False
China,unjustified,0.0027206792563886245,0.042499954283351835,0.9022278863149725,13,0.9022278863149725,False
Japan,unjustified,-0.01866660092838892,0.02693518767981801,0.19935134439562996,13,0.28996559184818904,False
Indonesia,unjustified,-0.08067397669655592,0.027203224474186685,8.308455683127573e-05,13,0.0002215588182167353,True
Australia,unjustified,-0.10832025185090936,0.029757460130973856,1.1892873292835137e-05,13,4.4624933419524276e-05,True
Canada,unjustified,-0.11591403281549113,0.03236289439034872,1.3945291693601337e-05,13,4.4624933419524276e-05,True
