country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,-0.109375,0.1171875,0.00390625,0.9987616361204097
USA,France,airspace_v1,airspace,unjustified,-0.125,0.265625,0.0703125,0.9993598680386935
USA,France,airspace_v2,airspace,justified,-0.4218750298023224,0.21875,-0.1015625149011612,0.9990516172515191
USA,France,airspace_v2,airspace,unjustified,0.03125,0.1953125,0.11328125,0.9993083568825522
USA,France,airspace_v3,airspace,justified,-0.171875,0.203125,0.015625,0.9986654742226944
USA,France,airspace_v3,airspace,unjustified,0.1953124850988388,0.0859375,0.1406249925494194,0.9992558024182845
USA,France,airspace_v4,airspace,justified,-0.6171874701976776,0.4609375149011612,-0.07812497764825821,0.9986727603692063
USA,France,airspace_v4,airspace,unjustified,0.15625,0.0390625,0.09765625,0.9992162933832438
USA,France,airspace_v5,airspace,justified,-0.4140625149011612,0.3984375149011612,-0.0078125,0.9989779740553045
USA,France,airspace_v5,airspace,unjustified,0.09375,0.0078125,0.05078125,0.9993402674744973
USA,France,maritime_v1,maritime,justified,-0.0625,-0.1328125149011612,-0.0976562574505806,0.9991918449432153
USA,France,maritime_v1,maritime,unjustified,-0.140625,0.4531249850988388,0.1562499925494194,0.9994663818345774
USA,France,maritime_v2,maritime,justified,0.4375,-0.375,0.03125,0.9991773812088688
USA,France,maritime_v2,maritime,unjustified,-0.1640625,0.5624999701976776,0.1992187350988388,0.9993605939514582
USA,France,maritime_v3,maritime,justified,0.5390625298023224,-0.28125,0.1289062649011612,0.9989521597598336
USA,France,maritime_v3,maritime,unjustified,-0.296875,0.6875,0.1953125,0.9992548195817544
USA,France,maritime_v4,maritime,justified,0.1171874850988388,-0.9375000074505806,-0.4101562611758709,0.9990371742422169
USA,France,maritime_v4,maritime,unjustified,-0.5859375,1.1953125,0.3046875,0.9992384061504402
USA,France,maritime_v5,maritime,justified,-0.0234375,0.0859375,0.03125,0.998608380756786
USA,France,maritime_v5,maritime,unjustified,0.0390625,0.2421875,0.140625,0.9991052910205169
USA,France,strike_v1,strike,justified,-0.6484374850988388,0.6875000223517418,0.019531268626451492,0.999020084469361
USA,France,strike_v1,strike,unjustified,1.2187499850988388,-0.4296875149011612,0.3945312350988388,0.999312563919247
USA,France,strike_v2,strike,justified,-0.4609374701976776,0.4062500298023224,-0.027343720197677612,0.9993068168403894
USA,France,strike_v2,strike,unjustified,1.6250000670552254,-0.7109375149011612,0.4570312760770321,0.9993916215946257
USA,France,strike_v3,strike,justified,-0.1250000149011612,0.3906249850988388,0.1328124850988388,0.9992885377569213
USA,France,strike_v3,strike,unjustified,0.7499999925494194,-0.0234375,0.3632812462747097,0.9994487918272912
USA,France,strike_v4,strike,justified,-0.109375,-0.046875,-0.078125,0.9991481362014865
USA,France,strike_v4,strike,unjustified,1.1328125298023224,-0.640625,0.2460937649011612,0.9993953837546619
