country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,-1.55859375,1.5742187201976776,0.007812485098838806,0.4252295249321568
USA,France,airspace_v1,airspace,unjustified,0.6484374701976776,-1.5781250298023224,-0.4648437798023224,0.5098078442142102
USA,France,airspace_v2,airspace,justified,-2.4609374701976776,2.320312589406967,-0.07031244039535522,0.5494355535769964
USA,France,airspace_v2,airspace,unjustified,-0.0703125,0.7578125,0.34375,0.6112806641697666
USA,France,airspace_v3,airspace,justified,-0.6171874403953552,-0.13281258940696716,-0.3750000149011612,0.5066790744329535
USA,France,airspace_v3,airspace,unjustified,0.125,-0.6406249701976776,-0.2578124850988388,0.7081132253310878
USA,France,airspace_v4,airspace,justified,-3.8828125447034836,3.5820313841104507,-0.15039058029651642,0.6005361646996698
USA,France,airspace_v4,airspace,unjustified,1.265625,-1.125,0.0703125,0.5392338015214078
USA,France,airspace_v5,airspace,justified,-2.7734375298023224,1.9843750298023224,-0.39453125,0.5751139603493003
USA,France,airspace_v5,airspace,unjustified,2.335937485098839,-1.0,0.6679687425494194,0.5271614330070022
USA,France,maritime_v1,maritime,justified,1.8515625,-0.6015624701976776,0.6250000149011612,0.5564607171927013
USA,France,maritime_v1,maritime,unjustified,1.3046874701976776,-0.7265624701976776,0.2890625,0.691490643999452
USA,France,maritime_v2,maritime,justified,2.0351563543081284,0.7421874701976776,1.388671912252903,0.5831569940331124
USA,France,maritime_v2,maritime,unjustified,0.8984375,-1.1015624701976776,-0.1015624850988388,0.6517942840836243
USA,France,maritime_v3,maritime,justified,1.1796873807907104,-0.6367186605930328,0.2714843600988388,0.4825583289174082
USA,France,maritime_v3,maritime,unjustified,1.7734375,-0.6328124701976776,0.5703125149011612,0.5772598377749701
USA,France,maritime_v4,maritime,justified,1.8593750596046448,0.4296875,1.1445312798023224,0.6204699638516565
USA,France,maritime_v4,maritime,unjustified,1.5937499701976776,-1.5000000298023224,0.04687497019767761,0.5970328831043116
USA,France,maritime_v5,maritime,justified,4.03515625,-3.4023438841104507,0.3164061829447746,0.6776685160500514
USA,France,maritime_v5,maritime,unjustified,1.890625,-1.40625,0.2421875,0.6608438369085046
USA,France,strike_v1,strike,justified,2.3164062201976776,-1.29296875,0.5117187350988388,0.46854305619969544
USA,France,strike_v1,strike,unjustified,4.496093824505806,-4.65625,-0.08007808774709702,0.8772571613028766
USA,France,strike_v2,strike,justified,-1.4648437798023224,0.2343750298023224,-0.615234375,0.5679283370002841
USA,France,strike_v2,strike,unjustified,2.902343824505806,-5.156249936670065,-1.1269530560821295,0.8707950262552059
USA,France,strike_v3,strike,justified,1.7460936903953552,-1.3671873807907104,0.1894531548023224,0.362691692487034
USA,France,strike_v3,strike,unjustified,2.820312589406967,-3.60546887665987,-0.3925781436264515,0.8044731209853482
USA,France,strike_v4,strike,justified,2.3671874701976776,-1.12890625,0.6191406100988388,0.4548443906915627
USA,France,strike_v4,strike,unjustified,4.437499836087227,-4.300781242549419,0.06835929676890373,0.7856661835467452
USA,France,strike_v5,strike,justified,-1.33984375,0.6328125298023224,-0.3535156100988388,0.538702313395272
USA,France,strike_v5,strike,unjustified,2.6328125596046448,-3.0273436680436134,-0.19726555421948433,0.8016792416011076
USA,France,proxy_v1,proxy,justified,0.6562500596046448,0.6992187798023224,0.6777344197034836,0.4534646032832151
USA,France,proxy_v1,proxy,unjustified,2.101562514901161,-2.632812462747097,-0.2656249739229679,0.8087082698864674
USA,France,proxy_v2,proxy,justified,1.22265625,0.58984375,0.90625,0.38119241009008864
USA,France,proxy_v2,proxy,unjustified,2.039062589406967,-1.4609374552965164,0.2890625670552254,0.8130328487127062
USA,France,proxy_v3,proxy,justified,0.0625,0.24609369039535522,0.1542968451976776,0.4245067873813815
USA,France,proxy_v3,proxy,unjustified,-0.2187499701976776,-0.4609375298023224,-0.33984375,0.8260874880628386
USA,France,proxy_v4,proxy,justified,1.35546875,0.53515625,0.9453125,0.37629833522315265
USA,France,proxy_v4,proxy,unjustified,3.187499985098839,-3.4687499925494194,-0.1406250037252903,0.8518378164027758
USA,France,proxy_v5,proxy,justified,-0.6132811903953552,1.34765625,0.3671875298023224,0.4371875671048786
USA,France,proxy_v5,proxy,unjustified,2.8593750074505806,-2.882812522351742,-0.011718757450580597,0.8542614649795943
USA,France,cyber_v1,cyber,justified,-0.8515625298023224,0.9765624403953552,0.06249995529651642,0.5712613934538604
USA,France,cyber_v1,cyber,unjustified,2.0390625447034836,-2.421875,-0.1914062276482582,0.8569661688173194
USA,France,cyber_v2,cyber,justified,-1.25,2.5859375298023224,0.6679687649011612,0.5796248712495166
USA,France,cyber_v2,cyber,unjustified,-0.2656249701976776,1.3749999850988388,0.5546875074505806,0.7572470106684216
USA,France,cyber_v3,cyber,justified,1.1054687798023224,-0.19140633940696716,0.4570312201976776,0.495712824670461
USA,France,cyber_v3,cyber,unjustified,1.0625000298023224,-1.4609375298023224,-0.19921875,0.9132490151777364
USA,France,cyber_v4,cyber,justified,-2.960937537252903,3.277343600988388,0.15820303186774254,0.7737373743334602
USA,France,cyber_v4,cyber,unjustified,1.6718750074505806,-1.1015624701976776,0.2851562686264515,0.8549127415107604
USA,France,cyber_v5,cyber,justified,0.3085938096046448,0.8124999403953552,0.560546875,0.4292208411548504
USA,France,cyber_v5,cyber,unjustified,3.1796874031424522,-1.4296874850988388,0.8749999590218067,0.7799955591963087
USA,France,trade_v1,trade,justified,-0.9375000596046448,1.4062500298023224,0.2343749850988388,0.5664210590361288
USA,France,trade_v1,trade,unjustified,0.08593752980232239,-0.1796875,-0.046874985098838806,0.7007433924349027
USA,France,trade_v2,trade,justified,0.8125,-0.1406249701976776,0.3359375149011612,0.6139654014943605
USA,France,trade_v2,trade,unjustified,-0.0234375,-1.4296875298023224,-0.7265625149011612,0.6926976605406677
USA,France,trade_v3,trade,justified,0.6250000596046448,-0.640625,-0.007812470197677612,0.5857906729080851
USA,France,trade_v3,trade,unjustified,1.5937499552965164,-1.4531249105930328,0.07031252235174179,0.7224638800046884
USA,France,trade_v4,trade,justified,-1.1562500298023224,0.5390625298023224,-0.30859375,0.5108016891496031
USA,France,trade_v4,trade,unjustified,1.8749999403953552,-1.6640624403953552,0.10546875,0.7684330629156317
USA,France,trade_v5,trade,justified,-1.7968748956918716,0.2031249701976776,-0.796874962747097,0.6004246018456478
USA,France,trade_v5,trade,unjustified,0.2421875,1.1328125,0.6875,0.749427381187135
USA,France,border_v1,border,justified,0.20703125,1.109375149011612,0.658203199505806,0.3468536237620302
USA,France,border_v1,border,unjustified,2.0507811903953552,-1.5,0.2753905951976776,0.6167986773143569
USA,France,border_v2,border,justified,0.33203125,0.07031255960464478,0.2011719048023224,0.42775033189915035
USA,France,border_v2,border,unjustified,1.2656250298023224,-2.593750074505806,-0.6640625223517418,0.6750578080924816
USA,France,border_v3,border,justified,-1.328124925494194,1.7734375,0.22265628725290298,0.8154854849946173
USA,France,border_v3,border,unjustified,1.2421875819563866,-2.9296875074505806,-0.843749962747097,0.8215677078673714
USA,France,border_v4,border,justified,-0.65625,1.5937500298023224,0.4687500149011612,0.5717240714778724
USA,France,border_v4,border,unjustified,2.4023438096046448,-3.6171874552965164,-0.6074218228459358,0.7002056207719932
USA,France,border_v5,border,justified,-0.5,0.453125,-0.0234375,0.5223860875209171
USA,France,border_v5,border,unjustified,3.511718735098839,-2.7500000670552254,0.3808593340218067,0.8053275741945541
USA,France,espionage_v1,espionage,justified,-1.4570312201976776,2.8437500298023224,0.6933594048023224,0.7175350974095869
USA,France,espionage_v1,espionage,unjustified,1.0156249403953552,-0.3906250596046448,0.3124999403953552,0.7353323109972444
