country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,0.24142914377289382,0.058093281856338295,3.1246934098619742e-06,13,8.332515759631932e-06,True
Australia,justified,0.1503052843733647,0.030382234341881177,4.991903153519909e-07,13,1.9967612614079637e-06,True
Indonesia,justified,0.14731018609366825,0.025365807172702422,8.691711962368955e-08,13,4.6355797132634427e-07,True
USA,justified,0.03370290405147678,0.023903183814958567,0.017165805108020668,13,0.019618062980595048,True
France,justified,-0.09511545002616431,0.022460945126470847,2.5740816289258654e-06,13,8.237061212562768e-06,True
China,justified,-0.12184086356220414,0.03878001246307023,4.886630897321439e-05,13,7.818609435714302e-05,True
Venezuela,justified,-0.14167617167059132,0.061733348376894606,0.0007290089647843747,13,0.000972011953045833,True
Japan,justified,-0.21411503303244378,0.029422106269305418,6.9015117492274235e-09,13,7.139829182666835e-08,True
China,unjustified,0.05124116954474097,0.0072022708824814275,8.924786478333544e-09,13,7.139829182666835e-08,True
Venezuela,unjustified,0.02810415031397175,0.016875745299979494,0.00677692068621732,13,0.008340825459959778,True
USA,unjustified,0.019220548796441653,0.005324177878597284,1.2905441465929523e-05,13,2.2943007050541375e-05,True
Canada,unjustified,0.007044945381998953,0.009215055569145057,0.1598600665751012,13,0.17051740434677462,False
Indonesia,unjustified,0.00017476942700157054,0.0103183662412654,0.9740625766803561,13,0.9740625766803561,False
Japan,unjustified,-0.030064429618001046,0.010303399845929909,9.619178369457554e-05,13,0.00013991532173756444,True
Australia,unjustified,-0.03484248266614338,0.00945631024861746,1.0546934634310764e-05,13,2.1093869268621527e-05,True
France,unjustified,-0.04087867118001046,0.010938529529273327,9.1625773112769e-06,13,2.0943033854347198e-05,True
