country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,-0.27734375,0.41796875,0.0703125,0.0004663980872789349
USA,France,airspace_v1,airspace,unjustified,-0.01171875,0.0078125,-0.001953125,0.0005596450754025482
USA,France,airspace_v2,airspace,justified,-0.421875,0.5429685115814209,0.06054675579071045,0.0004254244927390274
USA,France,airspace_v2,airspace,unjustified,-0.04296875,0.09375,0.025390625,0.0005225828686146851
USA,France,airspace_v3,airspace,justified,-0.26953125,0.3828125,0.056640625,0.00034952219859291203
USA,France,airspace_v3,airspace,unjustified,0.00390625,0.05859375,0.03125,0.0003989176444817991
USA,France,airspace_v4,airspace,justified,-0.46484375,0.6484375,0.091796875,0.0004114335944959877
USA,France,airspace_v4,airspace,unjustified,0.08984375,0.0,0.044921875,0.0004920841218823448
USA,France,airspace_v5,airspace,justified,-0.453125,0.421875,-0.015625,0.0004197011548161656
USA,France,airspace_v5,airspace,unjustified,0.0078125,0.046875,0.02734375,0.0005133820022318732
USA,France,maritime_v1,maritime,justified,0.2734375,0.17578125,0.224609375,0.0003063640787686477
USA,France,maritime_v1,maritime,unjustified,0.0,0.03125,0.015625,0.0003413000597489186
USA,France,maritime_v2,maritime,justified,0.35546875,0.1875,0.271484375,0.00032327159074175855
USA,France,maritime_v2,maritime,unjustified,-0.08984375,0.07421875,-0.0078125,0.00036250978325803136
USA,France,maritime_v3,maritime,justified,0.22265625,0.06640625,0.14453125,0.0003230211514969423
USA,France,maritime_v3,maritime,unjustified,-0.14453125,0.1953125,0.025390625,0.0003616642357742279
USA,France,maritime_v4,maritime,justified,0.3359375,0.0546875,0.1953125,0.000306682623018102
USA,France,maritime_v4,maritime,unjustified,-0.0234375,0.1015625,0.0390625,0.0003490679812246958
USA,France,maritime_v5,maritime,justified,0.16796875,0.19140625,0.1796875,0.00033854753256139496
USA,France,maritime_v5,maritime,unjustified,0.109375,-0.01171875,0.048828125,0.0003713326113776967
USA,France,strike_v1,strike,justified,0.52734375,-0.10546875,0.2109375,0.0003853781780373917
