country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
China,justified,2.139964754513039,0.7482985041005464,0.00011519031607143741,13,0.0006143483523809995,True
Venezuela,justified,1.2326395701334774,0.45539030735661057,0.00018672545101418856,13,0.0007469018040567542,True
Indonesia,justified,1.0761851669676752,0.7805324860452033,0.019223282085860192,13,0.02563104278114692,True
Canada,justified,-0.1993005148758439,0.34578629898067675,0.28068568543295036,13,0.3207836404948004,False
France,justified,-0.6788453380980868,0.43173067603742915,0.009504870786172258,13,0.015207793257875612,True
Australia,justified,-0.9841378886262654,0.4852338661327619,0.0018420914537193775,13,0.004912243876585007,True
Japan,justified,-1.0114877627531598,0.38722692472302395,0.00025335109831009555,13,0.0008107235145923058,True
USA,justified,-1.5750179872608365,0.7992627382989698,0.0022589768329394698,13,0.005163375618147359,True
Japan,unjustified,1.2141773700001346,0.367714276902224,3.060439125568583e-05,13,0.00024483513004548664,True
Australia,unjustified,1.1305680862556153,0.6434830397208826,0.004861849985488588,13,0.009723699970977176,True
France,unjustified,0.695063119256172,0.4118321976180635,0.006247967724470119,13,0.011107498176835769,True
Canada,unjustified,0.6519063100307704,0.4684981296284954,0.018357931850201518,13,0.02563104278114692,True
Venezuela,unjustified,0.14384648442138157,0.5282928406895572,0.6033085312281194,13,0.6033085312281194,False
USA,unjustified,-0.32825581347243055,0.6111281339989332,0.31318121455142606,13,0.3340599621881878,False
Indonesia,unjustified,-0.41091051982265675,0.537612740651975,0.15995023861943533,13,0.19686183214699732,False
China,unjustified,-3.0963950366689863,0.5768070676440396,2.0619771484963898e-07,13,3.2991634375942236e-06,True
