pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
USA vs China,USA,China,justified,-2.6733201756010834,0.7555696900849109,1.571970419272743e-05,13,79,7.335861956606135e-05,True
USA vs Venezuela,USA,Venezuela,justified,-2.3902816049255504,0.7728273387683374,5.6532667703646625e-05,13,79,0.00024352533780032392,True
France vs China,France,China,justified,-2.077638485503962,0.4153107378792395,4.428049793184843e-07,13,79,4.959415768367024e-06,True
Australia vs Indonesia,Australia,Indonesia,justified,-1.6524725344637274,0.7185270579737592,0.0007170802239891906,13,79,0.0022309162524108157,True
Japan vs Indonesia,Japan,Indonesia,justified,-1.4813415816374444,0.7520704457660227,0.0022662451259743933,13,79,0.005768623957025728,True
France vs Venezuela,France,Venezuela,justified,-1.4766483485419142,0.75938362449052,0.0024784087061237156,13,79,0.0060343864149099155,True
USA vs Indonesia,USA,Indonesia,justified,-1.4077380801257706,1.0163666037107815,0.018789997362073516,13,79,0.03757999472414703,True
Japan vs Venezuela,Japan,Venezuela,justified,-1.284025867981708,0.5998637461404756,0.001241933123812586,13,79,0.003660434470184464,True
USA vs France,USA,France,justified,-1.1153846242489787,0.5532718227514298,0.0019232054934553533,13,79,0.005384975381674989,True
France vs Indonesia,France,Indonesia,justified,-1.0514394743054523,0.747066092353942,0.017325553927042762,13,79,0.035934482219051656,True
USA vs Canada,USA,Canada,justified,-0.9219322044048727,0.8884460984209053,0.0646855483926738,13,79,0.10387490538078563,False
Japan vs Canada,Japan,Canada,justified,-0.5925910182818035,0.5896196852801814,0.07237328531430468,13,79,0.11258066604447395,False
Canada vs Indonesia,Canada,Indonesia,justified,-0.5305202610426945,0.5611847924095476,0.08863758637974688,13,79,0.1306238115069954,False
USA vs Japan,USA,Japan,justified,-0.47278503403782685,0.707381198885042,0.2147239437487961,13,79,0.27964048488215304,False
Japan vs Australia,Japan,Australia,justified,-0.2740957108028359,0.5253639530272796,0.3266789962061517,13,79,0.3811254955738437,False
USA vs Australia,USA,Australia,justified,-0.13598900206560532,0.9161507531372318,0.7760698192398231,13,79,0.8048131458783351,False
France vs Canada,France,Canada,justified,-0.046646084532361014,0.6556266828688055,0.8914086256819279,13,79,0.8914086256819279,False
Canada vs Australia,Canada,Australia,justified,0.36399667833704397,0.6411288743341002,0.2875992657102578,13,79,0.3501208452124877,False
France vs Japan,France,Japan,justified,0.4052484017326673,0.503746035148873,0.14083419368110248,13,79,0.19235889868638387,False
Venezuela vs Indonesia,Venezuela,Indonesia,justified,0.41689560463430414,0.4361259558823791,0.08553966594944686,13,79,0.12946544035591956,False
China vs Venezuela,China,Venezuela,justified,0.4218320860201376,0.6988701496115424,0.259702308015546,13,79,0.3231850944193461,False
China vs Indonesia,China,Indonesia,justified,0.5242530721128731,0.799843550817289,0.22315249836156573,13,79,0.28401227064199275,False
