pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
USA vs Canada,USA,Canada,justified,-0.40832474863245366,0.095269093877265,2.2720902190719106e-06,13,79,4.347361338606851e-05,True
USA vs Australia,USA,Australia,justified,-0.3874627986527134,0.09061725319216937,2.32894357425367e-06,13,79,4.347361338606851e-05,True
China vs Indonesia,China,Indonesia,justified,-0.30550308928794256,0.1442206745973302,0.0013420948190572585,13,79,0.00626310915560054,True
USA vs Venezuela,USA,Venezuela,justified,-0.2782451942999721,0.12244435472141378,0.0007874222935163845,13,79,0.004899516492990837,True
USA vs Indonesia,USA,Indonesia,justified,-0.25402072070323395,0.1412000594238312,0.004176545799587877,13,79,0.013758033222171829,True
France vs Canada,France,Canada,justified,-0.24088541424113424,0.06268924042643263,6.936748204235117e-06,13,79,9.711447485929164e-05,True
France vs Indonesia,France,Indonesia,justified,-0.24081387446899882,0.12183929144649445,0.002212127151861159,13,79,0.008258608033614993,True
China vs Venezuela,China,Venezuela,justified,-0.23098385674476407,0.15401727836938114,0.01238428363095645,13,79,0.03015303840580701,True
China vs Canada,China,Canada,justified,-0.22319997780898332,0.12872193795186337,0.005283545186341638,13,79,0.016437696135285097,True
USA vs France,USA,France,justified,-0.21834935431433466,0.08589408283934737,0.00031853152897814773,13,79,0.002548252231825182,True
USA vs Japan,USA,Japan,justified,-0.197444483842496,0.10132303835843261,0.002442232222564399,13,79,0.008547812778975396,True
USA vs China,USA,China,justified,-0.1813902225577351,0.08375584655501159,0.001137788167310418,13,79,0.005792376124489401,True
Japan vs Canada,Japan,Canada,justified,-0.16278903269560344,0.11875528731204893,0.01978819229190054,13,79,0.042620721859478086,True
France vs Venezuela,France,Venezuela,justified,-0.1317536676193386,0.10233344680286732,0.02673738211740954,13,79,0.05347476423481908,False
China vs Australia,China,Australia,justified,-0.12521463113362755,0.11299856924719746,0.05062324642004353,13,79,0.0860507328201979,False
France vs Australia,France,Australia,justified,-0.11561354918357652,0.10437935829490053,0.05070846755475948,13,79,0.0860507328201979,False
Japan vs Australia,Japan,Australia,justified,-0.11272321373306132,0.09106514813375545,0.03195663270172454,13,79,0.059652381043219134,False
Japan vs Indonesia,Japan,Indonesia,justified,-0.1101476639345452,0.12863065861292075,0.11910518376044942,13,79,0.17102282796372223,False
France vs Japan,France,Japan,justified,-0.10335107592886295,0.0792945742002007,0.025249863042135487,13,79,0.05237008630961434,False
Australia vs Indonesia,Australia,Indonesia,justified,-0.09416495150999056,0.1035964519060982,0.10012359623651608,13,79,0.15153841592553785,False
China vs Japan,China,Japan,justified,-0.09364983852911782,0.10837219564765845,0.11608981701905756,13,79,0.17102282796372223,False
Venezuela vs Canada,Venezuela,Canada,justified,-0.05588942200573155,0.11442158495360921,0.35727407391133004,13,79,0.41681975289655177,False
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.04874942721901358,0.07163888842457353,0.207046125789755,13,79,0.2635132510051427,False
France vs China,France,China,justified,-0.04707532068680386,0.10474184599379971,0.3956700159140762,13,79,0.4431504178237653,False
Japan vs Venezuela,Japan,Venezuela,justified,0.02959020285024528,0.11944784590747938,0.6360370574061681,13,79,0.6517261402001907,False
Venezuela vs Australia,Venezuela,Australia,justified,0.02990498908218884,0.09291056471222435,0.53996017254876,13,79,0.5705239559005767,False
Canada vs Indonesia,Canada,Indonesia,justified,0.07698031285634407,0.10537343653297451,0.1777084375588457,13,79,0.23143424426268278,False
Canada vs Australia,Canada,Australia,justified,0.10702839044465141,0.04650506574966274,0.0007131065190048733,13,79,0.004899516492990837,True
Canada vs Australia,Canada,Australia,unjustified,-0.1376058854138813,0.046546593451627975,8.548378383198134e-05,13,79,0.0009574183789181911,True
France vs Australia,France,Australia,unjustified,-0.1035084732647835,0.10562135343236242,0.07883219459349343,13,79,0.12262785825654533,False
China vs Australia,China,Australia,unjustified,-0.10126201784401968,0.09848296266416037,0.0668339007473154,13,79,0.10693424119570465,False
Venezuela vs Australia,Venezuela,Australia,unjustified,-0.08329040542818035,0.10878221191182197,0.1592792131721442,13,79,0.21755209604000184,False
China vs Japan,China,Japan,unjustified,-0.05690533090758072,0.06813379651235116,0.12757012192703937,13,79,0.17859817069785514,False
France vs Venezuela,France,Venezuela,unjustified,-0.05169700004412851,0.07791773316027674,0.21787637104757115,13,79,0.2652407995361736,False
Japan vs Venezuela,Japan,Venezuela,unjustified,-0.03313873899288666,0.08374133133364178,0.4529851796290777,13,79,0.4973954913574186,False
France vs Japan,France,Japan,unjustified,-0.029103708125978383,0.07864604598462038,0.4821634838727261,13,79,0.5192529826321666,False
China vs Venezuela,China,Venezuela,unjustified,-0.023895380583561054,0.09764060034628637,0.6400881734109015,13,79,0.6517261402001907,False
Canada vs Indonesia,Canada,Indonesia,unjustified,0.01699862337838381,0.11530521074235232,0.7775515582102303,13,79,0.7775515582102303,False
USA vs Japan,USA,Japan,unjustified,0.044886105755282624,0.09425667821358664,0.3690276705896287,13,79,0.42174590924528993,False
Japan vs Australia,Japan,Australia,unjustified,0.0600103041116189,0.10256917591483909,0.27384031614318155,13,79,0.32627782348974826,False
Venezuela vs Canada,Venezuela,Canada,unjustified,0.07745249591590392,0.1155487222960026,0.21347923627406296,13,79,0.2652407995361736,False
France vs China,France,China,unjustified,0.08456387317435808,0.07836705865983765,0.05603264011043943,13,79,0.0922890542995473,False
China vs Canada,China,Canada,unjustified,0.08490727759126723,0.11392337108946848,0.16975659981017222,13,79,0.22634213308022963,False
France vs Canada,France,Canada,unjustified,0.10200606588096847,0.08207885468772359,0.031395018687831594,13,79,0.059652381043219134,False
France vs Indonesia,France,Indonesia,unjustified,0.13658997207033985,0.09875134794380945,0.018919836731504398,13,79,0.04238043427856985,True
USA vs Australia,USA,Australia,unjustified,0.13809237355919002,0.11380111563554961,0.03486620314257742,13,79,0.06298410890272049,False
USA vs France,USA,France,unjustified,0.1574233049499519,0.0937926011129767,0.006462887044315003,13,79,0.01809608372408201,True
Japan vs Indonesia,Japan,Indonesia,unjustified,0.1615728044595856,0.10594149435841074,0.011290581646079437,13,79,0.02873966237183857,True
Japan vs Canada,Japan,Canada,unjustified,0.17085909207723352,0.12120609785292431,0.017185640421546945,13,79,0.040099827650276205,True
USA vs Venezuela,USA,Venezuela,unjustified,0.17479395473737527,0.0862794762685364,0.0018569085147604682,13,79,0.007427634059041873,True
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,0.19940476412049085,0.09782226817686213,0.0017765285429383092,13,79,0.007427634059041873,True
USA vs China,USA,China,unjustified,0.21388507350228536,0.04966964213824312,2.1641361045626703e-06,13,79,4.347361338606851e-05,True
USA vs Indonesia,USA,Indonesia,unjustified,0.22118245896238545,0.1304695349173565,0.006079152468905249,13,79,0.017917502013615468,True
China vs Indonesia,China,Indonesia,unjustified,0.22144001885743697,0.13927207265939703,0.008914829394429339,13,79,0.023772878385144906,True
Australia vs Indonesia,Australia,Indonesia,unjustified,0.26274896921221536,0.11969916465611875,0.0010276167663689768,13,79,0.00575465389166627,True
USA vs Canada,USA,Canada,unjustified,0.27393829924201135,0.09966199256633543,0.00016338341932858113,13,79,0.0015249119137334237,True
