country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Indonesia,justified,1.7393665277539965,0.7347085958790784,0.0005700369082990812,13,0.0011400738165981625,True
Canada,justified,0.9517986538645983,0.6515985450612312,0.014274166220033038,13,0.02283866595205286,True
France,justified,0.9304319059331028,0.5461677661123794,0.005899159785531006,13,0.010487395174277344,True
China,justified,0.702976726225569,0.6113574684484809,0.04370236052305394,13,0.060110403303260916,False
Venezuela,justified,0.40252468998927465,0.6135432173878875,0.2227410420551372,13,0.2741428209909381,False
Australia,justified,-0.1778779127159897,0.46901639460446853,0.4715767352901543,13,0.5210629606677198,False
Japan,justified,-1.6873622031688442,0.38800969838833516,1.9533989722170156e-06,13,7.813595888868063e-06,True
USA,justified,-2.8618583878817074,0.6385491550248544,1.4253073278897854e-06,13,7.601639082078856e-06,True
Venezuela,unjustified,1.761984804922969,0.6014756131336398,9.283618384894807e-05,13,0.0002970757883166338,True
China,unjustified,1.2592013773027355,0.47816519522067913,0.00023646024753121774,13,0.0005404805657856405,True
USA,unjustified,0.9953353414979672,0.3581712063818371,0.00014844743611932564,13,0.00039585982965153506,True
Indonesia,unjustified,0.03519337093686632,0.5765607662852212,0.9067489606645353,13,0.9067489606645353,False
France,unjustified,-0.1025687084966527,0.2813058019178619,0.48849652562598733,13,0.5210629606677198,False
Japan,unjustified,-0.39645812961831883,0.3474485561037746,0.045082802477445685,13,0.060110403303260916,False
Australia,unjustified,-1.7672793285064459,0.3229846357901831,1.6734368716057142e-07,13,1.3387494972845714e-06,True
Canada,unjustified,-1.7854087280391213,0.26638334049366397,1.7532777233977007e-08,13,2.805244357436321e-07,True
