pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
USA vs France,USA,France,justified,-4.286585667095532,0.8768460282403734,5.67113777559611e-07,13,79,7.939592885834553e-06,True
USA vs Indonesia,USA,Indonesia,justified,-4.024530177983719,1.182686072867543,2.2943564057525318e-05,13,79,0.00010706996560178482,True
USA vs Canada,USA,Canada,justified,-3.8031262349518142,0.8968382969767098,2.5373340510887053e-06,13,79,2.3681784476827918e-05,True
Japan vs Indonesia,Japan,Indonesia,justified,-3.584318782752141,0.8738110541115249,3.573517902270808e-06,13,79,2.8588143218166464e-05,True
USA vs Venezuela,USA,Venezuela,justified,-3.035025378303677,1.0011826510743507,6.800925525343265e-05,13,79,0.0002929629457070945,True
USA vs China,USA,China,justified,-2.7309045106660395,0.7469600679251291,1.1391096954590013e-05,13,79,5.7991039041549156e-05,True
USA vs Australia,USA,Australia,justified,-2.3091295566290424,0.809805445320813,0.00011821485611846872,13,79,0.00041375199641464054,True
Japan vs Venezuela,Japan,Venezuela,justified,-2.145095238400685,0.9464012776953649,0.0008033334025141049,13,79,0.0021422224067042797,True
Japan vs Canada,Japan,Canada,justified,-2.075126546496464,0.6919092878338627,7.500901513211712e-05,13,79,0.00030003606052846847,True
Australia vs Indonesia,Australia,Indonesia,justified,-1.9152851932555874,0.8032901385631197,0.0005384955965987073,13,79,0.001675319633862645,True
China vs Indonesia,China,Indonesia,justified,-1.436268653880955,0.8345311965340753,0.00553678044414785,13,79,0.009395748632493322,True
Japan vs Australia,Japan,Australia,justified,-1.36557722374483,0.6356713377757568,0.0012090042613778203,13,79,0.002821009943214914,True
USA vs Japan,USA,Japan,justified,-1.3348065498779653,0.7081954026483932,0.003068080442572482,13,79,0.005924569130484792,True
France vs Indonesia,France,Indonesia,justified,-0.9933530061877581,1.0554116716144033,0.0898864281158332,13,79,0.12277170669479658,False
China vs Canada,China,Canada,justified,-0.8289259187297234,1.353407860629147,0.25312744275458676,13,79,0.32216219986947403,False
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.7255821001780774,0.6474221785907502,0.04842952442774367,13,79,0.06953982994752937,False
Venezuela vs Canada,Venezuela,Canada,justified,-0.39714266634426826,1.1394437639193313,0.5074937206703002,13,79,0.5799928236232003,False
Canada vs Indonesia,Canada,Indonesia,justified,-0.34856492542276235,1.4828893683421287,0.653241783332784,13,79,0.6774359234562205,False
France vs China,France,China,justified,-0.11047660040280245,1.0344280193028148,0.8377041667118019,13,79,0.8377041667118019,False
France vs Venezuela,France,Venezuela,justified,0.19315978283004587,0.7823494940107079,0.6371548425003657,13,79,0.6732202109437827,False
France vs Australia,France,Australia,justified,0.23452563285861766,0.563045667457584,0.4301806731043062,13,79,0.5018774519550239,False
France vs Canada,France,Canada,justified,0.40989883887775974,0.7561335225651326,0.30891826533844674,13,79,0.38443161908784484,False
Canada vs Australia,Canada,Australia,justified,0.7388819994203637,0.5325551745062234,0.018629893778152513,13,79,0.028196595988555152,True
Venezuela vs Australia,Venezuela,Australia,justified,0.7660609874942582,0.9080743495774206,0.12413606699314259,13,79,0.16551475599085677,False
China vs Australia,China,Australia,justified,1.0319440166846312,1.039467347274941,0.07547616792210486,13,79,0.1056666350909468,False
China vs Venezuela,China,Venezuela,justified,1.3622153876417558,0.9340571567266872,0.014395583828645257,13,79,0.022499441032698478,True
China vs Japan,China,Japan,justified,1.8387846449993879,0.8194443815225183,0.0008682440964271914,13,79,0.002210075881814669,True
France vs Japan,France,Japan,justified,2.8166987611895133,0.762128614131126,1.0232666858237528e-05,13,79,5.7302934406130156e-05,True
Australia vs Indonesia,Australia,Indonesia,unjustified,-2.099716313599503,0.7358069421672143,0.00011742024550135623,13,79,0.00041375199641464054,True
France vs Venezuela,France,Venezuela,unjustified,-1.8841715933893206,0.8733030589004769,0.001170594843607567,13,79,0.002821009943214914,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-1.7681717905096521,0.8830906889421408,0.002018936074391122,13,79,0.0043484776986885704,True
Canada vs Indonesia,Canada,Indonesia,unjustified,-1.761017659716581,0.886051633523715,0.00212741470335938,13,79,0.004379466511116465,True
France vs China,France,China,unjustified,-0.743782741130217,0.6265068416947778,0.03828564114170733,13,79,0.0564209448404108,False
China vs Venezuela,China,Venezuela,unjustified,-0.40295923027745534,0.8157554420456954,0.35206250981532655,13,79,0.4285978380360497,False
USA vs China,USA,China,unjustified,-0.2881466047872445,0.6336341348864037,0.39028220871733293,13,79,0.4650170997483116,False
USA vs Venezuela,USA,Venezuela,unjustified,-0.24013403384611964,0.7853879288996879,0.5601343849801774,13,79,0.6273505111777987,False
Canada vs Australia,Canada,Australia,unjustified,0.13070181518922744,0.49198532098533704,0.6120504809819642,13,79,0.6591312872113461,False
France vs Indonesia,France,Indonesia,unjustified,0.1395872953235284,0.5146339490750622,0.6046893774043018,13,79,0.6591312872113461,False
Japan vs Indonesia,Japan,Indonesia,unjustified,0.15733706681296616,0.9762456802372147,0.757516898967857,13,79,0.7712899334945452,False
France vs Japan,France,Japan,unjustified,0.4438671679253052,0.5686630182389077,0.15197386222069373,13,79,0.19791944847346163,False
Japan vs Canada,Japan,Canada,unjustified,0.8101534238989182,0.5560101918126359,0.014463926378163306,13,79,0.022499441032698478,True
USA vs France,USA,France,unjustified,0.8665005565764238,0.464194375814125,0.0032740739165184785,13,79,0.006111604644167826,True
USA vs Indonesia,USA,Indonesia,unjustified,0.9111002364397159,0.6129992953882882,0.013004850682495366,13,79,0.021419754065286484,True
Japan vs Australia,Japan,Australia,unjustified,0.9670186074784934,0.42244298732920177,0.000743740610802275,13,79,0.0021255512332279533,True
USA vs Japan,USA,Japan,unjustified,1.041945526987014,0.5264070722853691,0.0021897332555582327,13,79,0.004379466511116465,True
France vs Australia,France,Australia,unjustified,1.0665278269383962,0.4671363877899929,0.0007591254404385548,13,79,0.0021255512332279533,True
France vs Canada,France,Canada,unjustified,1.3066261421484813,0.6128377294480029,0.0012790128264174628,13,79,0.0028649887311751167,True
China vs Japan,China,Japan,unjustified,1.3894514691753264,0.5790840211076134,0.0005118292242300147,13,79,0.001675319633862645,True
