country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,-10.4892578125,9.11376953125,-0.687744140625,1.4632220010512162e-07
USA,France,airspace_v1,airspace,unjustified,-7.359375,6.623046875,-0.3681640625,5.89799837130491e-07
USA,France,airspace_v2,airspace,justified,-10.000976085662842,0.3515625,-4.824706792831421,5.554550297212577e-07
USA,France,airspace_v2,airspace,unjustified,4.332032203674316,-8.689452171325684,-2.1787099838256836,4.248790347170505e-07
USA,France,airspace_v3,airspace,justified,-9.43701171875,6.861327648162842,-1.287842035293579,1.5339866666595897e-07
USA,France,airspace_v3,airspace,unjustified,-2.882812976837158,3.855468273162842,0.4863276481628418,5.335733670295542e-07
USA,France,airspace_v4,airspace,justified,-10.041015625,9.57861328125,-0.231201171875,2.2946639313876914e-08
USA,France,airspace_v4,airspace,unjustified,-3.515624523162842,5.05859375,0.7714846134185791,3.840917410117113e-07
USA,France,airspace_v5,airspace,justified,-8.744140625,4.060546398162842,-2.341797113418579,1.326099320850353e-07
USA,France,airspace_v5,airspace,unjustified,-1.8359370231628418,2.171874523162842,0.16796875,7.717399638487897e-07
USA,France,maritime_v1,maritime,justified,-3.041016101837158,-8.244750499725342,-5.64288330078125,7.903662446888576e-07
USA,France,maritime_v1,maritime,unjustified,6.056640625,-4.339843273162842,0.8583986759185791,1.540057004472911e-06
USA,France,maritime_v2,maritime,justified,-0.046875,-10.862548828125,-5.4547119140625,1.0527021123693e-06
USA,France,maritime_v2,maritime,unjustified,4.73046875,-3.91796875,0.40625,1.5713292619299493e-06
USA,France,maritime_v3,maritime,justified,-9.006347179412842,-7.5126953125,-8.259521245956421,2.2281203454522602e-07
USA,France,maritime_v3,maritime,unjustified,1.0234375,3.873047351837158,2.448242425918579,4.453651817631986e-07
USA,France,maritime_v4,maritime,justified,-8.55078125,-6.158203601837158,-7.354492425918579,1.0672473702773821e-06
USA,France,maritime_v4,maritime,unjustified,7.9296875,-1.7734375,3.078125,1.853363810545422e-06
USA,France,maritime_v5,maritime,justified,-4.363281726837158,-6.48876953125,-5.426025629043579,4.1485829078065197e-07
USA,France,maritime_v5,maritime,unjustified,6.646484375,2.691405773162842,4.668945074081421,2.577696966029927e-07
USA,France,strike_v1,strike,justified,4.972655773162842,-9.456055164337158,-2.241699695587158,7.596654653629005e-07
USA,France,strike_v1,strike,unjustified,5.408203125,-5.039062976837158,0.1845700740814209,2.8136029185341663e-07
USA,France,strike_v2,strike,justified,-0.86328125,-4.08984375,-2.4765625,8.904329598645024e-07
USA,France,strike_v2,strike,unjustified,3.6328125,-3.660156726837158,-0.013672113418579102,3.3199805244306153e-07
USA,France,strike_v3,strike,justified,4.728516101837158,-0.7460932731628418,1.9912114143371582,2.896285273658936e-07
USA,France,strike_v3,strike,unjustified,7.017578601837158,-4.099609375,1.458984613418579,3.6824890352617313e-07
USA,France,strike_v4,strike,justified,5.251953601837158,-8.758789539337158,-1.75341796875,9.641064558663527e-07
USA,France,strike_v4,strike,unjustified,6.117186546325684,-6.433594226837158,-0.1582038402557373,1.0161580545530473e-06
USA,France,strike_v5,strike,justified,3.210937023162842,1.97265625,2.591796636581421,2.232952716543491e-06
USA,France,strike_v5,strike,unjustified,10.598388671875,-7.640624046325684,1.4788823127746582,1.687778410076847e-06
USA,France,proxy_v1,proxy,justified,-8.373046398162842,3.707030773162842,-2.3330078125,1.1854458797493796e-06
USA,France,proxy_v1,proxy,unjustified,-2.947266101837158,5.439453125,1.246093511581421,1.1174543955745936e-06
USA,France,proxy_v2,proxy,justified,-8.8330078125,4.460938453674316,-2.186034679412842,1.6673570832406283e-06
USA,France,proxy_v2,proxy,unjustified,-0.68359375,5.078125476837158,2.197265863418579,1.3702499933713577e-06
