pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Canada,China,Canada,justified,-0.3256567454600072,0.09586930114109947,2.3335929858622703e-05,13,79,6.222914628966055e-05,True
Japan vs Canada,Japan,Canada,justified,-0.3051739765174223,0.051572482429693575,7.062036663747645e-08,13,79,3.295617109748901e-07,True
USA vs Canada,USA,Canada,justified,-0.29887821953811927,0.050448138031823346,6.968961927961725e-08,13,79,3.295617109748901e-07,True
China vs Indonesia,China,Indonesia,justified,-0.28962768827165875,0.07542125845969715,6.980416821345854e-06,13,79,2.171685233307599e-05,True
France vs Canada,France,Canada,justified,-0.2694024812607538,0.03647503449646616,5.830332265968284e-09,13,79,6.63587885888045e-08,True
Japan vs Australia,Japan,Australia,justified,-0.2302111784617106,0.036875953279130735,3.891437144457315e-08,13,79,2.6132181950986216e-07,True
China vs Australia,China,Australia,justified,-0.19320199952457412,0.06518720713172017,8.354361407204078e-05,13,79,0.00016708722814408157,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.19164949852031668,0.03090938325937923,4.199814956408499e-08,13,79,2.6132181950986216e-07,True
France vs Australia,France,Australia,justified,-0.1842948787814968,0.025390731607118397,7.109870205943339e-09,13,79,6.63587885888045e-08,True
Japan vs Indonesia,Japan,Indonesia,justified,-0.18424475411355715,0.060495051042511315,6.515931584405825e-05,13,79,0.00013514524767656527,True
USA vs Australia,USA,Australia,justified,-0.1629464425446786,0.05017121749660001,3.579858155270217e-05,13,79,8.353002362297174e-05,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.14602648818885888,0.06155833612304072,0.000560986934475193,13,79,0.000956824709570318,True
USA vs Indonesia,USA,Indonesia,justified,-0.14086823804037912,0.1155879940518901,0.03421800946557376,13,79,0.045624012620765014,True
France vs Indonesia,France,Indonesia,justified,-0.13724816456819192,0.07138267710410245,0.0026790496085554553,13,79,0.00405477778592177,True
China vs Venezuela,China,Venezuela,justified,-0.0789907096506475,0.07160352750167247,0.05150753037508557,13,79,0.0640982600223287,False
Australia vs Indonesia,Australia,Indonesia,justified,-0.06261448502103925,0.05720748618262045,0.05309143463103944,13,79,0.06463305085517845,False
Venezuela vs Australia,Venezuela,Australia,justified,-0.05613265020070059,0.04800793284955372,0.04080553330309499,13,79,0.05314208988310045,False
USA vs Venezuela,USA,Venezuela,justified,-0.05548878467126643,0.08523389914326335,0.22610222725862167,13,79,0.24826911228397672,False
Japan vs Venezuela,Japan,Venezuela,justified,-0.04912859223264478,0.03627485244645641,0.02100326599883602,13,79,0.02940457239837043,True
China vs Japan,China,Japan,justified,-0.04422075975508917,0.04711723363276273,0.09069777664715502,13,79,0.10581407275501419,False
France vs Venezuela,France,Venezuela,justified,-0.011089183472015044,0.05928354028006301,0.7202820594478896,13,79,0.7333780968923967,False
USA vs France,USA,France,justified,0.0006367492151784389,0.03960144542521684,0.9753771552661532,13,79,0.9753771552661532,False
USA vs China,USA,China,justified,0.04512220293610961,0.0791603641618057,0.2857700502105192,13,79,0.30775236176517456,False
France vs Japan,France,Japan,justified,0.06387363685356391,0.030268982821041603,0.0013806558600637751,13,79,0.002147686893432539,True
Canada vs Indonesia,Canada,Indonesia,justified,0.06717178018101842,0.08601020404412558,0.1517674369609164,13,79,0.1699795293962264,False
France vs China,France,China,justified,0.08043583714481677,0.07789284849999793,0.06582132192746128,13,79,0.0784254048497411,False
Canada vs Australia,Canada,Australia,justified,0.09098842074146202,0.019552322951122744,9.586137420389952e-07,13,79,3.5788246369455818e-06,True
USA vs Japan,USA,Japan,justified,0.10083992926629035,0.05444345523992877,0.00344880086641192,13,79,0.0050824433820807246,True
France vs Venezuela,France,Venezuela,unjustified,-0.5373812529630277,0.05018631533379477,7.941693652023416e-11,13,79,4.4473484451331136e-09,True
USA vs Venezuela,USA,Venezuela,unjustified,-0.4590129974560859,0.07621400317261466,5.80611404939455e-08,13,79,3.251423867660948e-07,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-0.38996675643292106,0.060845574211318684,2.8996351345761095e-08,13,79,2.3197081076608876e-07,True
France vs Indonesia,France,Indonesia,unjustified,-0.2997152739828759,0.05148378866956052,8.461518823884202e-08,13,79,3.6449619549039637e-07,True
France vs China,France,China,unjustified,-0.2733015420235993,0.05350662437085203,3.5378719035099385e-07,13,79,1.4151487614039754e-06,True
USA vs Indonesia,USA,Indonesia,unjustified,-0.26679116116338597,0.07938199080634545,2.585153871293243e-05,13,79,6.5803916723828e-05,True
China vs Venezuela,China,Venezuela,unjustified,-0.26060269298134264,0.07099293019253684,1.0944813107568893e-05,13,79,3.2258396527571474e-05,True
Canada vs Indonesia,Canada,Indonesia,unjustified,-0.2347827970763266,0.0763509046248245,5.963861925536809e-05,13,79,0.0001284524107038697,True
France vs Japan,France,Japan,unjustified,-0.21008613738384874,0.04643280899460496,1.2900869646258302e-06,13,79,4.515304376190406e-06,True
USA vs China,USA,China,unjustified,-0.19555574197035572,0.054303583308845424,1.3222380021338951e-05,13,79,3.702266405974906e-05,True
USA vs Japan,USA,Japan,unjustified,-0.18895945662543887,0.048734397472293044,6.334977940601858e-06,13,79,2.0868162627864945e-05,True
Australia vs Indonesia,Australia,Indonesia,unjustified,-0.15973411636911466,0.07127796126751927,0.0008770585527756457,13,79,0.001403293684441033,True
USA vs Australia,USA,Australia,unjustified,-0.10352989823826943,0.042624757589150686,0.0004636645067770046,13,79,0.0008375874961132985,True
Japan vs Indonesia,Japan,Indonesia,unjustified,-0.09812125574538122,0.04138985471934983,0.0005638431324253659,13,79,0.000956824709570318,True
France vs Australia,France,Australia,unjustified,-0.07272348692128947,0.04130539842091573,0.004797602318551329,13,79,0.006888864867663447,True
Canada vs Australia,Canada,Australia,unjustified,-0.03597183148939531,0.027669495884155404,0.025554597955423298,13,79,0.034903841109846456,True
France vs Canada,France,Canada,unjustified,-0.03362522675440862,0.04028202806481507,0.12775810189205639,13,79,0.1460092593052073,False
USA vs France,USA,France,unjustified,-0.018136168137574803,0.035238240035535384,0.332998684485578,13,79,0.35184766662627115,False
USA vs Canada,USA,Canada,unjustified,-0.016225935338617683,0.03521838033915359,0.38428501116722,13,79,0.3985177893585985,False
China vs Indonesia,China,Indonesia,unjustified,0.06350874420487401,0.05706900136700362,0.04978947674391849,13,79,0.06336842494680535,False
Japan vs Australia,Japan,Australia,unjustified,0.12934982951307472,0.05686009805710987,0.0007808266367759969,13,79,0.0012860674017487008,True
China vs Japan,China,Japan,unjustified,0.141268905265864,0.042962130445660815,3.1841621386594295e-05,13,79,7.752742598475133e-05,True
China vs Australia,China,Australia,unjustified,0.17403561291677175,0.06712194087495567,0.0002697791332283203,13,79,0.0005035877153595313,True
Japan vs Canada,Japan,Canada,unjustified,0.1858187267631838,0.06862531717210123,0.00018615749812256742,13,79,0.00035947654809875086,True
China vs Canada,China,Canada,unjustified,0.25783395461547065,0.08338189798938693,5.66510940960265e-05,13,79,0.00012689845077509937,True
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,0.25937928253914416,0.035451239106614775,6.492596881843907e-09,13,79,6.63587885888045e-08,True
Venezuela vs Australia,Venezuela,Australia,unjustified,0.40883273388439917,0.05257268855598168,3.2360241260742316e-09,13,79,6.040578368671899e-08,True
Venezuela vs Canada,Venezuela,Canada,unjustified,0.5150383413929643,0.05927426524592103,9.026818301626001e-10,13,79,2.5275091244552804e-08,True
