country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,0.0625,0.03125,0.046875,0.000780340231642463
USA,France,airspace_v1,airspace,unjustified,0.0,-0.09375,-0.046875,0.0006753251104473387
USA,France,airspace_v2,airspace,justified,-0.2578127384185791,0.359375,0.05078113079071045,0.0006937045657081891
USA,France,airspace_v2,airspace,unjustified,-0.0078125,-0.328125,-0.16796875,0.0005897676822051408
USA,France,airspace_v3,airspace,justified,-0.2187497615814209,0.15625,-0.03124988079071045,0.0006697229022380952
USA,France,airspace_v3,airspace,unjustified,0.1328122615814209,-0.6171879768371582,-0.24218785762786865,0.0006024579424543212
USA,France,airspace_v4,airspace,justified,-0.4296877384185791,0.609375,0.08984363079071045,0.0005607371257169559
USA,France,airspace_v4,airspace,unjustified,0.640625,-0.2890625,0.17578125,0.0004511841501853727
USA,France,airspace_v5,airspace,justified,-0.1640625,0.5078127384185791,0.17187511920928955,0.0008597779530256562
USA,France,airspace_v5,airspace,unjustified,-0.1875,-0.2656252384185791,-0.22656261920928955,0.0008913645340351106
USA,France,maritime_v1,maritime,justified,-0.4296875,0.4296875,0.0,0.0009789537291949935
USA,France,maritime_v1,maritime,unjustified,0.4843747615814209,-0.8984377384185791,-0.2070314884185791,0.0008641538687800224
USA,France,maritime_v2,maritime,justified,-0.203125,0.0546875,-0.07421875,0.0011525654158674702
USA,France,maritime_v2,maritime,unjustified,0.2890627384185791,-0.2578125,0.01562511920928955,0.0009798898833880164
USA,France,maritime_v3,maritime,justified,-0.0234375,-0.28125,-0.15234375,0.0010424921946483702
USA,France,maritime_v3,maritime,unjustified,-0.34375,0.2578125,-0.04296875,0.0008492412378430706
USA,France,maritime_v4,maritime,justified,-0.2421877384185791,0.0390625,-0.10156261920928955,0.0009464514183488914
USA,France,maritime_v4,maritime,unjustified,0.3046872615814209,0.1328125,0.21874988079071045,0.0006595225158341653
USA,France,maritime_v5,maritime,justified,-0.1484375,0.1328125,-0.0078125,0.0010060647234974034
USA,France,maritime_v5,maritime,unjustified,0.6250002384185791,-0.7109372615814209,-0.0429685115814209,0.0008212474968108697
USA,France,strike_v1,strike,justified,0.015625,-0.1015625,-0.04296875,0.0008861123867665355
USA,France,strike_v1,strike,unjustified,0.8125002384185791,-0.609375,0.10156261920928955,0.0007878164904233499
USA,France,strike_v2,strike,justified,-0.6953125,0.4375,-0.12890625,0.0007834298425534828
USA,France,strike_v2,strike,unjustified,1.6132807731628418,-1.281250238418579,0.16601526737213135,0.0007851306331200177
USA,France,strike_v3,strike,justified,-0.0390625,0.2109375,0.0859375,0.0009312938837152787
USA,France,strike_v3,strike,unjustified,1.328125,-1.085937261581421,0.12109386920928955,0.0006180105183309823
USA,France,strike_v4,strike,justified,-0.3359375,0.1015622615814209,-0.11718761920928955,0.0006833824460485087
USA,France,strike_v4,strike,unjustified,1.375000238418579,-0.9140627384185791,0.23046875,0.0005824406014283156
USA,France,strike_v5,strike,justified,-0.90625,0.6249997615814209,-0.14062511920928955,0.0008167293427538014
USA,France,strike_v5,strike,unjustified,1.421875238418579,-1.234375,0.09375011920928955,0.0007085626140527076
USA,France,proxy_v1,proxy,justified,-0.1328125,0.265625,0.06640625,0.0008775993130661131
USA,France,proxy_v1,proxy,unjustified,-0.5624995231628418,0.578125,0.007812738418579102,0.0007126319155523229
USA,France,proxy_v2,proxy,justified,0.3125,0.1484375,0.23046875,0.0008432977496953352
USA,France,proxy_v2,proxy,unjustified,-0.015625,0.0234377384185791,0.003906369209289551,0.000655807718841994
USA,France,proxy_v3,proxy,justified,-0.015625,0.3515625,0.16796875,0.0010839526972705336
USA,France,proxy_v3,proxy,unjustified,-0.4843747615814209,0.21875,-0.13281238079071045,0.0008798264884739078
USA,France,proxy_v4,proxy,justified,-0.4765627384185791,0.6953125,0.10937488079071045,0.0008147213559951351
USA,France,proxy_v4,proxy,unjustified,0.3359372615814209,-0.3125004768371582,0.011718392372131348,0.0007117622226725529
USA,France,proxy_v5,proxy,justified,-0.5390622615814209,0.3828127384185791,-0.0781247615814209,0.0008062433876230095
USA,France,proxy_v5,proxy,unjustified,0.4453125,-0.6953125,-0.125,0.0008670076435178537
USA,France,cyber_v1,cyber,justified,-0.4218754768371582,0.3515627384185791,-0.03515636920928955,0.0007731678875790317
USA,France,cyber_v1,cyber,unjustified,0.5000002384185791,-0.6796872615814209,-0.0898435115814209,0.0008107446233533612
USA,France,cyber_v2,cyber,justified,-0.0625,0.125,0.03125,0.0012283204895125921
USA,France,cyber_v2,cyber,unjustified,-0.3203125,0.7109375,0.1953125,0.0008479796867029807
USA,France,cyber_v3,cyber,justified,-0.1953125,0.234375,0.01953125,0.0007993387561914189
USA,France,cyber_v3,cyber,unjustified,-0.0234375,-0.2734375,-0.1484375,0.0007153082526661478
USA,France,cyber_v4,cyber,justified,-0.390625,0.2421875,-0.07421875,0.0009339631754741535
USA,France,cyber_v4,cyber,unjustified,0.3984372615814209,-0.4765627384185791,-0.0390627384185791,0.0008960670580368488
USA,France,cyber_v5,cyber,justified,-0.4921877384185791,0.4453125,-0.02343761920928955,0.0007309999230242531
USA,France,cyber_v5,cyber,unjustified,0.40625,-0.2734372615814209,0.06640636920928955,0.0007106298285142271
USA,France,trade_v1,trade,justified,-0.3359375,0.1015625,-0.1171875,0.000991664579930997
USA,France,trade_v1,trade,unjustified,0.4609377384185791,-0.59375,-0.06640613079071045,0.0009365847486778493
USA,France,trade_v2,trade,justified,0.3046877384185791,-0.1953125,0.05468761920928955,0.0008055108550649847
USA,France,trade_v2,trade,unjustified,0.0624997615814209,-0.2890625,-0.11328136920928955,0.0007168639626183054
USA,France,trade_v3,trade,justified,-0.3515625,0.4218747615814209,0.03515613079071045,0.0009114641723108888
USA,France,trade_v3,trade,unjustified,0.296875,-0.359375,-0.03125,0.0007681608577122303
USA,France,trade_v4,trade,justified,-0.2656247615814209,0.3203122615814209,0.02734375,0.0006557464586075707
USA,France,trade_v4,trade,unjustified,0.3750002384185791,-0.5859370231628418,-0.10546839237213135,0.0006130679670852005
USA,France,trade_v5,trade,justified,-0.2890625,0.1484375,-0.0703125,0.0009725682985308617
USA,France,trade_v5,trade,unjustified,0.2734372615814209,0.0703122615814209,0.1718747615814209,0.0008168509650837146
USA,France,border_v1,border,justified,-0.6015627384185791,0.2265625,-0.18750011920928955,0.0009123588877032428
USA,France,border_v1,border,unjustified,0.8398435115814209,-0.41015625,0.21484363079071045,0.0006345886713083975
USA,France,border_v2,border,justified,-0.4921875,0.4140625,-0.0390625,0.0009105698724757901
USA,France,border_v2,border,unjustified,0.4374997615814209,-0.5312497615814209,-0.046875,0.000650751660152847
USA,France,border_v3,border,justified,-0.6796870231628418,0.7812497615814209,0.05078136920928955,0.0007428064587247502
USA,France,border_v3,border,unjustified,0.6875002384185791,-0.4843752384185791,0.1015625,0.0006267818652445321
USA,France,border_v4,border,justified,-0.7265627384185791,0.3828127384185791,-0.171875,0.0007501368290974549
USA,France,border_v4,border,unjustified,1.093750238418579,-0.6953125,0.19921886920928955,0.0006246814909699803
USA,France,border_v5,border,justified,0.8359375,-1.0234375,-0.09375,0.0007812437910024487
USA,France,border_v5,border,unjustified,-0.0546872615814209,0.2578125,0.10156261920928955,0.0006260806342116923
USA,France,espionage_v1,espionage,justified,-0.3164060115814209,0.68359375,0.18359386920928955,0.0007821883803530874
USA,France,espionage_v1,espionage,unjustified,0.25,0.0,0.125,0.0005529618611392715
USA,France,espionage_v2,espionage,justified,-0.0546875,0.3828125,0.1640625,0.0009424148057420993
USA,France,espionage_v2,espionage,unjustified,0.09375,-0.390625,-0.1484375,0.0010042641301721451
USA,France,espionage_v3,espionage,justified,-0.9140625,0.6796872615814209,-0.11718761920928955,0.0006128692370576507
USA,France,espionage_v3,espionage,unjustified,-0.359375,0.0234372615814209,-0.16796886920928955,0.0005674727778156867
USA,France,espionage_v4,espionage,justified,-0.7109375,1.179687261581421,0.23437488079071045,0.0008311714149047255
USA,France,espionage_v4,espionage,unjustified,0.015624761581420898,-0.7890627384185791,-0.3867189884185791,0.0005830252780088157
USA,France,espionage_v5,espionage,justified,-1.140624761581421,0.8046875,-0.16796863079071045,0.0007045470133694434
USA,France,espionage_v5,espionage,unjustified,1.046875238418579,-0.6406247615814209,0.2031252384185791,0.0006617078223020028
USA,France,humanitarian_v1,humanitarian,justified,-0.25,-0.265625,-0.2578125,0.0011277541182869262
USA,France,humanitarian_v1,humanitarian,unjustified,0.109375,0.1875002384185791,0.14843761920928955,0.000702705748519715
USA,France,humanitarian_v2,humanitarian,justified,0.2890625,-0.2890625,0.0,0.0011260384994248348
USA,France,humanitarian_v2,humanitarian,unjustified,0.4765625,-0.6640629768371582,-0.0937502384185791,0.0006662343261679381
USA,France,humanitarian_v3,humanitarian,justified,-1.140624761581421,1.3437504768371582,0.10156285762786865,0.0007562449817368098
USA,France,humanitarian_v3,humanitarian,unjustified,2.062499761581421,-2.117187976837158,-0.027344107627868652,0.000620308256630381
USA,France,humanitarian_v4,humanitarian,justified,-0.2421875,0.0078125,-0.1171875,0.0009440817412233294
USA,France,humanitarian_v4,humanitarian,unjustified,1.2421870231628418,-1.203125238418579,0.019530892372131348,0.0006980445954819872
USA,France,humanitarian_v5,humanitarian,justified,0.21875,-0.234375,-0.0078125,0.0011596476646681215
