pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.13535943304635445,0.0076590749038191,2.1355038742869024e-13,13,79,1.4948527120008316e-12,True
Venezuela vs Australia,Venezuela,Australia,justified,-0.10554029031796551,0.010437913494299192,1.551816252505243e-10,13,79,3.778335223491026e-10,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.08350503262500841,0.009809454222054592,1.1438760665536788e-09,13,79,2.2877521331073576e-09,True
China vs Australia,China,Australia,justified,-0.07875457318711193,0.00802142118239252,2.187035321651569e-10,13,79,5.103082417186994e-10,True
China vs Japan,China,Japan,justified,-0.0687385538299551,0.00722883071088779,3.17356463246595e-10,13,79,7.108784776723728e-10,True
China vs Canada,China,Canada,justified,-0.06227106890972063,0.00613492733116537,1.4836216683133095e-10,13,79,3.77649151934297e-10,True
China vs Indonesia,China,Indonesia,justified,-0.04212454910434428,0.006447312361890012,2.3362392700933108e-08,13,79,3.737982832149297e-08,True
Canada vs Australia,Canada,Australia,justified,-0.009157510904165413,0.004639312403941657,0.002232601783907787,13,79,0.002604702081225752,True
France vs Japan,France,Japan,justified,-0.005780677287242352,0.007112126722045689,0.1371286482767728,13,79,0.14220748710183845,False
France vs Australia,France,Australia,justified,-0.00549450668168592,0.00479296705354054,0.04424509787665754,13,79,0.0485828525704475,True
Australia vs Indonesia,Australia,Indonesia,justified,0.000400646108683649,0.004863771645747505,0.8744237155381354,13,79,0.8744237155381354,False
Japan vs Australia,Japan,Australia,justified,0.0073260153087722525,0.008094173894419176,0.10141780135893738,13,79,0.10921917069424025,False
Japan vs Canada,Japan,Canada,justified,0.019917583741220365,0.007261976339694199,0.00016650262576934307,13,79,0.00021191243279734573,True
China vs Venezuela,China,Venezuela,justified,0.020432691748216474,0.008058334116942891,0.0003253911012387074,13,79,0.0004049311482081692,True
Canada vs Indonesia,Canada,Indonesia,justified,0.021348440023514378,0.008911151476222007,0.0005182282529068128,13,79,0.00063088656875612,True
Japan vs Indonesia,Japan,Indonesia,justified,0.03262361856825623,0.0061047704873524525,2.1661570013262628e-07,13,79,3.1922313703755455e-07,True
France vs Canada,France,Canada,justified,0.03565704877805579,0.006692019540512347,2.236555553057849e-07,13,79,3.211464383877937e-07,True
France vs Indonesia,France,Indonesia,justified,0.047390113751857706,0.007284903380200319,2.4534871011929277e-08,13,79,3.8165354907445546e-08,True
France vs Venezuela,France,Venezuela,justified,0.0864812292349644,0.008426418893524192,1.3039424017773303e-10,13,79,3.4771797380728806e-10,True
America vs France,America,France,justified,0.09317765716163123,0.008030439325702928,3.097078451309638e-11,13,79,9.128231224912617e-11,True
France vs China,France,China,justified,0.09975961894615668,0.007676856498929751,8.160503495517918e-12,13,79,2.5388233097166855e-11,True
America vs Japan,America,Japan,justified,0.1148122705914926,0.0077667558947429015,1.7782702341293854e-12,13,79,8.298594425937131e-12,True
America vs Australia,America,Australia,justified,0.11750228953762695,0.004565492277195133,2.4167859225038602e-15,13,79,4.708023850471771e-14,True
Japan vs Venezuela,Japan,Venezuela,justified,0.11847526570884408,0.007440016258753336,7.363000645218716e-13,13,79,4.123280361322481e-12,True
America vs Canada,America,Canada,justified,0.12500000035820097,0.006776113040719296,1.2825194170804846e-13,13,79,1.1970181226084524e-12,True
America vs Indonesia,America,Indonesia,justified,0.136675825615451,0.007662493297733863,1.913489585188005e-13,13,79,1.4948527120008316e-12,True
America vs China,America,China,justified,0.214571884052057,0.005098927463364297,6.728752059825577e-18,13,79,3.768101153502323e-16,True
America vs Venezuela,America,Venezuela,justified,0.21485806004768548,0.010952018199994787,6.164203000970544e-14,13,79,6.903907361087009e-13,True
France vs Venezuela,France,Venezuela,wrong,-0.18005952404150158,0.007021156309072749,2.522155634181306e-15,13,79,4.708023850471771e-14,True
