country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Australia,justified,0.3972253554126843,0.08757010451693586,1.2558827867605392e-06,13,2.8705892268812325e-06,True
China,justified,0.3004869000858533,0.08502703317897876,1.5900319936649487e-05,13,3.180063987329897e-05,True
Venezuela,justified,0.27886659658427704,0.08952267445219461,5.291863828882921e-05,13,8.466982126212674e-05,True
Indonesia,justified,0.21141172863283766,0.0705684621016932,7.576391383346292e-05,13,0.00011020205648503697,True
Japan,justified,0.06551298431268479,0.049663605919602824,0.02385468500071875,13,0.025444997334099998,True
France,justified,-0.10282370052434413,0.09795940837948604,0.06206343748225943,13,0.06206343748225943,False
Canada,justified,-0.1733958006391525,0.06565786506679865,0.00023079281629089074,13,0.0002637632186181608,True
America,justified,-0.9772840638648407,0.08991390192163773,6.665682086479702e-11,13,5.332545669183761e-10,True
Venezuela,wrong,0.6094812933537838,0.11122552731259663,1.6469640241370604e-07,13,5.270284877238593e-07,True
Indonesia,wrong,0.4142117209060966,0.07136427974549452,8.745547699255896e-08,13,3.498219079702358e-07,True
China,wrong,0.394435178285025,0.08562769410359204,1.0677732468336578e-06,13,2.847395324889754e-06,True
Australia,wrong,0.2108373397228774,0.07188427914500456,9.182085599174141e-05,13,0.00012242780798898855,True
Japan,wrong,0.13936992932534042,0.05169794098207384,0.00019337227575873565,13,0.00023799664708767465,True
France,wrong,-0.24978741431025928,0.07863599555892138,4.410902618310406e-05,13,7.841604654774055e-05,True
Canada,wrong,-0.37129815959594353,0.0628425478702981,7.182097356214833e-08,13,3.498219079702358e-07,True
America,wrong,-1.1472498876869208,0.09162747045116165,1.2647262082840175e-11,13,2.023561933254428e-10,True
