country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
America,justified,0.944427412048115,0.2328138134101023,4.0043144748079895e-06,13,1.2813806319385566e-05,True
China,justified,0.6093729569502117,0.22653888114624765,0.00019708011407249047,13,0.0003153281825159848,True
France,justified,0.3386254713644943,0.16418316575769998,0.0016322307563199558,13,0.0021763076750932744,True
Venezuela,justified,0.027480702162030697,0.26490946414861727,0.8422895809287942,13,0.8984422196573806,False
Canada,justified,-0.2749889601862193,0.15305650101583929,0.004212297626800322,13,0.005184366309908089,True
Japan,justified,-0.48663371531092986,0.13780011299791534,1.60136556906577e-05,13,3.660264157864617e-05,True
Australia,justified,-0.571168973048723,0.13621069620073767,2.8492472449337196e-06,13,1.2813806319385566e-05,True
Indonesia,justified,-0.5871148939789792,0.16430189799033054,1.4266484543249418e-05,13,3.660264157864617e-05,True
America,wrong,2.6514791028592626,0.22606082471883263,2.727973388442485e-11,13,2.647791762196301e-10,True
France,wrong,0.7218508797589045,0.24947311610536846,0.00010373114133384602,13,0.00018441091792683738,True
Venezuela,wrong,0.013490971948801393,0.23293579893847785,0.9114973004937943,13,0.9114973004937943,False
Japan,wrong,-0.07359734647393164,0.17158736441168507,0.4169618208526229,13,0.47652779526014044,False
Canada,wrong,-0.3786895772981228,0.1485254982211414,0.0003106950735592324,13,0.0004519201069952471,True
China,wrong,-0.8120114598569447,0.2743645593958508,8.462317806397945e-05,13,0.0001692463561279589,True
Australia,wrong,-0.8941122128470782,0.21758924827444184,3.509503411706172e-06,13,1.2813806319385566e-05,True
Indonesia,wrong,-1.2284103580908912,0.10646980484714888,3.309739702745376e-11,13,2.647791762196301e-10,True
