pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Venezuela vs Australia,Venezuela,Australia,justified,-0.456272896952354,0.0718092319843754,3.194563765514468e-08,13,79,1.6263233715346382e-07,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.4280420068187482,0.07377005464272912,8.775695688450162e-08,13,79,3.5102782753800647e-07,True
China vs Australia,China,Australia,justified,-0.36931947916882596,0.13976205213008025,0.0002296104736086718,13,79,0.00037818195653193006,True
China vs Canada,China,Canada,justified,-0.337153729194632,0.13450665262332873,0.000358048882648053,13,79,0.0005728782122368848,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.308965775392431,0.04367073991621168,9.50981444149418e-09,13,79,6.656870109045926e-08,True
Japan vs Australia,Japan,Australia,justified,-0.2367216122265046,0.07428145194527777,4.278949777393195e-05,13,79,7.98737291780063e-05,True
France vs Australia,France,Australia,justified,-0.2115098446771339,0.09457035267681595,0.0008906441494573711,13,79,0.0013480019559354804,True
China vs Indonesia,China,Indonesia,justified,-0.20557176880538464,0.10752338325585063,0.002784725477350819,13,79,0.0038619383259621215,True
Japan vs Canada,Japan,Canada,justified,-0.20185153711000423,0.08475769592699892,0.0005435774075570406,13,79,0.0008455648561998409,True
France vs Canada,France,Canada,justified,-0.1756810884131289,0.09426262832648362,0.0033087478547107856,13,79,0.004411663806281048,True
America vs Australia,America,Australia,justified,-0.0794843195463384,0.08441335699046115,0.08976295325809058,13,79,0.10927663874897985,False
France vs Indonesia,France,Indonesia,justified,-0.05803571193182207,0.09060713383846833,0.233222640744225,13,79,0.2560876055230706,False
America vs Canada,America,Canada,justified,-0.042639656354001146,0.06743275889780583,0.23890290050940644,13,79,0.2572800467024377,False
Japan vs Indonesia,Japan,Indonesia,justified,-0.04010702840192414,0.051787233151166,0.15492634820762516,13,79,0.18459309573674487,False
Canada vs Australia,Canada,Australia,justified,-0.016769687123187296,0.025220178881421106,0.21693568630537424,13,79,0.24296796866201917,False
France vs Japan,France,Japan,justified,0.035041780896730476,0.05665346903892891,0.2487203081431753,13,79,0.2608928725146156,False
China vs Japan,China,Japan,justified,0.04315476107919391,0.102031248204881,0.42329093795381734,13,79,0.42329093795381734,False
France vs China,France,China,justified,0.045658769420324215,0.0975603196286336,0.37705777066556,13,79,0.3839133664958429,False
America vs France,America,France,justified,0.10385187591115635,0.05444065250638651,0.00282749056007941,13,79,0.0038619383259621215,True
America vs Indonesia,America,Indonesia,justified,0.12462797366601205,0.04004450693914242,5.3362340825721495e-05,13,79,9.639648665291625e-05,True
France vs Venezuela,France,Venezuela,justified,0.14404476277748526,0.07963211524128419,0.004030592901909068,13,79,0.0051298455115206315,True
China vs Venezuela,China,Venezuela,justified,0.1627604179630131,0.07420372714443783,0.001033505836971178,13,79,0.0015230612334312097,True
Japan vs Venezuela,Japan,Venezuela,justified,0.2073889629430932,0.05328713591712762,6.0996256593836805e-06,13,79,1.4232459871895254e-05,True
Canada vs Indonesia,Canada,Indonesia,justified,0.24995707835824715,0.09175471294996883,0.00017662481614331974,13,79,0.0002997269607280577,True
America vs China,America,China,justified,0.2613037992132343,0.0734969654732321,1.4993748548856096e-05,13,79,2.9987497097712188e-05,True
America vs Venezuela,America,Venezuela,justified,0.26177598818481623,0.042476382936932094,4.4939733796657464e-08,13,79,2.0971875771773482e-07,True
America vs Japan,America,Japan,justified,0.2895346828923994,0.08005497735940442,1.2673800359694148e-05,13,79,2.6286400746032305e-05,True
Australia vs Indonesia,Australia,Indonesia,justified,0.31395947834265314,0.0840544157696767,9.209922130306087e-06,13,79,1.983675535758234e-05,True
Japan vs Venezuela,Japan,Venezuela,wrong,-0.2884901540811027,0.026241736884249273,5.833311777458422e-11,13,79,1.0888848651255721e-09,True
Canada vs Indonesia,Canada,Indonesia,wrong,-0.2675423539847463,0.0313120537708663,1.0958755156973676e-09,13,79,1.2273805775810518e-08,True
Australia vs Indonesia,Australia,Indonesia,wrong,-0.2265338847898083,0.034558103696222406,2.2515318163933452e-08,13,79,1.4009531302003035e-07,True
France vs China,France,China,wrong,-0.2005351410680638,0.05013350498312034,4.6207345837052916e-06,13,79,1.1761869849431652e-05,True
America vs China,America,China,wrong,-0.19678628766711379,0.04832517201188225,3.850687287598122e-06,13,79,1.026849943359499e-05,True
America vs Venezuela,America,Venezuela,wrong,-0.1743646977203233,0.04544098061025792,7.034798475300847e-06,13,79,1.57579485846739e-05,True
America vs France,America,France,wrong,-0.15477621320621435,0.03349223230280489,1.0320273375075633e-06,13,79,3.2107517166901968e-06,True
